營業行車次數(班次),,,,,,,,,,,,,,,,,,,,,,,
,總計,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,金門縣,連江縣
日期,,,,,,,,,,,,,,,,,,,,,,,
109年11月,2632418,664739,952710,188049,291660,88464,273148,24267,7188,1260,5160,3298,4524,3504,11169,3329,4236,5736,62658,19139,4248,11520,2412
109年12月,2741878,696767,992630,194621,302718,91579,283677,25152,8198,1302,5366,3459,4667,3575,12198,3497,4598,6001,64022,19879,4374,11094,2504
110年,27562570,6851561,9692145,2014008,3164510,990360,2928279,262263,90552,15330,55801,28624,50029,45298,136100,38695,40527,63559,676719,196648,56804,136278,28480
110年01月,2657767,670420,957928,183468,299698,92546,278243,24971,7813,1302,4828,2429,4713,3479,12813,3375,4669,5433,62118,19245,4776,11094,2406
110年02月,2260998,558968,796805,160408,257454,83108,246405,22401,6409,1176,4250,1987,4336,3345,11385,2797,3983,4588,58188,15697,4488,10752,2068
110年03月,2662875,675582,949720,184178,297834,90782,277650,30924,8100,1302,5552,3372,4653,3682,13385,3653,5069,5924,63674,19667,4926,10752,2494
110年04月,2542591,640623,905049,177401,284033,89252,268317,24986,7753,1260,5303,3239,4587,3700,12960,3510,5081,5525,62344,18964,4780,11520,2404
110年05月,2346467,569249,796249,174010,279145,89870,267771,23078,7838,1302,4819,2907,4493,3032,11361,3503,3845,5204,62632,17443,4792,11520,2404
110年06月,1652421,362995,530220,145071,222487,69523,204476,15068,7373,1260,2871,1444,3702,1734,5523,2762,1733,4739,41484,10094,4122,11520,2220
110年07月,1724927,383676,573117,151031,223447,64906,208346,15854,7592,1302,2759,1355,3689,3392,4563,2345,1633,4903,43128,9649,4390,11520,2330
110年08月,2032174,492426,736763,160673,229894,65939,211546,17155,7684,1302,3069,1461,3907,3849,7416,3265,2170,4891,49168,10848,4980,11520,2248
110年09月,2331929,602187,827582,166381,258087,84242,234188,20269,7484,1260,4358,1759,3899,4447,12921,3313,2948,5468,53759,18549,4770,11520,2538
110年10月,2435217,626834,865267,171878,269829,87872,244129,22200,7378,1302,5845,2698,4065,4700,14382,3453,3070,5623,56764,19052,4946,11520,2410
110年11月,2411010,623085,862256,168620,265957,84264,240068,22373,7531,1260,5928,2965,3916,4847,14238,3319,3055,5542,54548,18458,4820,11520,2440
110年12月,2504194,645516,891189,170889,276645,88056,247140,22984,7597,1302,6219,3008,4069,5091,15153,3400,3271,5719,68912,18982,5014,11520,2518
111年,27681563,7026257,9644369,2050944,3167724,1041400,2745665,276299,88395,15330,69615,29437,56156,54521,170554,42775,44887,64900,653118,209187,59300,141896,28834
111年01月,2423868,615065,856617,174354,275816,91394,242063,22717,7369,1302,6022,2874,4104,4903,14419,3181,3659,5349,55681,18041,4996,11520,2422
111年02月,2069197,511897,718324,152727,241259,79343,211290,20467,6118,1176,5266,1898,3744,4410,12484,2783,3019,4749,55221,15458,4542,10752,2270
