年,月,縣市,營業行車次數
2017,12,金門縣,10753
2017,12,雲林縣,3662
2017,12,高雄市,259423
2018,1,南投縣,892
2018,1,嘉義市,1612
2018,1,嘉義縣,4462
2018,1,基隆市,64546
2018,1,宜蘭縣,17337
2018,1,屏東縣,7269
2018,1,彰化縣,4546
2018,1,新北市,694174
2018,1,新竹市,18355
2018,1,新竹縣,7488
2018,1,桃園市,174191
2018,1,澎湖縣,5791
2018,1,臺中市,281545
2018,1,臺北市,1062650
2018,1,臺南市,84206
2018,1,臺東縣,2542
2018,1,花蓮縣,1938
2018,1,苗栗縣,1271
2018,1,連江縣,2522
2018,1,金門縣,11838
2018,1,雲林縣,3676
2018,1,高雄市,254777
2018,2,南投縣,928
2018,2,嘉義市,1456
2018,2,嘉義縣,4103
2018,2,基隆市,55448
2018,2,宜蘭縣,16400
2018,2,屏東縣,8431
2018,2,彰化縣,3899
2018,2,新北市,567277
2018,2,新竹市,15141
2018,2,新竹縣,6463
2018,2,桃園市,152284
2018,2,澎湖縣,4484
2018,2,臺中市,242418
2018,2,臺北市,883971
2018,2,臺南市,77171
2018,2,臺東縣,2296
2018,2,花蓮縣,1736
2018,2,苗栗縣,1120
2018,2,連江縣,2052
2018,2,金門縣,9662
2018,2,雲林縣,3341
2018,2,高雄市,226386
2018,3,南投縣,880
2018,3,嘉義市,1613
2018,3,嘉義縣,4502
2018,3,基隆市,63602
2018,3,宜蘭縣,17157
2018,3,屏東縣,10389
2018,3,彰化縣,5058
2018,3,新北市,681160
2018,3,新竹市,18182
2018,3,新竹縣,7596
2018,3,桃園市,173930
2018,3,澎湖縣,6143
2018,3,臺中市,279671
2018,3,臺北市,1053453
2018,3,臺南市,85109
2018,3,臺東縣,2542
2018,3,花蓮縣,2028
2018,3,苗栗縣,1240
2018,3,連江縣,2478
2018,3,金門縣,9533
2018,3,雲林縣,3666
2018,3,高雄市,261096
2018,4,南投縣,1056
2018,4,嘉義市,1560
2018,4,嘉義縣,4326
2018,4,基隆市,60720
2018,4,宜蘭縣,17059
2018,4,屏東縣,10501
2018,4,彰化縣,4680
2018,4,新北市,631085
2018,4,新竹市,17505
2018,4,新竹縣,7103
2018,4,桃園市,171817
2018,4,澎湖縣,5664
2018,4,臺中市,270677
2018,4,臺北市,983011
2018,4,臺南市,82368
2018,4,臺東縣,2460
2018,4,花蓮縣,1960
2018,4,苗栗縣,1200
2018,4,連江縣,2364
2018,4,金門縣,9808
2018,4,雲林縣,3578
2018,4,高雄市,268182
2018,5,南投縣,882
2018,5,嘉義市,1934
2018,5,嘉義縣,4365
2018,5,基隆市,63076
2018,5,宜蘭縣,16473
2018,5,屏東縣,10985
2018,5,彰化縣,5078
2018,5,新北市,683213
2018,5,新竹市,18333
2018,5,新竹縣,6945
2018,5,桃園市,180771
2018,5,澎湖縣,7373
2018,5,臺中市,283635
2018,5,臺北市,1053757
2018,5,臺南市,84669
2018,5,臺東縣,2542
2018,5,花蓮縣,2018
2018,5,苗栗縣,1240
2018,5,連江縣,2584
2018,5,金門縣,10724
2018,5,雲林縣,3676
2018,5,高雄市,277256
2018,6,南投縣,964
2018,6,嘉義市,1920
2018,6,嘉義縣,3772
2018,6,基隆市,60771
2018,6,宜蘭縣,16286
2018,6,屏東縣,10207
2018,6,彰化縣,4789
2018,6,新北市,652829
2018,6,新竹市,17360
2018,6,新竹縣,4138
2018,6,桃園市,172430
2018,6,澎湖縣,5702
2018,6,臺中市,276883
2018,6,臺北市,999803
2018,6,臺南市,82542
2018,6,臺東縣,2460
2018,6,花蓮縣,1940
2018,6,苗栗縣,1200
2018,6,連江縣,2444
2018,6,金門縣,11168
2018,6,雲林縣,3570
2018,6,高雄市,267510
2018,7,南投縣,817
2018,7,嘉義市,2190
2018,7,嘉義縣,3830
2018,7,基隆市,61536
