年,月,縣市,營業行車次數(班次)
2018,02,高雄市,226386
2018,03,南投縣,880
2018,03,嘉義市,1613
2018,03,嘉義縣,4502
2018,03,基隆市,63602
2018,03,宜蘭縣,17157
2018,03,屏東縣,10389
2018,03,彰化縣,5058
2018,03,新北市,681160
2018,03,新竹市,18182
2018,03,新竹縣,7596
2018,03,桃園市,173930
2018,03,澎湖縣,6143
2018,03,臺中市,279671
2018,03,臺北市,1053453
2018,03,臺南市,85109
2018,03,臺東縣,2542
2018,03,花蓮縣,2028
2018,03,苗栗縣,1240
2018,03,連江縣,2478
2018,03,金門縣,9533
2018,03,雲林縣,3666
2018,03,高雄市,261096
2018,04,南投縣,1056
2018,04,嘉義市,1560
2018,04,嘉義縣,4326
2018,04,基隆市,60720
2018,04,宜蘭縣,17059
2018,04,屏東縣,10501
2018,04,彰化縣,4680
2018,04,新北市,631085
2018,04,新竹市,17505
2018,04,新竹縣,7103
2018,04,桃園市,171817
2018,04,澎湖縣,5664
2018,04,臺中市,270677
2018,04,臺北市,983011
2018,04,臺南市,82368
2018,04,臺東縣,2460
2018,04,花蓮縣,1960
2018,04,苗栗縣,1200
2018,04,連江縣,2364
2018,04,金門縣,9808
2018,04,雲林縣,3578
2018,04,高雄市,268182
2018,05,南投縣,882
2018,05,嘉義市,1934
2018,05,嘉義縣,4365
2018,05,基隆市,63076
2018,05,宜蘭縣,16473
2018,05,屏東縣,10985
2018,05,彰化縣,5078
2018,05,新北市,683213
2018,05,新竹市,18333
2018,05,新竹縣,6945
2018,05,桃園市,180771
2018,05,澎湖縣,7373
2018,05,臺中市,283635
2018,05,臺北市,1053757
2018,05,臺南市,84669
2018,05,臺東縣,2542
2018,05,花蓮縣,2018
2018,05,苗栗縣,1240
2018,05,連江縣,2584
2018,05,金門縣,10724
2018,05,雲林縣,3676
2018,05,高雄市,277256
2018,06,南投縣,964
2018,06,嘉義市,1920
2018,06,嘉義縣,3772
2018,06,基隆市,60771
2018,06,宜蘭縣,16286
2018,06,屏東縣,10207
2018,06,彰化縣,4789
2018,06,新北市,652829
2018,06,新竹市,17360
2018,06,新竹縣,4138
2018,06,桃園市,172430
2018,06,澎湖縣,5702
2018,06,臺中市,276883
2018,06,臺北市,999803
2018,06,臺南市,82542
2018,06,臺東縣,2460
2018,06,花蓮縣,1940
2018,06,苗栗縣,1200
2018,06,連江縣,2444
2018,06,金門縣,11168
2018,06,雲林縣,3570
2018,06,高雄市,267510
2018,07,南投縣,817
2018,07,嘉義市,2190
2018,07,嘉義縣,3830
2018,07,基隆市,61536
2018,07,宜蘭縣,17417
2018,07,屏東縣,9380
2018,07,彰化縣,4356
2018,07,新北市,669485
2018,07,新竹市,16611
2018,07,新竹縣,8119
2018,07,桃園市,173764
2018,07,澎湖縣,4589
2018,07,臺中市,284183
2018,07,臺北市,1032147
2018,07,臺南市,85086
2018,07,臺東縣,2542
2018,07,花蓮縣,2046
2018,07,苗栗縣,1240
2018,07,連江縣,2318
2018,07,金門縣,10724
2018,07,雲林縣,3658
2018,07,高雄市,271561
2018,08,南投縣,784
2018,08,嘉義市,2365
2018,08,嘉義縣,3558
2018,08,基隆市,62141
2018,08,宜蘭縣,17317
2018,08,屏東縣,9020
2018,08,彰化縣,4233
2018,08,新北市,682686
2018,08,新竹市,17176
2018,08,新竹縣,7596
2018,08,桃園市,174378
2018,08,澎湖縣,4754
2018,08,臺中市,298280
2018,08,臺北市,1045250
2018,08,臺南市,82383
2018,08,臺東縣,2542
2018,08,花蓮縣,1920
2018,08,苗栗縣,1240
2018,08,連江縣,2408
2018,08,金門縣,10724
2018,08,雲林縣,3594
2018,08,高雄市,212284
2018,09,南投縣,1008
2018,09,嘉義市,2292
2018,09,嘉義縣,3790
2018,09,基隆市,59664
2018,09,宜蘭縣,16425
2018,09,屏東縣,9731
2018,09,彰化縣,4672
2018,09,新北市,649618
2018,09,新竹市,17413
2018,09,新竹縣,4140
2018,09,桃園市,170882
2018,09,澎湖縣,5686
2018,09,臺中市,278098
2018,09,臺北市,991103
2018,09,臺南市,82907
2018,09,臺東縣,2760
2018,09,花蓮縣,1887
2018,09,苗栗縣,1200
2018,09,連江縣,2420
2018,09,金門縣,10724
2018,09,雲林縣,3572
2018,09,高雄市,264226
2018,10,南投縣,622
2018,10,嘉義市,2340
2018,10,嘉義縣,3842
2018,10,基隆市,63914
2018,10,宜蘭縣,16557
2018,10,屏東縣,10190
2018,10,彰化縣,5037
2018,10,新北市,689323
2018,10,新竹市,18299
2018,10,新竹縣,4278
2018,10,桃園市,186240
2018,10,澎湖縣,6026
2018,10,臺中市,290492
2018,10,臺北市,1053235
2018,10,臺南市,85908
2018,10,臺東縣,2542
2018,10,花蓮縣,2165
2018,10,苗栗縣,1240
2018,10,連江縣,2664
2018,10,金門縣,10724
2018,10,雲林縣,3658
2018,10,高雄市,277628
2018,11,南投縣,752
2018,11,嘉義市,2350
2018,11,嘉義縣,3642
2018,11,基隆市,69613
2018,11,宜蘭縣,16596
2018,11,屏東縣,9902
2018,11,彰化縣,5047
2018,11,新北市,690763
2018,11,新竹市,17745
2018,11,新竹縣,6644
2018,11,桃園市,187771
2018,11,澎湖縣,5878
2018,11,臺中市,278825
2018,11,臺北市,1004966
2018,11,臺南市,83104
2018,11,臺東縣,2250
2018,11,花蓮縣,2353
2018,11,苗栗縣,1200
2018,11,連江縣,2404
2018,11,金門縣,12005
2018,11,雲林縣,3658
2018,11,高雄市,277722
2018,12,南投縣,836
2018,12,嘉義市,2256
2018,12,嘉義縣,3811
2018,12,基隆市,70646
2018,12,宜蘭縣,25544
2018,12,屏東縣,10230
2018,12,彰化縣,4930
2018,12,新北市,690763
2018,12,新竹市,18243
2018,12,新竹縣,7300
2018,12,桃園市,193376
2018,12,澎湖縣,5991
2018,12,臺中市,285481
2018,12,臺北市,1017505
2018,12,臺南市,86213
2018,12,臺東縣,2325
2018,12,花蓮縣,2380
2018,12,苗栗縣,1240
2018,12,連江縣,2470
2018,12,金門縣,14984
2018,12,雲林縣,3558
2018,12,高雄市,280474
2019,01,南投縣,722
2019,01,嘉義市,2449
2019,01,嘉義縣,3761
2019,01,基隆市,72057
2019,01,宜蘭縣,25212
2019,01,屏東縣,9670
2019,01,彰化縣,4639
2019,01,新北市,689236
2019,01,新竹市,17634
2019,01,新竹縣,5779
2019,01,桃園市,195168
2019,01,澎湖縣,5523
2019,01,臺中市,287642
2019,01,臺北市,1021101
2019,01,臺南市,85931
2019,01,臺東縣,2250
2019,01,花蓮縣,2246
2019,01,苗栗縣,1240
2019,01,連江縣,2404
2019,01,金門縣,11718
2019,01,雲林縣,3678
2019,01,高雄市,271980
2019,02,南投縣,1666
2019,02,嘉義市,2185
2019,02,嘉義縣,3531
2019,02,基隆市,63753
2019,02,宜蘭縣,24824
2019,02,屏東縣,8953
2019,02,彰化縣,4193
2019,02,新北市,560674
2019,02,新竹市,15136
2019,02,新竹縣,5818
2019,02,桃園市,170897
2019,02,澎湖縣,5088
2019,02,臺中市,245680
2019,02,臺北市,840159
2019,02,臺南市,78549
2019,02,臺東縣,2100
2019,02,花蓮縣,2128
2019,02,苗栗縣,1120
2019,02,連江縣,2130
2019,02,金門縣,11350
2019,02,雲林縣,3392
2019,02,高雄市,247364
2019,03,南投縣,2416
2019,03,嘉義市,2365
