年,路線方向,路段,交流道,縣市,進出口,週類別,交通輛數
2020,國1南向,非主線資料,機場系統,桃園市,出口,週日,30948
2020,國1高架北向,非主線資料,機場系統,桃園市,出口,週日,3721
2020,國1高架南向,非主線資料,機場系統,桃園市,出口,週日,8941
2020,國2西向,非主線資料,機場系統,桃園市,出口,週日,39897
2020,國2東向,非主線資料,機場系統,桃園市,出口,週日,25815
2020,國1北向,非主線資料,機場系統,桃園市,進口,週日,33564
2020,國1南向,非主線資料,機場系統,桃園市,進口,週日,21649
2020,國1高架北向,非主線資料,機場系統,桃園市,進口,週日,8985
2020,國1高架南向,非主線資料,機場系統,桃園市,進口,週日,3312
2020,國2西向,非主線資料,機場系統,桃園市,進口,週日,22339
2020,國2東向,非主線資料,機場系統,桃園市,進口,週日,43646
2020,國1北向,非主線資料,民雄,嘉義縣,出口,週2-4,5139
2020,國1南向,非主線資料,民雄,嘉義縣,出口,週2-4,5941
2020,國1北向,非主線資料,民雄,嘉義縣,進口,週2-4,5826
2020,國1南向,非主線資料,民雄,嘉義縣,進口,週2-4,5011
2020,國1北向,非主線資料,民雄,嘉義縣,出口,週六,5229
2020,國1南向,非主線資料,民雄,嘉義縣,出口,週六,7343
2020,國1北向,非主線資料,民雄,嘉義縣,進口,週六,6866
2020,國1南向,非主線資料,民雄,嘉義縣,進口,週六,5109
2020,國1北向,非主線資料,民雄,嘉義縣,出口,週日,5169
2020,國1南向,非主線資料,民雄,嘉義縣,出口,週日,6773
2020,國1北向,非主線資料,民雄,嘉義縣,進口,週日,7297
2020,國1南向,非主線資料,民雄,嘉義縣,進口,週日,4952
2020,國1北向,非主線資料,水上,嘉義縣,出口,週2-4,1603
2020,國1南向,非主線資料,水上,嘉義縣,出口,週2-4,2946
2020,國1北向,非主線資料,水上,嘉義縣,進口,週2-4,2893
2020,國1南向,非主線資料,水上,嘉義縣,進口,週2-4,1668
2020,國1北向,非主線資料,水上,嘉義縣,出口,週六,1802
2020,國1南向,非主線資料,水上,嘉義縣,出口,週六,3087
2020,國1北向,非主線資料,水上,嘉義縣,進口,週六,2769
2020,國1南向,非主線資料,水上,嘉義縣,進口,週六,1833
2020,國1北向,非主線資料,水上,嘉義縣,出口,週日,1724
2020,國1南向,非主線資料,水上,嘉義縣,出口,週日,2784
2020,國1北向,非主線資料,水上,嘉義縣,進口,週日,2956
2020,國1南向,非主線資料,水上,嘉義縣,進口,週日,1910
2020,國3北向,非主線資料,水上系統,嘉義縣,出口,週2-4,1882
2020,國3南向,非主線資料,水上系統,嘉義縣,出口,週2-4,5669
2020,國3北向,非主線資料,水上系統,嘉義縣,進口,週2-4,5716
2020,國3南向,非主線資料,水上系統,嘉義縣,進口,週2-4,1722
2020,國3北向,非主線資料,水上系統,嘉義縣,出口,週六,2809
2020,國3南向,非主線資料,水上系統,嘉義縣,出口,週六,7156
2020,國3北向,非主線資料,水上系統,嘉義縣,進口,週六,7230
2020,國3南向,非主線資料,水上系統,嘉義縣,進口,週六,2629
2020,國3北向,非主線資料,水上系統,嘉義縣,出口,週日,3338
2020,國3南向,非主線資料,水上系統,嘉義縣,出口,週日,7077
2020,國3北向,非主線資料,水上系統,嘉義縣,進口,週日,7662
2020,國3南向,非主線資料,水上系統,嘉義縣,進口,週日,3019
2020,國1北向,非主線資料,永康,臺南市,出口,週2-4,15139
2020,國1南向,非主線資料,永康,臺南市,出口,週2-4,13986
2020,國1北向,非主線資料,永康,臺南市,進口,週2-4,14120
2020,國1南向,非主線資料,永康,臺南市,進口,週2-4,16246
2020,國1北向,非主線資料,永康,臺南市,出口,週六,12689
2020,國1南向,非主線資料,永康,臺南市,出口,週六,15942
2020,國1北向,非主線資料,永康,臺南市,進口,週六,16861
2020,國1南向,非主線資料,永康,臺南市,進口,週六,13898
2020,國1北向,非主線資料,永康,臺南市,出口,週日,11845
2020,國1南向,非主線資料,永康,臺南市,出口,週日,15456
2020,國1北向,非主線資料,永康,臺南市,進口,週日,16656
2020,國1南向,非主線資料,永康,臺南市,進口,週日,12204
2020,國1北向,非主線資料,汐止及汐止系統,新北市,出口,週2-4,25911
2020,國1南向,非主線資料,汐止及汐止系統,新北市,出口,週2-4,31809
2020,國1北向,非主線資料,汐止及汐止系統,新北市,進口,週2-4,34740
2020,國1南向,非主線資料,汐止及汐止系統,新北市,進口,週2-4,20627
2020,國1北向,非主線資料,汐止及汐止系統,新北市,出口,週六,23978
2020,國1南向,非主線資料,汐止及汐止系統,新北市,出口,週六,39718
2020,國1北向,非主線資料,汐止及汐止系統,新北市,進口,週六,41495
2020,國1南向,非主線資料,汐止及汐止系統,新北市,進口,週六,19545
2020,國1北向,非主線資料,汐止及汐止系統,新北市,出口,週日,21841
2020,國1南向,非主線資料,汐止及汐止系統,新北市,出口,週日,38928
2020,國1北向,非主線資料,汐止及汐止系統,新北市,進口,週日,38779
2020,國1南向,非主線資料,汐止及汐止系統,新北市,進口,週日,19010
2020,國1高架北向,非主線資料,汐止端,新北市,出口,週2-4,33145
2020,國1高架南向,非主線資料,汐止端,新北市,進口,週2-4,29813
2020,國1高架北向,非主線資料,汐止端,新北市,出口,週六,39572
2020,國1高架南向,非主線資料,汐止端,新北市,進口,週六,34084
2020,國1高架北向,非主線資料,汐止端,新北市,出口,週日,34679
2020,國1高架南向,非主線資料,汐止端,新北市,進口,週日,34721
2020,國3北向,非主線資料,汐止系統,新北市,出口,週2-4,30400
2020,國3南向,非主線資料,汐止系統,新北市,出口,週2-4,11813
2020,國3北向,非主線資料,汐止系統,新北市,進口,週2-4,10292
2020,國3南向,非主線資料,汐止系統,新北市,進口,週2-4,32985
2020,國3北向,非主線資料,汐止系統,新北市,出口,週六,29166
2020,國3南向,非主線資料,汐止系統,新北市,出口,週六,11797
2020,國3北向,非主線資料,汐止系統,新北市,進口,週六,13044
2020,國3南向,非主線資料,汐止系統,新北市,進口,週六,33588
2020,國3北向,非主線資料,汐止系統,新北市,出口,週日,29408
2020,國3南向,非主線資料,汐止系統,新北市,出口,週日,13273
2020,國3北向,非主線資料,汐止系統,新北市,進口,週日,12248
2020,國3南向,非主線資料,汐止系統,新北市,進口,週日,30446
2020,國3北向,非主線資料,沙鹿,臺中市,出口,週2-4,8853
