年,月,行業別,營業額_千元,年月
2019,1,零售式量販業,16354276,201901
2019,1,其他綜合商品零售業,13165899,201901
2019,1,食品、飲料及菸草製品零售業,22979442,201901
2019,1,文教育樂用品零售業,6551185,201901
2019,1,燃料及相關產品零售業,21325228,201901
2019,1,資通訊及家電設備零售業,20936808,201901
2019,1,汽機車及其零配件、用品零售業,61151187,201901
2019,1,電子購物及郵購業,29152558,201901
2019,1,餐飲業,61974827,201901
2019,2,百貨公司業,31887817,201902
2019,2,超級市場業,17036628,201902
2019,2,便利商店業,27528509,201902
2019,2,零售式量販業,18060078,201902
2019,2,其他綜合商品零售業,13760158,201902
2019,2,食品、飲料及菸草製品零售業,24715293,201902
2019,2,文教育樂用品零售業,7580201,201902
2019,2,燃料及相關產品零售業,22987682,201902
2019,2,資通訊及家電設備零售業,18910313,201902
2019,2,汽機車及其零配件、用品零售業,68814193,201902
2019,2,電子購物及郵購業,25595438,201902
2019,2,餐飲業,70188995,201902
2020,1,百貨公司業,33297062,202001
2020,1,超級市場業,18568282,202001
2020,1,便利商店業,30181690,202001
2020,1,零售式量販業,24414066,202001
2020,1,其他綜合商品零售業,13863991,202001
2020,1,食品、飲料及菸草製品零售業,25355521,202001
2020,1,文教育樂用品零售業,7463726,202001
2020,1,燃料及相關產品零售業,22416761,202001
2020,1,資通訊及家電設備零售業,22272440,202001
2020,1,汽機車及其零配件、用品零售業,59634696,202001
2020,1,電子購物及郵購業,24647217,202001
2020,1,餐飲業,79687845,202001
2020,2,百貨公司業,21169573,202002
2020,2,超級市場業,17177413,202002
2020,2,便利商店業,25004897,202002
2020,2,零售式量販業,16634597,202002
2020,2,其他綜合商品零售業,9853865,202002
2020,2,食品、飲料及菸草製品零售業,19383561,202002
2020,2,文教育樂用品零售業,5953602,202002
2020,2,燃料及相關產品零售業,18815441,202002
2020,2,資通訊及家電設備零售業,18959048,202002
2020,2,汽機車及其零配件、用品零售業,44593813,202002
2020,2,電子購物及郵購業,24742484,202002
2020,2,餐飲業,55891678,202002
2020,3,百貨公司業,19450138,202003
2020,3,超級市場業,20185349,202003
2020,3,便利商店業,26909220,202003
2020,3,零售式量販業,18792338,202003
2020,3,其他綜合商品零售業,9135934,202003
2020,3,食品、飲料及菸草製品零售業,19789743,202003
2020,3,文教育樂用品零售業,5663799,202003
