年月,年,月,行業別,用電量
2018年8月,2018,8,住宅用電,4953074
2018年8月,2018,8,服務業用電,4547502.9
2018年8月,2018,8,運輸及倉儲業,283621.1
2018年8月,2018,8,住宿及餐飲業,727925.7
2018年8月,2018,8,出版影音及資通訊業,307199.2
2018年8月,2018,8,金融及保險業,190422.8
2018年8月,2018,8,不動產業,150440.5
2018年8月,2018,8,醫療保健及社會工作服務業,330165.7
2018年8月,2018,8,藝術、娛樂及休閒服務業,130293.9
2018年8月,2018,8,運輸用電,132572.4
2018年8月,2018,8,公路,4179.5
2018年8月,2018,8,鐵路,125164.4
2018年8月,2018,8,管線運輸,3228.3
2018年8月,2018,8,能源部門自用,1756871.5
2018年8月,2018,8,農業部門,286867.8
2018年9月,2018,9,全國用電量,24444133.2
2018年9月,2018,9,工業用電,12687501.1
2018年9月,2018,9,紡織成衣及服飾品製造業,528506.6
2018年9月,2018,9,紙漿、紙及紙製品製造業,304691.7
2018年9月,2018,9,化學材料及肥料製造業,2727279.6
2018年9月,2018,9,塑膠製品製造業,447922.1
2018年9月,2018,9,非金屬礦物製品製造業,475399.1
2018年9月,2018,9,基本金屬製造業,1605666.7
2018年9月,2018,9,金屬製品製造業,589883.2
2018年9月,2018,9,電子產品及電力設備製造業,4382827.5
2018年9月,2018,9,住宅用電,5132590.7
2018年9月,2018,9,服務業用電,4570528.1
2018年9月,2018,9,運輸及倉儲業,272674.3
2018年9月,2018,9,住宿及餐飲業,733448.5
2018年9月,2018,9,出版影音及資通訊業,307935
2018年9月,2018,9,金融及保險業,185538.4
2018年9月,2018,9,不動產業,148794.7
2018年9月,2018,9,醫療保健及社會工作服務業,309789.1
2018年9月,2018,9,藝術、娛樂及休閒服務業,125610.2
2018年9月,2018,9,運輸用電,127524.7
2018年9月,2018,9,公路,4343.8
2018年9月,2018,9,鐵路,120033.5
2018年9月,2018,9,管線運輸,3147.3
2018年9月,2018,9,能源部門自用,1653337.5
2018年9月,2018,9,農業部門,272650.9
2018年10月,2018,10,全國用電量,23385080.4
2018年10月,2018,10,工業用電,12735885
2018年10月,2018,10,紡織成衣及服飾品製造業,523653.1
2018年10月,2018,10,紙漿、紙及紙製品製造業,317419
2018年10月,2018,10,化學材料及肥料製造業,2725695.8
2018年10月,2018,10,塑膠製品製造業,452761.9
2018年10月,2018,10,非金屬礦物製品製造業,504216
2018年10月,2018,10,基本金屬製造業,1679798.3
2018年10月,2018,10,金屬製品製造業,599287.7
2018年10月,2018,10,電子產品及電力設備製造業,4336802.2
2018年10月,2018,10,住宅用電,4476331.7
2018年10月,2018,10,服務業用電,4156956.2
2018年10月,2018,10,運輸及倉儲業,251834.3
2018年10月,2018,10,住宿及餐飲業,654137.4
2018年10月,2018,10,出版影音及資通訊業,287280.6
2018年10月,2018,10,金融及保險業,164982.6
2018年10月,2018,10,不動產業,131793.6
2018年10月,2018,10,醫療保健及社會工作服務業,281168.2
2018年10月,2018,10,藝術、娛樂及休閒服務業,113772.8
2018年10月,2018,10,運輸用電,127367.7
2018年10月,2018,10,公路,4620.6
2018年10月,2018,10,鐵路,119587.9
2018年10月,2018,10,管線運輸,3159.1
2018年10月,2018,10,能源部門自用,1628670.4
2018年10月,2018,10,農業部門,259869.2
2018年11月,2018,11,全國用電量,21949102.2
2018年11月,2018,11,工業用電,12257271.7
2018年11月,2018,11,紡織成衣及服飾品製造業,488956.5
2018年11月,2018,11,紙漿、紙及紙製品製造業,302697
2018年11月,2018,11,化學材料及肥料製造業,2654706.3
2018年11月,2018,11,塑膠製品製造業,438379.2
2018年11月,2018,11,非金屬礦物製品製造業,491327.3
