年,月,餐飲細分行業,營業額_千元,年月
2024,4,飲料店,10806124,202404
2024,5,餐館,67765636,202405
2024,5,外燴及團膳承包業,5810734,202405
2024,5,飲料店,11091987,202405
2024,6,餐館,70039677,202406
2024,6,外燴及團膳承包業,5705793,202406
2024,6,飲料店,11252723,202406
2024,7,餐館,68932538,202407
2024,7,外燴及團膳承包業,4798014,202407
2024,7,飲料店,11068535,202407
2024,8,餐館,72853588,202408
2024,8,外燴及團膳承包業,4699160,202408
2024,8,飲料店,11462350,202408
2024,9,餐館,67747451,202409
2024,9,外燴及團膳承包業,5448929,202409
2024,9,飲料店,11065857,202409
2024,10,餐館,65285463,202410
2024,10,外燴及團膳承包業,5915110,202410
2024,10,飲料店,10731999,202410
2024,11,餐館,68932820,202411
2024,11,外燴及團膳承包業,6219072,202411
2024,11,飲料店,10862549,202411
2024,12,餐館,77421090,202412
2024,12,外燴及團膳承包業,6599113,202412
2024,12,飲料店,11952130,202412
2025,1,餐館,87429734,202501
2025,1,外燴及團膳承包業,5725697,202501
2025,1,飲料店,12456689,202501
2025,2,餐館,67403127,202502
2025,2,外燴及團膳承包業,5006662,202502
2025,2,飲料店,10435352,202502
2025,3,餐館,68399035,202503
2025,3,外燴及團膳承包業,5883860,202503
2025,3,飲料店,11407664,202503
2025,4,餐館,63796700,202504
2025,4,外燴及團膳承包業,6255073,202504
2025,4,飲料店,11490705,202504
2025,5,餐館,72140290,202505
2025,5,外燴及團膳承包業,6249177,202505
2025,5,飲料店,12027499,202505
2025,6,餐館,67539794,202506
2025,6,外燴及團膳承包業,6184741,202506
2025,6,飲料店,11542187,202506
2025,7,餐館,69256660,202507
2025,7,外燴及團膳承包業,5415639,202507
2025,7,飲料店,11890146,202507
2025,8,餐館,75866072,202508
2025,8,外燴及團膳承包業,5041370,202508
2025,8,飲料店,12377650,202508
2025,9,餐館,64739193,202509
2025,9,外燴及團膳承包業,5890722,202509
2025,9,飲料店,12305005,202509
2025,10,餐館,70651574,202510
2025,10,外燴及團膳承包業,6507294,202510
2025,10,飲料店,12310947,202510
2025,11,餐館,70611332,202511
2025,11,外燴及團膳承包業,6502064,202511
2025,11,飲料店,11732050,202511
2025,12,餐館,75466065,202512
2025,12,外燴及團膳承包業,6899228,202512
2025,12,飲料店,12587446,202512
2026,1,餐館,77497777,202601
2026,1,外燴及團膳承包業,6731464,202601
2026,1,飲料店,12473208,202601
2026,2,餐館,83452023,202602
2026,2,外燴及團膳承包業,4843229,202602
2026,2,飲料店,12042381,202602
