縣市,行政區, 年底人口數 ,土地面積
金門縣,金沙鎮,"19,840",41.19
金門縣,金寧鄉,"35,287",29.854
金門縣,烈嶼鄉,"12,050",16.003
金門縣,烏坵鄉,593,1.2
連江縣,南竿鄉,"7,629",10.4
連江縣,北竿鄉,"2,930",9.9
連江縣,莒光鄉,"1,537",4.7
連江縣,東引鄉,"1,525",3.8
東沙群島,東沙群島,…,2.38
南沙群島,南沙群島,…,0.5045
