月,年,月2,修改,行業別,營業額_千元,日期格式
2019年1月,2019,1月,1,超級市場業,16086420.0,2019-01-01
2019年1月,2019,1月,1,便利商店業,28307520.0,2019-01-01
2019年1月,2019,1月,1,零售式量販業,20890281.0,2019-01-01
2019年1月,2019,1月,1,其他綜合商品零售業,14034844.0,2019-01-01
2019年1月,2019,1月,1,食品、飲料及菸草製品零售業,27973444.0,2019-01-01
2019年1月,2019,1月,1,文教育樂用品零售業,7277465.0,2019-01-01
2019年1月,2019,1月,1,燃料及相關產品零售業,21600400.0,2019-01-01
2019年1月,2019,1月,1,資通訊及家電設備零售業,23266079.0,2019-01-01
2019年1月,2019,1月,1,汽機車及其零配件、用品零售業,66510812.0,2019-01-01
2019年1月,2019,1月,1,電子購物及郵購業,23039172.0,2019-01-01
2019年1月,2019,1月,1,餐飲業,68296842.0,2019-01-01
2019年2月,2019,2月,2,百貨公司業,28401199.0,2019-02-01
2019年2月,2019,2月,2,超級市場業,15312662.0,2019-02-01
2019年2月,2019,2月,2,便利商店業,25710829.0,2019-02-01
2019年2月,2019,2月,2,零售式量販業,16388909.0,2019-02-01
2019年2月,2019,2月,2,其他綜合商品零售業,14405847.0,2019-02-01
2019年2月,2019,2月,2,食品、飲料及菸草製品零售業,21059668.0,2019-02-01
2019年2月,2019,2月,2,文教育樂用品零售業,6416481.0,2019-02-01
2019年2月,2019,2月,2,燃料及相關產品零售業,19315045.0,2019-02-01
2019年2月,2019,2月,2,資通訊及家電設備零售業,18316346.0,2019-02-01
2019年2月,2019,2月,2,汽機車及其零配件、用品零售業,31368290.0,2019-02-01
2019年2月,2019,2月,2,電子購物及郵購業,17932705.0,2019-02-01
2019年2月,2019,2月,2,餐飲業,68054323.0,2019-02-01
2019年3月,2019,3月,3,百貨公司業,24722761.0,2019-03-01
2019年3月,2019,3月,3,超級市場業,15698595.0,2019-03-01
2019年3月,2019,3月,3,便利商店業,26322232.0,2019-03-01
2019年3月,2019,3月,3,零售式量販業,15675090.0,2019-03-01
2019年3月,2019,3月,3,其他綜合商品零售業,13879321.0,2019-03-01
2019年3月,2019,3月,3,食品、飲料及菸草製品零售業,22535632.0,2019-03-01
2019年3月,2019,3月,3,文教育樂用品零售業,6257994.0,2019-03-01
2019年3月,2019,3月,3,燃料及相關產品零售業,21976619.0,2019-03-01
2019年3月,2019,3月,3,資通訊及家電設備零售業,19247677.0,2019-03-01
2019年3月,2019,3月,3,汽機車及其零配件、用品零售業,51814140.0,2019-03-01
2019年3月,2019,3月,3,電子購物及郵購業,19364845.0,2019-03-01
2019年3月,2019,3月,3,餐飲業,63717611.0,2019-03-01
2019年4月,2019,4月,4,百貨公司業,30124882.0,2019-04-01
2019年4月,2019,4月,4,超級市場業,15782987.0,2019-04-01
2019年4月,2019,4月,4,便利商店業,26398777.0,2019-04-01
2019年4月,2019,4月,4,零售式量販業,14992878.0,2019-04-01
2019年4月,2019,4月,4,其他綜合商品零售業,14818099.0,2019-04-01
2019年4月,2019,4月,4,食品、飲料及菸草製品零售業,22184788.0,2019-04-01
2019年4月,2019,4月,4,文教育樂用品零售業,6157866.0,2019-04-01
2019年4月,2019,4月,4,燃料及相關產品零售業,22346398.0,2019-04-01
2019年4月,2019,4月,4,資通訊及家電設備零售業,20169052.0,2019-04-01
2019年4月,2019,4月,4,汽機車及其零配件、用品零售業,54803817.0,2019-04-01
2019年4月,2019,4月,4,電子購物及郵購業,18972600.0,2019-04-01
2019年4月,2019,4月,4,餐飲業,60303338.0,2019-04-01
2019年5月,2019,5月,5,百貨公司業,29263010.0,2019-05-01
2019年5月,2019,5月,5,超級市場業,16460538.0,2019-05-01
2019年5月,2019,5月,5,便利商店業,27581786.0,2019-05-01
2019年5月,2019,5月,5,零售式量販業,15893290.0,2019-05-01
2019年5月,2019,5月,5,其他綜合商品零售業,15401532.0,2019-05-01
2019年5月,2019,5月,5,食品、飲料及菸草製品零售業,23623306.0,2019-05-01
2019年5月,2019,5月,5,文教育樂用品零售業,6284251.0,2019-05-01
2019年5月,2019,5月,5,燃料及相關產品零售業,23453171.0,2019-05-01
2019年5月,2019,5月,5,資通訊及家電設備零售業,20291009.0,2019-05-01
2019年5月,2019,5月,5,汽機車及其零配件、用品零售業,57176987.0,2019-05-01
2019年5月,2019,5月,5,電子購物及郵購業,20568248.0,2019-05-01
2019年5月,2019,5月,5,餐飲業,65693788.0,2019-05-01
2019年6月,2019,6月,6,百貨公司業,25701701.0,2019-06-01
2019年6月,2019,6月,6,超級市場業,16223119.0,2019-06-01
2019年6月,2019,6月,6,便利商店業,28016613.0,2019-06-01
2019年6月,2019,6月,6,零售式量販業,16518215.0,2019-06-01
2019年6月,2019,6月,6,其他綜合商品零售業,14265676.0,2019-06-01
2019年6月,2019,6月,6,食品、飲料及菸草製品零售業,21711817.0,2019-06-01
2019年6月,2019,6月,6,文教育樂用品零售業,6077841.0,2019-06-01
2019年6月,2019,6月,6,燃料及相關產品零售業,23200791.0,2019-06-01
2019年6月,2019,6月,6,資通訊及家電設備零售業,19460191.0,2019-06-01
2019年6月,2019,6月,6,汽機車及其零配件、用品零售業,58308749.0,2019-06-01
2019年6月,2019,6月,6,電子購物及郵購業,19925447.0,2019-06-01
2019年6月,2019,6月,6,餐飲業,66496157.0,2019-06-01
2019年7月,2019,7月,7,百貨公司業,25974139.0,2019-07-01
2019年7月,2019,7月,7,超級市場業,17405420.0,2019-07-01
2019年7月,2019,7月,7,便利商店業,29040900.0,2019-07-01
2019年7月,2019,7月,7,零售式量販業,17506009.0,2019-07-01
2019年7月,2019,7月,7,其他綜合商品零售業,14255932.0,2019-07-01
2019年7月,2019,7月,7,食品、飲料及菸草製品零售業,22497177.0,2019-07-01
2019年7月,2019,7月,7,文教育樂用品零售業,6536651.0,2019-07-01
2019年7月,2019,7月,7,燃料及相關產品零售業,23109333.0,2019-07-01
2019年7月,2019,7月,7,資通訊及家電設備零售業,21926887.0,2019-07-01
2019年7月,2019,7月,7,汽機車及其零配件、用品零售業,69307703.0,2019-07-01
2019年7月,2019,7月,7,電子購物及郵購業,20157698.0,2019-07-01
2019年7月,2019,7月,7,餐飲業,67303879.0,2019-07-01
2019年8月,2019,8月,8,百貨公司業,26394920.0,2019-08-01
2019年8月,2019,8月,8,超級市場業,19904855.0,2019-08-01
2019年8月,2019,8月,8,便利商店業,28658054.0,2019-08-01
2019年8月,2019,8月,8,零售式量販業,20600130.0,2019-08-01
2019年8月,2019,8月,8,其他綜合商品零售業,14459136.0,2019-08-01
2019年8月,2019,8月,8,食品、飲料及菸草製品零售業,25321000.0,2019-08-01
2019年8月,2019,8月,8,文教育樂用品零售業,6553328.0,2019-08-01
2019年8月,2019,8月,8,燃料及相關產品零售業,22649735.0,2019-08-01
2019年8月,2019,8月,8,資通訊及家電設備零售業,20247287.0,2019-08-01
2019年8月,2019,8月,8,汽機車及其零配件、用品零售業,42325614.0,2019-08-01
2019年8月,2019,8月,8,電子購物及郵購業,21049254.0,2019-08-01
2019年8月,2019,8月,8,餐飲業,70008935.0,2019-08-01
2019年9月,2019,9月,9,百貨公司業,26145196.0,2019-09-01
2019年9月,2019,9月,9,超級市場業,17173527.0,2019-09-01
2019年9月,2019,9月,9,便利商店業,27501357.0,2019-09-01
2019年9月,2019,9月,9,零售式量販業,17575829.0,2019-09-01
2019年9月,2019,9月,9,其他綜合商品零售業,12819816.0,2019-09-01
2019年9月,2019,9月,9,食品、飲料及菸草製品零售業,25263547.0,2019-09-01
2019年9月,2019,9月,9,文教育樂用品零售業,5974653.0,2019-09-01
2019年9月,2019,9月,9,燃料及相關產品零售業,21723134.0,2019-09-01
2019年9月,2019,9月,9,資通訊及家電設備零售業,20074031.0,2019-09-01
2019年9月,2019,9月,9,汽機車及其零配件、用品零售業,55546716.0,2019-09-01
2019年9月,2019,9月,9,電子購物及郵購業,19954665.0,2019-09-01
2019年9月,2019,9月,9,餐飲業,62615899.0,2019-09-01
2019年10月,2019,10月,10,百貨公司業,40735723.0,2019-10-01
2019年10月,2019,10月,10,超級市場業,17462625.0,2019-10-01
2019年10月,2019,10月,10,便利商店業,28141572.0,2019-10-01
2019年10月,2019,10月,10,零售式量販業,15629490.0,2019-10-01
2019年10月,2019,10月,10,其他綜合商品零售業,13971282.0,2019-10-01
2019年10月,2019,10月,10,食品、飲料及菸草製品零售業,24102362.0,2019-10-01
2019年10月,2019,10月,10,文教育樂用品零售業,6500604.0,2019-10-01
2019年10月,2019,10月,10,燃料及相關產品零售業,22015184.0,2019-10-01
2019年10月,2019,10月,10,資通訊及家電設備零售業,20535036.0,2019-10-01
2019年10月,2019,10月,10,汽機車及其零配件、用品零售業,60953362.0,2019-10-01
2019年10月,2019,10月,10,電子購物及郵購業,20781030.0,2019-10-01
2019年10月,2019,10月,10,餐飲業,62765102.0,2019-10-01
2019年11月,2019,11月,11,百貨公司業,39667129.0,2019-11-01
2019年11月,2019,11月,11,超級市場業,16462176.0,2019-11-01
2019年11月,2019,11月,11,便利商店業,26864042.0,2019-11-01
2019年11月,2019,11月,11,零售式量販業,16354276.0,2019-11-01
2019年11月,2019,11月,11,其他綜合商品零售業,13165899.0,2019-11-01
2019年11月,2019,11月,11,食品、飲料及菸草製品零售業,22979442.0,2019-11-01
2019年11月,2019,11月,11,文教育樂用品零售業,6551185.0,2019-11-01
2019年11月,2019,11月,11,燃料及相關產品零售業,21325228.0,2019-11-01
2019年11月,2019,11月,11,資通訊及家電設備零售業,20936808.0,2019-11-01
2019年11月,2019,11月,11,汽機車及其零配件、用品零售業,61151187.0,2019-11-01
2019年11月,2019,11月,11,電子購物及郵購業,29152558.0,2019-11-01
2019年11月,2019,11月,11,餐飲業,61974827.0,2019-11-01
2019年12月,2019,12月,12,百貨公司業,31887817.0,2019-12-01
2019年12月,2019,12月,12,超級市場業,17036628.0,2019-12-01
2019年12月,2019,12月,12,便利商店業,27528509.0,2019-12-01
2019年12月,2019,12月,12,零售式量販業,18060078.0,2019-12-01
2019年12月,2019,12月,12,其他綜合商品零售業,13760158.0,2019-12-01
2019年12月,2019,12月,12,食品、飲料及菸草製品零售業,24715293.0,2019-12-01
2019年12月,2019,12月,12,文教育樂用品零售業,7580201.0,2019-12-01
2019年12月,2019,12月,12,燃料及相關產品零售業,22987682.0,2019-12-01
2019年12月,2019,12月,12,資通訊及家電設備零售業,18910313.0,2019-12-01
2019年12月,2019,12月,12,汽機車及其零配件、用品零售業,68814193.0,2019-12-01
2019年12月,2019,12月,12,電子購物及郵購業,25595438.0,2019-12-01
2019年12月,2019,12月,12,餐飲業,70188995.0,2019-12-01
2020年1月,2020,1月,1,百貨公司業,33297062.0,2020-01-01
2020年1月,2020,1月,1,超級市場業,18568282.0,2020-01-01
2020年1月,2020,1月,1,便利商店業,30181690.0,2020-01-01
2020年1月,2020,1月,1,零售式量販業,24414066.0,2020-01-01
2020年1月,2020,1月,1,其他綜合商品零售業,13863991.0,2020-01-01
2020年1月,2020,1月,1,食品、飲料及菸草製品零售業,25355521.0,2020-01-01
2020年1月,2020,1月,1,文教育樂用品零售業,7463726.0,2020-01-01
2020年1月,2020,1月,1,燃料及相關產品零售業,22416761.0,2020-01-01
2020年1月,2020,1月,1,資通訊及家電設備零售業,22272440.0,2020-01-01
2020年1月,2020,1月,1,汽機車及其零配件、用品零售業,59634696.0,2020-01-01
2020年1月,2020,1月,1,電子購物及郵購業,24647217.0,2020-01-01
2020年1月,2020,1月,1,餐飲業,79687845.0,2020-01-01
2020年2月,2020,2月,2,百貨公司業,21169573.0,2020-02-01
2020年2月,2020,2月,2,超級市場業,17177413.0,2020-02-01
2020年2月,2020,2月,2,便利商店業,25004897.0,2020-02-01
2020年2月,2020,2月,2,零售式量販業,16634597.0,2020-02-01
2020年2月,2020,2月,2,其他綜合商品零售業,9853865.0,2020-02-01
2020年2月,2020,2月,2,食品、飲料及菸草製品零售業,19383561.0,2020-02-01
2020年2月,2020,2月,2,文教育樂用品零售業,5953602.0,2020-02-01
2020年2月,2020,2月,2,燃料及相關產品零售業,18815441.0,2020-02-01
2020年2月,2020,2月,2,資通訊及家電設備零售業,18959048.0,2020-02-01
2020年2月,2020,2月,2,汽機車及其零配件、用品零售業,44593813.0,2020-02-01
2020年2月,2020,2月,2,電子購物及郵購業,24742484.0,2020-02-01
2020年2月,2020,2月,2,餐飲業,55891678.0,2020-02-01
2020年3月,2020,3月,3,百貨公司業,19450138.0,2020-03-01
2020年3月,2020,3月,3,超級市場業,20185349.0,2020-03-01
2020年3月,2020,3月,3,便利商店業,26909220.0,2020-03-01
2020年3月,2020,3月,3,零售式量販業,18792338.0,2020-03-01
2020年3月,2020,3月,3,其他綜合商品零售業,9135934.0,2020-03-01
2020年3月,2020,3月,3,食品、飲料及菸草製品零售業,19789743.0,2020-03-01
2020年3月,2020,3月,3,文教育樂用品零售業,5663799.0,2020-03-01
2020年3月,2020,3月,3,燃料及相關產品零售業,17295774.0,2020-03-01
2020年3月,2020,3月,3,資通訊及家電設備零售業,18936411.0,2020-03-01
2020年3月,2020,3月,3,汽機車及其零配件、用品零售業,55977704.0,2020-03-01
2020年3月,2020,3月,3,電子購物及郵購業,25738666.0,2020-03-01
2020年3月,2020,3月,3,餐飲業,50489651.0,2020-03-01
2020年4月,2020,4月,4,百貨公司業,23506679.0,2020-04-01
2020年4月,2020,4月,4,超級市場業,17932756.0,2020-04-01
2020年4月,2020,4月,4,便利商店業,26417326.0,2020-04-01
2020年4月,2020,4月,4,零售式量販業,15806028.0,2020-04-01
2020年4月,2020,4月,4,其他綜合商品零售業,8573235.0,2020-04-01
2020年4月,2020,4月,4,食品、飲料及菸草製品零售業,19301847.0,2020-04-01
2020年4月,2020,4月,4,文教育樂用品零售業,6271128.0,2020-04-01
2020年4月,2020,4月,4,燃料及相關產品零售業,13465694.0,2020-04-01
2020年4月,2020,4月,4,資通訊及家電設備零售業,19073870.0,2020-04-01
2020年4月,2020,4月,4,汽機車及其零配件、用品零售業,53018232.0,2020-04-01
2020年4月,2020,4月,4,電子購物及郵購業,24118468.0,2020-04-01
2020年4月,2020,4月,4,餐飲業,46515258.0,2020-04-01
2020年5月,2020,5月,5,百貨公司業,27447425.0,2020-05-01
2020年5月,2020,5月,5,超級市場業,17663126.0,2020-05-01
2020年5月,2020,5月,5,便利商店業,28800988.0,2020-05-01
2020年5月,2020,5月,5,零售式量販業,18037839.0,2020-05-01
2020年5月,2020,5月,5,其他綜合商品零售業,9416004.0,2020-05-01
2020年5月,2020,5月,5,食品、飲料及菸草製品零售業,20291588.0,2020-05-01
2020年5月,2020,5月,5,文教育樂用品零售業,6902045.0,2020-05-01
2020年5月,2020,5月,5,燃料及相關產品零售業,15155338.0,2020-05-01
2020年5月,2020,5月,5,資通訊及家電設備零售業,20715747.0,2020-05-01
2020年5月,2020,5月,5,汽機車及其零配件、用品零售業,54278605.0,2020-05-01
2020年5月,2020,5月,5,電子購物及郵購業,25823850.0,2020-05-01
2020年5月,2020,5月,5,餐飲業,59913418.0,2020-05-01
2020年6月,2020,6月,6,百貨公司業,25253193.0,2020-06-01
2020年6月,2020,6月,6,超級市場業,17155111.0,2020-06-01
2020年6月,2020,6月,6,便利商店業,29596427.0,2020-06-01
2020年6月,2020,6月,6,零售式量販業,16927791.0,2020-06-01
2020年6月,2020,6月,6,其他綜合商品零售業,9095940.0,2020-06-01
2020年6月,2020,6月,6,食品、飲料及菸草製品零售業,21042230.0,2020-06-01
2020年6月,2020,6月,6,文教育樂用品零售業,6777316.0,2020-06-01
2020年6月,2020,6月,6,燃料及相關產品零售業,17459575.0,2020-06-01
2020年6月,2020,6月,6,資通訊及家電設備零售業,19983382.0,2020-06-01
2020年6月,2020,6月,6,汽機車及其零配件、用品零售業,62180632.0,2020-06-01
2020年6月,2020,6月,6,電子購物及郵購業,25173090.0,2020-06-01
2020年6月,2020,6月,6,餐飲業,61546374.0,2020-06-01
2020年7月,2020,7月,7,百貨公司業,28687618.0,2020-07-01
2020年7月,2020,7月,7,超級市場業,18345434.0,2020-07-01
