月,年,月2,修改,行業別,營業額_千元,日期格式
2023年3月,2023,3月,3,燃料及相關產品零售業,23374953.0,2023-03-01
2023年3月,2023,3月,3,資通訊及家電設備零售業,22105037.0,2023-03-01
2023年3月,2023,3月,3,汽機車及其零配件、用品零售業,84310224.0,2023-03-01
2023年3月,2023,3月,3,電子購物及郵購業,35918946.0,2023-03-01
2023年3月,2023,3月,3,餐飲業,75287663.0,2023-03-01
2023年4月,2023,4月,4,百貨公司業,38041004.0,2023-04-01
2023年4月,2023,4月,4,超級市場業,19145436.0,2023-04-01
2023年4月,2023,4月,4,便利商店業,32030146.0,2023-04-01
2023年4月,2023,4月,4,零售式量販業,18848569.0,2023-04-01
2023年4月,2023,4月,4,其他綜合商品零售業,12759976.0,2023-04-01
2023年4月,2023,4月,4,食品、飲料及菸草製品零售業,21950625.0,2023-04-01
2023年4月,2023,4月,4,文教育樂用品零售業,7061982.0,2023-04-01
2023年4月,2023,4月,4,燃料及相關產品零售業,22278617.0,2023-04-01
2023年4月,2023,4月,4,資通訊及家電設備零售業,22063990.0,2023-04-01
2023年4月,2023,4月,4,汽機車及其零配件、用品零售業,72623980.0,2023-04-01
2023年4月,2023,4月,4,電子購物及郵購業,33214530.0,2023-04-01
2023年4月,2023,4月,4,餐飲業,79434053.0,2023-04-01
2023年5月,2023,5月,5,百貨公司業,34803933.0,2023-05-01
2023年5月,2023,5月,5,超級市場業,19568718.0,2023-05-01
2023年5月,2023,5月,5,便利商店業,33822821.0,2023-05-01
2023年5月,2023,5月,5,零售式量販業,18125802.0,2023-05-01
2023年5月,2023,5月,5,其他綜合商品零售業,12790714.0,2023-05-01
2023年5月,2023,5月,5,食品、飲料及菸草製品零售業,22997018.0,2023-05-01
2023年5月,2023,5月,5,文教育樂用品零售業,6794356.0,2023-05-01
2023年5月,2023,5月,5,燃料及相關產品零售業,23043932.0,2023-05-01
2023年5月,2023,5月,5,資通訊及家電設備零售業,23103297.0,2023-05-01
2023年5月,2023,5月,5,汽機車及其零配件、用品零售業,79890533.0,2023-05-01
2023年5月,2023,5月,5,電子購物及郵購業,37140376.0,2023-05-01
2023年5月,2023,5月,5,餐飲業,81534813.0,2023-05-01
2023年6月,2023,6月,6,百貨公司業,31144615.0,2023-06-01
2023年6月,2023,6月,6,超級市場業,19090696.0,2023-06-01
2023年6月,2023,6月,6,便利商店業,33767126.0,2023-06-01
2023年6月,2023,6月,6,零售式量販業,17930726.0,2023-06-01
2023年6月,2023,6月,6,其他綜合商品零售業,12926292.0,2023-06-01
2023年6月,2023,6月,6,食品、飲料及菸草製品零售業,22268383.0,2023-06-01
2023年6月,2023,6月,6,文教育樂用品零售業,7227107.0,2023-06-01
2023年6月,2023,6月,6,燃料及相關產品零售業,22978369.0,2023-06-01
2023年6月,2023,6月,6,資通訊及家電設備零售業,22210001.0,2023-06-01
2023年6月,2023,6月,6,汽機車及其零配件、用品零售業,82936983.0,2023-06-01
2023年6月,2023,6月,6,電子購物及郵購業,37579653.0,2023-06-01
2023年6月,2023,6月,6,餐飲業,81425847.0,2023-06-01
2023年7月,2023,7月,7,百貨公司業,34181898.0,2023-07-01
2023年7月,2023,7月,7,超級市場業,21449096.0,2023-07-01
2023年7月,2023,7月,7,便利商店業,36062584.0,2023-07-01
2023年7月,2023,7月,7,零售式量販業,19797620.0,2023-07-01
2023年7月,2023,7月,7,其他綜合商品零售業,12787871.0,2023-07-01
2023年7月,2023,7月,7,食品、飲料及菸草製品零售業,22046833.0,2023-07-01
2023年7月,2023,7月,7,文教育樂用品零售業,7925326.0,2023-07-01
2023年7月,2023,7月,7,燃料及相關產品零售業,23883267.0,2023-07-01
2023年7月,2023,7月,7,資通訊及家電設備零售業,23042556.0,2023-07-01
2023年7月,2023,7月,7,汽機車及其零配件、用品零售業,77049708.0,2023-07-01
2023年7月,2023,7月,7,電子購物及郵購業,35226966.0,2023-07-01
2023年7月,2023,7月,7,餐飲業,87535950.0,2023-07-01
2023年8月,2023,8月,8,百貨公司業,31832389.0,2023-08-01
2023年8月,2023,8月,8,超級市場業,24548315.0,2023-08-01
2023年8月,2023,8月,8,便利商店業,35590334.0,2023-08-01
2023年8月,2023,8月,8,零售式量販業,22176307.0,2023-08-01
2023年8月,2023,8月,8,其他綜合商品零售業,12854607.0,2023-08-01
2023年8月,2023,8月,8,食品、飲料及菸草製品零售業,24425809.0,2023-08-01
2023年8月,2023,8月,8,文教育樂用品零售業,7070582.0,2023-08-01
2023年8月,2023,8月,8,燃料及相關產品零售業,24662578.0,2023-08-01
2023年8月,2023,8月,8,資通訊及家電設備零售業,22441287.0,2023-08-01
2023年8月,2023,8月,8,汽機車及其零配件、用品零售業,66820166.0,2023-08-01
2023年8月,2023,8月,8,電子購物及郵購業,36471385.0,2023-08-01
2023年8月,2023,8月,8,餐飲業,87409138.0,2023-08-01
2023年9月,2023,9月,9,百貨公司業,35027344.0,2023-09-01
2023年9月,2023,9月,9,超級市場業,21052573.0,2023-09-01
2023年9月,2023,9月,9,便利商店業,34120287.0,2023-09-01
2023年9月,2023,9月,9,零售式量販業,20346304.0,2023-09-01
2023年9月,2023,9月,9,其他綜合商品零售業,12374676.0,2023-09-01
2023年9月,2023,9月,9,食品、飲料及菸草製品零售業,27162416.0,2023-09-01
2023年9月,2023,9月,9,文教育樂用品零售業,6582672.0,2023-09-01
2023年9月,2023,9月,9,燃料及相關產品零售業,24018707.0,2023-09-01
2023年9月,2023,9月,9,資通訊及家電設備零售業,23255374.0,2023-09-01
2023年9月,2023,9月,9,汽機車及其零配件、用品零售業,69600053.0,2023-09-01
2023年9月,2023,9月,9,電子購物及郵購業,35083919.0,2023-09-01
2023年9月,2023,9月,9,餐飲業,81212150.0,2023-09-01
2023年10月,2023,10月,10,百貨公司業,48358262.0,2023-10-01
2023年10月,2023,10月,10,超級市場業,21007183.0,2023-10-01
2023年10月,2023,10月,10,便利商店業,34417959.0,2023-10-01
2023年10月,2023,10月,10,零售式量販業,18665685.0,2023-10-01
2023年10月,2023,10月,10,其他綜合商品零售業,13096990.0,2023-10-01
2023年10月,2023,10月,10,食品、飲料及菸草製品零售業,24354752.0,2023-10-01
2023年10月,2023,10月,10,文教育樂用品零售業,7025416.0,2023-10-01
2023年10月,2023,10月,10,燃料及相關產品零售業,23593819.0,2023-10-01
2023年10月,2023,10月,10,資通訊及家電設備零售業,25955537.0,2023-10-01
2023年10月,2023,10月,10,汽機車及其零配件、用品零售業,73557055.0,2023-10-01
2023年10月,2023,10月,10,電子購物及郵購業,36156380.0,2023-10-01
2023年10月,2023,10月,10,餐飲業,83420261.0,2023-10-01
2023年11月,2023,11月,11,百貨公司業,44960812.0,2023-11-01
2023年11月,2023,11月,11,超級市場業,19556440.0,2023-11-01
2023年11月,2023,11月,11,便利商店業,33465149.0,2023-11-01
2023年11月,2023,11月,11,零售式量販業,19831027.0,2023-11-01
2023年11月,2023,11月,11,其他綜合商品零售業,12495115.0,2023-11-01
2023年11月,2023,11月,11,食品、飲料及菸草製品零售業,23200649.0,2023-11-01
2023年11月,2023,11月,11,文教育樂用品零售業,7321358.0,2023-11-01
2023年11月,2023,11月,11,燃料及相關產品零售業,22715482.0,2023-11-01
2023年11月,2023,11月,11,資通訊及家電設備零售業,24797915.0,2023-11-01
2023年11月,2023,11月,11,汽機車及其零配件、用品零售業,78800918.0,2023-11-01
2023年11月,2023,11月,11,電子購物及郵購業,54540350.0,2023-11-01
2023年11月,2023,11月,11,餐飲業,79670435.0,2023-11-01
2023年12月,2023,12月,12,百貨公司業,40259361.0,2023-12-01
2023年12月,2023,12月,12,超級市場業,21039138.0,2023-12-01
2023年12月,2023,12月,12,便利商店業,33610084.0,2023-12-01
2023年12月,2023,12月,12,零售式量販業,20255010.0,2023-12-01
2023年12月,2023,12月,12,其他綜合商品零售業,13321069.0,2023-12-01
2023年12月,2023,12月,12,食品、飲料及菸草製品零售業,29004211.0,2023-12-01
2023年12月,2023,12月,12,文教育樂用品零售業,8274968.0,2023-12-01
2023年12月,2023,12月,12,燃料及相關產品零售業,23549552.0,2023-12-01
2023年12月,2023,12月,12,資通訊及家電設備零售業,22839350.0,2023-12-01
2023年12月,2023,12月,12,汽機車及其零配件、用品零售業,77133249.0,2023-12-01
2023年12月,2023,12月,12,電子購物及郵購業,41713864.0,2023-12-01
2023年12月,2023,12月,12,餐飲業,91907108.0,2023-12-01
2024年1月,2024,1月,1,百貨公司業,36723496.0,2024-01-01
2024年1月,2024,1月,1,超級市場業,20647214.0,2024-01-01
2024年1月,2024,1月,1,便利商店業,34301306.0,2024-01-01
2024年1月,2024,1月,1,零售式量販業,23778687.0,2024-01-01
2024年1月,2024,1月,1,其他綜合商品零售業,13162378.0,2024-01-01
2024年1月,2024,1月,1,食品、飲料及菸草製品零售業,27606288.0,2024-01-01
2024年1月,2024,1月,1,文教育樂用品零售業,7157734.0,2024-01-01
2024年1月,2024,1月,1,燃料及相關產品零售業,22825917.0,2024-01-01
2024年1月,2024,1月,1,資通訊及家電設備零售業,23560774.0,2024-01-01
2024年1月,2024,1月,1,汽機車及其零配件、用品零售業,85638166.0,2024-01-01
2024年1月,2024,1月,1,電子購物及郵購業,40445304.0,2024-01-01
2024年1月,2024,1月,1,餐飲業,89778238.0,2024-01-01
2024年2月,2024,2月,2,百貨公司業,38724976.0,2024-02-01
2024年2月,2024,2月,2,超級市場業,20580238.0,2024-02-01
2024年2月,2024,2月,2,便利商店業,32494729.0,2024-02-01
2024年2月,2024,2月,2,零售式量販業,21175682.0,2024-02-01
2024年2月,2024,2月,2,其他綜合商品零售業,13164448.0,2024-02-01
2024年2月,2024,2月,2,食品、飲料及菸草製品零售業,24144955.0,2024-02-01
2024年2月,2024,2月,2,文教育樂用品零售業,7581824.0,2024-02-01
2024年2月,2024,2月,2,燃料及相關產品零售業,20724042.0,2024-02-01
2024年2月,2024,2月,2,資通訊及家電設備零售業,22638008.0,2024-02-01
2024年2月,2024,2月,2,汽機車及其零配件、用品零售業,51137196.0,2024-02-01
2024年2月,2024,2月,2,電子購物及郵購業,34559827.0,2024-02-01
2024年2月,2024,2月,2,餐飲業,91195675.0,2024-02-01
2024年3月,2024,3月,3,百貨公司業,32798255.0,2024-03-01
2024年3月,2024,3月,3,超級市場業,19614271.0,2024-03-01
2024年3月,2024,3月,3,便利商店業,33771390.0,2024-03-01
2024年3月,2024,3月,3,零售式量販業,18257214.0,2024-03-01
2024年3月,2024,3月,3,其他綜合商品零售業,12620646.0,2024-03-01
2024年3月,2024,3月,3,食品、飲料及菸草製品零售業,23323479.0,2024-03-01
2024年3月,2024,3月,3,文教育樂用品零售業,7075542.0,2024-03-01
2024年3月,2024,3月,3,燃料及相關產品零售業,22633826.0,2024-03-01
2024年3月,2024,3月,3,資通訊及家電設備零售業,21329284.0,2024-03-01
2024年3月,2024,3月,3,汽機車及其零配件、用品零售業,81927048.0,2024-03-01
2024年3月,2024,3月,3,電子購物及郵購業,38272352.0,2024-03-01
2024年3月,2024,3月,3,餐飲業,83159024.0,2024-03-01
2024年4月,2024,4月,4,百貨公司業,37628676.0,2024-04-01
2024年4月,2024,4月,4,超級市場業,19832158.0,2024-04-01
2024年4月,2024,4月,4,便利商店業,33895747.0,2024-04-01
2024年4月,2024,4月,4,零售式量販業,18379083.0,2024-04-01
2024年4月,2024,4月,4,其他綜合商品零售業,12881161.0,2024-04-01
2024年4月,2024,4月,4,食品、飲料及菸草製品零售業,21785300.0,2024-04-01
2024年4月,2024,4月,4,文教育樂用品零售業,6858491.0,2024-04-01
2024年4月,2024,4月,4,燃料及相關產品零售業,22189015.0,2024-04-01
2024年4月,2024,4月,4,資通訊及家電設備零售業,23411174.0,2024-04-01
2024年4月,2024,4月,4,汽機車及其零配件、用品零售業,74047498.0,2024-04-01
2024年4月,2024,4月,4,電子購物及郵購業,35266838.0,2024-04-01
2024年4月,2024,4月,4,餐飲業,79974754.0,2024-04-01
2024年5月,2024,5月,5,百貨公司業,34875712.0,2024-05-01
2024年5月,2024,5月,5,超級市場業,20265555.0,2024-05-01
2024年5月,2024,5月,5,便利商店業,35251399.0,2024-05-01
2024年5月,2024,5月,5,零售式量販業,18667968.0,2024-05-01
2024年5月,2024,5月,5,其他綜合商品零售業,13736541.0,2024-05-01
2024年5月,2024,5月,5,食品、飲料及菸草製品零售業,23033320.0,2024-05-01
2024年5月,2024,5月,5,文教育樂用品零售業,6838370.0,2024-05-01
2024年5月,2024,5月,5,燃料及相關產品零售業,22610397.0,2024-05-01
2024年5月,2024,5月,5,資通訊及家電設備零售業,22609128.0,2024-05-01
2024年5月,2024,5月,5,汽機車及其零配件、用品零售業,85232294.0,2024-05-01
2024年5月,2024,5月,5,電子購物及郵購業,37514522.0,2024-05-01
2024年5月,2024,5月,5,餐飲業,84668357.0,2024-05-01
2024年6月,2024,6月,6,百貨公司業,33118991.0,2024-06-01
2024年6月,2024,6月,6,超級市場業,20652135.0,2024-06-01
2024年6月,2024,6月,6,便利商店業,35366163.0,2024-06-01
2024年6月,2024,6月,6,零售式量販業,18887318.0,2024-06-01
2024年6月,2024,6月,6,其他綜合商品零售業,13760412.0,2024-06-01
2024年6月,2024,6月,6,食品、飲料及菸草製品零售業,22917551.0,2024-06-01
2024年6月,2024,6月,6,文教育樂用品零售業,7268799.0,2024-06-01
2024年6月,2024,6月,6,燃料及相關產品零售業,22311081.0,2024-06-01
2024年6月,2024,6月,6,資通訊及家電設備零售業,21895455.0,2024-06-01
2024年6月,2024,6月,6,汽機車及其零配件、用品零售業,86593180.0,2024-06-01
2024年6月,2024,6月,6,電子購物及郵購業,37656556.0,2024-06-01
2024年6月,2024,6月,6,餐飲業,86998193.0,2024-06-01
2024年7月,2024,7月,7,百貨公司業,32444804.0,2024-07-01
2024年7月,2024,7月,7,超級市場業,23033175.0,2024-07-01
2024年7月,2024,7月,7,便利商店業,37701368.0,2024-07-01
2024年7月,2024,7月,7,零售式量販業,20300509.0,2024-07-01
2024年7月,2024,7月,7,其他綜合商品零售業,13602948.0,2024-07-01
2024年7月,2024,7月,7,食品、飲料及菸草製品零售業,22053038.0,2024-07-01
2024年7月,2024,7月,7,文教育樂用品零售業,7066224.0,2024-07-01
2024年7月,2024,7月,7,燃料及相關產品零售業,22821230.0,2024-07-01
2024年7月,2024,7月,7,資通訊及家電設備零售業,23521684.0,2024-07-01
2024年7月,2024,7月,7,汽機車及其零配件、用品零售業,87933338.0,2024-07-01
2024年7月,2024,7月,7,電子購物及郵購業,35881501.0,2024-07-01
2024年7月,2024,7月,7,餐飲業,84799087.0,2024-07-01
2024年8月,2024,8月,8,百貨公司業,33400724.0,2024-08-01
2024年8月,2024,8月,8,超級市場業,24847577.0,2024-08-01
2024年8月,2024,8月,8,便利商店業,37183421.0,2024-08-01
2024年8月,2024,8月,8,零售式量販業,22952454.0,2024-08-01
2024年8月,2024,8月,8,其他綜合商品零售業,13946364.0,2024-08-01
2024年8月,2024,8月,8,食品、飲料及菸草製品零售業,24584056.0,2024-08-01
2024年8月,2024,8月,8,文教育樂用品零售業,7009016.0,2024-08-01
2024年8月,2024,8月,8,燃料及相關產品零售業,23408385.0,2024-08-01
2024年8月,2024,8月,8,資通訊及家電設備零售業,23064075.0,2024-08-01
2024年8月,2024,8月,8,汽機車及其零配件、用品零售業,63456688.0,2024-08-01
2024年8月,2024,8月,8,電子購物及郵購業,37025447.0,2024-08-01
2024年8月,2024,8月,8,餐飲業,89015098.0,2024-08-01
2024年9月,2024,9月,9,百貨公司業,35080432.0,2024-09-01
2024年9月,2024,9月,9,超級市場業,22793727.0,2024-09-01
2024年9月,2024,9月,9,便利商店業,36087251.0,2024-09-01
2024年9月,2024,9月,9,零售式量販業,22183545.0,2024-09-01
2024年9月,2024,9月,9,其他綜合商品零售業,13658254.0,2024-09-01
2024年9月,2024,9月,9,食品、飲料及菸草製品零售業,26120404.0,2024-09-01
2024年9月,2024,9月,9,文教育樂用品零售業,6507808.0,2024-09-01
2024年9月,2024,9月,9,燃料及相關產品零售業,22377626.0,2024-09-01
2024年9月,2024,9月,9,資通訊及家電設備零售業,24060106.0,2024-09-01
2024年9月,2024,9月,9,汽機車及其零配件、用品零售業,76366380.0,2024-09-01
2024年9月,2024,9月,9,電子購物及郵購業,35031139.0,2024-09-01
2024年9月,2024,9月,9,餐飲業,84262237.0,2024-09-01
2024年10月,2024,10月,10,百貨公司業,46472422.0,2024-10-01
2024年10月,2024,10月,10,超級市場業,24034712.0,2024-10-01
2024年10月,2024,10月,10,便利商店業,36725640.0,2024-10-01
2024年10月,2024,10月,10,零售式量販業,20556588.0,2024-10-01
2024年10月,2024,10月,10,其他綜合商品零售業,13706758.0,2024-10-01
2024年10月,2024,10月,10,食品、飲料及菸草製品零售業,24237616.0,2024-10-01
2024年10月,2024,10月,10,文教育樂用品零售業,6559796.0,2024-10-01
2024年10月,2024,10月,10,燃料及相關產品零售業,21194991.0,2024-10-01
2024年10月,2024,10月,10,資通訊及家電設備零售業,26272744.0,2024-10-01
2024年10月,2024,10月,10,汽機車及其零配件、用品零售業,67726259.0,2024-10-01
2024年10月,2024,10月,10,電子購物及郵購業,37279524.0,2024-10-01
2024年10月,2024,10月,10,餐飲業,81932572.0,2024-10-01
2024年11月,2024,11月,11,百貨公司業,46572913.0,2024-11-01
2024年11月,2024,11月,11,超級市場業,21385686.0,2024-11-01
2024年11月,2024,11月,11,便利商店業,35471506.0,2024-11-01
2024年11月,2024,11月,11,零售式量販業,21303508.0,2024-11-01
2024年11月,2024,11月,11,其他綜合商品零售業,13531727.0,2024-11-01
2024年11月,2024,11月,11,食品、飲料及菸草製品零售業,23950261.0,2024-11-01
2024年11月,2024,11月,11,文教育樂用品零售業,7684622.0,2024-11-01
2024年11月,2024,11月,11,燃料及相關產品零售業,21774280.0,2024-11-01
2024年11月,2024,11月,11,資通訊及家電設備零售業,25896383.0,2024-11-01
2024年11月,2024,11月,11,汽機車及其零配件、用品零售業,75554910.0,2024-11-01
2024年11月,2024,11月,11,電子購物及郵購業,54789991.0,2024-11-01
2024年11月,2024,11月,11,餐飲業,86014441.0,2024-11-01
2024年12月,2024,12月,12,百貨公司業,41275022.0,2024-12-01
2024年12月,2024,12月,12,超級市場業,22077223.0,2024-12-01
2024年12月,2024,12月,12,便利商店業,35246568.0,2024-12-01
2024年12月,2024,12月,12,零售式量販業,21960920.0,2024-12-01
2024年12月,2024,12月,12,其他綜合商品零售業,14818761.0,2024-12-01
2024年12月,2024,12月,12,食品、飲料及菸草製品零售業,29166349.0,2024-12-01
2024年12月,2024,12月,12,文教育樂用品零售業,8753377.0,2024-12-01
2024年12月,2024,12月,12,燃料及相關產品零售業,22482873.0,2024-12-01
2024年12月,2024,12月,12,資通訊及家電設備零售業,23997769.0,2024-12-01
2024年12月,2024,12月,12,汽機車及其零配件、用品零售業,75736446.0,2024-12-01
2024年12月,2024,12月,12,電子購物及郵購業,43037498.0,2024-12-01
2024年12月,2024,12月,12,餐飲業,95972333.0,2024-12-01
2025年1月,2025,1月,1,百貨公司業,45771732.0,2025-01-01
2025年1月,2025,1月,1,超級市場業,23887094.0,2025-01-01
2025年1月,2025,1月,1,便利商店業,37585896.0,2025-01-01
2025年1月,2025,1月,1,零售式量販業,27601441.0,2025-01-01
2025年1月,2025,1月,1,其他綜合商品零售業,14698102.0,2025-01-01
2025年1月,2025,1月,1,食品、飲料及菸草製品零售業,30878797.0,2025-01-01
2025年1月,2025,1月,1,文教育樂用品零售業,8649260.0,2025-01-01
2025年1月,2025,1月,1,燃料及相關產品零售業,22151427.0,2025-01-01
2025年1月,2025,1月,1,資通訊及家電設備零售業,24102694.0,2025-01-01
2025年1月,2025,1月,1,汽機車及其零配件、用品零售業,77742405.0,2025-01-01
2025年1月,2025,1月,1,電子購物及郵購業,38868109.0,2025-01-01
2025年1月,2025,1月,1,餐飲業,105612120.0,2025-01-01
2025年2月,2025,2月,2,百貨公司業,31237619.0,2025-02-01
2025年2月,2025,2月,2,超級市場業,19141566.0,2025-02-01
2025年2月,2025,2月,2,便利商店業,31680173.0,2025-02-01
2025年2月,2025,2月,2,零售式量販業,17568376.0,2025-02-01
2025年2月,2025,2月,2,其他綜合商品零售業,12577275.0,2025-02-01
2025年2月,2025,2月,2,食品、飲料及菸草製品零售業,22909591.0,2025-02-01
2025年2月,2025,2月,2,文教育樂用品零售業,7030341.0,2025-02-01
2025年2月,2025,2月,2,燃料及相關產品零售業,20102213.0,2025-02-01
2025年2月,2025,2月,2,資通訊及家電設備零售業,21741904.0,2025-02-01
2025年2月,2025,2月,2,汽機車及其零配件、用品零售業,61676298.0,2025-02-01
2025年2月,2025,2月,2,電子購物及郵購業,35925211.0,2025-02-01
2025年2月,2025,2月,2,餐飲業,82845141.0,2025-02-01
2025年3月,2025,3月,3,百貨公司業,32334797.0,2025-03-01
2025年3月,2025,3月,3,超級市場業,21372926.0,2025-03-01
2025年3月,2025,3月,3,便利商店業,35129188.0,2025-03-01
2025年3月,2025,3月,3,零售式量販業,20256043.0,2025-03-01
2025年3月,2025,3月,3,其他綜合商品零售業,12857652.0,2025-03-01
2025年3月,2025,3月,3,食品、飲料及菸草製品零售業,24356369.0,2025-03-01
2025年3月,2025,3月,3,文教育樂用品零售業,6910242.0,2025-03-01
2025年3月,2025,3月,3,燃料及相關產品零售業,22482598.0,2025-03-01
2025年3月,2025,3月,3,資通訊及家電設備零售業,21194541.0,2025-03-01
2025年3月,2025,3月,3,汽機車及其零配件、用品零售業,78324522.0,2025-03-01
2025年3月,2025,3月,3,電子購物及郵購業,38644816.0,2025-03-01
2025年3月,2025,3月,3,餐飲業,85690559.0,2025-03-01
2025年4月,2025,4月,4,百貨公司業,36482034.0,2025-04-01
2025年4月,2025,4月,4,超級市場業,21309258.0,2025-04-01
2025年4月,2025,4月,4,便利商店業,35300832.0,2025-04-01
2025年4月,2025,4月,4,零售式量販業,19540189.0,2025-04-01
2025年4月,2025,4月,4,其他綜合商品零售業,12992865.0,2025-04-01
2025年4月,2025,4月,4,食品、飲料及菸草製品零售業,24104676.0,2025-04-01
2025年4月,2025,4月,4,文教育樂用品零售業,6861904.0,2025-04-01
2025年4月,2025,4月,4,燃料及相關產品零售業,21061883.0,2025-04-01
2025年4月,2025,4月,4,資通訊及家電設備零售業,22180958.0,2025-04-01
2025年4月,2025,4月,4,汽機車及其零配件、用品零售業,70229695.0,2025-04-01
2025年4月,2025,4月,4,電子購物及郵購業,36191103.0,2025-04-01
2025年4月,2025,4月,4,餐飲業,81542478.0,2025-04-01
2025年5月,2025,5月,5,百貨公司業,36295886.0,2025-05-01
2025年5月,2025,5月,5,超級市場業,22008490.0,2025-05-01
2025年5月,2025,5月,5,便利商店業,37835916.0,2025-05-01
2025年5月,2025,5月,5,零售式量販業,20821107.0,2025-05-01
2025年5月,2025,5月,5,其他綜合商品零售業,13870062.0,2025-05-01
2025年5月,2025,5月,5,食品、飲料及菸草製品零售業,25674200.0,2025-05-01
2025年5月,2025,5月,5,文教育樂用品零售業,6746479.0,2025-05-01
2025年5月,2025,5月,5,燃料及相關產品零售業,20663355.0,2025-05-01
2025年5月,2025,5月,5,資通訊及家電設備零售業,23531022.0,2025-05-01
2025年5月,2025,5月,5,汽機車及其零配件、用品零售業,69922619.0,2025-05-01
2025年5月,2025,5月,5,電子購物及郵購業,38165120.0,2025-05-01
2025年5月,2025,5月,5,餐飲業,90416966.0,2025-05-01
2025年6月,2025,6月,6,百貨公司業,31939653.0,2025-06-01
2025年6月,2025,6月,6,超級市場業,21874503.0,2025-06-01
2025年6月,2025,6月,6,便利商店業,37005168.0,2025-06-01
2025年6月,2025,6月,6,零售式量販業,19604094.0,2025-06-01
2025年6月,2025,6月,6,其他綜合商品零售業,13636970.0,2025-06-01
2025年6月,2025,6月,6,食品、飲料及菸草製品零售業,24687403.0,2025-06-01
2025年6月,2025,6月,6,文教育樂用品零售業,7211753.0,2025-06-01
2025年6月,2025,6月,6,燃料及相關產品零售業,20782389.0,2025-06-01
2025年6月,2025,6月,6,資通訊及家電設備零售業,22465891.0,2025-06-01
2025年6月,2025,6月,6,汽機車及其零配件、用品零售業,71604467.0,2025-06-01
2025年6月,2025,6月,6,電子購物及郵購業,40990743.0,2025-06-01
2025年6月,2025,6月,6,餐飲業,85266722.0,2025-06-01
2025年7月,2025,7月,7,百貨公司業,32361283.0,2025-07-01
2025年7月,2025,7月,7,超級市場業,23330112.0,2025-07-01
2025年7月,2025,7月,7,便利商店業,38814905.0,2025-07-01
2025年7月,2025,7月,7,零售式量販業,19982847.0,2025-07-01
2025年7月,2025,7月,7,其他綜合商品零售業,13663219.0,2025-07-01
2025年7月,2025,7月,7,食品、飲料及菸草製品零售業,24241344.0,2025-07-01
2025年7月,2025,7月,7,文教育樂用品零售業,7600773.0,2025-07-01
2025年7月,2025,7月,7,燃料及相關產品零售業,20819694.0,2025-07-01
2025年7月,2025,7月,7,資通訊及家電設備零售業,22653693.0,2025-07-01
2025年7月,2025,7月,7,汽機車及其零配件、用品零售業,70182060.0,2025-07-01
2025年7月,2025,7月,7,電子購物及郵購業,38431653.0,2025-07-01
2025年7月,2025,7月,7,餐飲業,86562445.0,2025-07-01
2025年8月,2025,8月,8,百貨公司業,34918865.0,2025-08-01
2025年8月,2025,8月,8,超級市場業,25044993.0,2025-08-01
2025年8月,2025,8月,8,便利商店業,38687411.0,2025-08-01
2025年8月,2025,8月,8,零售式量販業,23150059.0,2025-08-01
2025年8月,2025,8月,8,其他綜合商品零售業,14356784.0,2025-08-01
2025年8月,2025,8月,8,食品、飲料及菸草製品零售業,24579164.0,2025-08-01
2025年8月,2025,8月,8,文教育樂用品零售業,7651644.0,2025-08-01
2025年8月,2025,8月,8,燃料及相關產品零售業,21730452.0,2025-08-01
2025年8月,2025,8月,8,資通訊及家電設備零售業,22709368.0,2025-08-01
2025年8月,2025,8月,8,汽機車及其零配件、用品零售業,60605413.0,2025-08-01
2025年8月,2025,8月,8,電子購物及郵購業,39255001.0,2025-08-01
2025年8月,2025,8月,8,餐飲業,93285092.0,2025-08-01
2025年9月,2025,9月,9,百貨公司業,36005493.0,2025-09-01
2025年9月,2025,9月,9,超級市場業,24207846.0,2025-09-01
2025年9月,2025,9月,9,便利商店業,36786568.0,2025-09-01
2025年9月,2025,9月,9,零售式量販業,21293696.0,2025-09-01
2025年9月,2025,9月,9,其他綜合商品零售業,13805267.0,2025-09-01
2025年9月,2025,9月,9,食品、飲料及菸草製品零售業,27894697.0,2025-09-01
2025年9月,2025,9月,9,文教育樂用品零售業,7015739.0,2025-09-01
2025年9月,2025,9月,9,燃料及相關產品零售業,20685850.0,2025-09-01
2025年9月,2025,9月,9,資通訊及家電設備零售業,24895368.0,2025-09-01
2025年9月,2025,9月,9,汽機車及其零配件、用品零售業,64918881.0,2025-09-01
2025年9月,2025,9月,9,電子購物及郵購業,38328758.0,2025-09-01
2025年9月,2025,9月,9,餐飲業,82934920.0,2025-09-01
2025年10月,2025,10月,10,百貨公司業,48341624.0,2025-10-01
2025年10月,2025,10月,10,超級市場業,23648950.0,2025-10-01
2025年10月,2025,10月,10,便利商店業,38439863.0,2025-10-01
2025年10月,2025,10月,10,零售式量販業,21037624.0,2025-10-01
2025年10月,2025,10月,10,其他綜合商品零售業,14195132.0,2025-10-01
2025年10月,2025,10月,10,食品、飲料及菸草製品零售業,26527950.0,2025-10-01
2025年10月,2025,10月,10,文教育樂用品零售業,7715000.0,2025-10-01
2025年10月,2025,10月,10,燃料及相關產品零售業,21381336.0,2025-10-01
2025年10月,2025,10月,10,資通訊及家電設備零售業,27753128.0,2025-10-01
2025年10月,2025,10月,10,汽機車及其零配件、用品零售業,64269920.0,2025-10-01
2025年10月,2025,10月,10,電子購物及郵購業,38661571.0,2025-10-01
