年月,年,月,行業代號,行業名稱,家數
2020-08-22,2022,08,562,　　外燴及團膳承包業,2212.0
2020-08-22,2022,08,563,　　飲料業,28148.0
2020-09-22,2022,09,561,　　餐食業,131688.0
2020-09-22,2022,09,562,　　外燴及團膳承包業,2210.0
2020-09-22,2022,09,563,　　飲料業,28229.0
2020-10-22,2022,10,561,　　餐食業,132033.0
2020-10-22,2022,10,562,　　外燴及團膳承包業,2207.0
2020-10-22,2022,10,563,　　飲料業,28268.0
2020-11-22,2022,11,561,　　餐食業,132475.0
2020-11-22,2022,11,562,　　外燴及團膳承包業,2202.0
2020-11-22,2022,11,563,　　飲料業,28223.0
2020-12-22,2022,12,561,　　餐食業,132954.0
2020-12-22,2022,12,562,　　外燴及團膳承包業,2204.0
2020-12-22,2022,12,563,　　飲料業,28158.0
2020-01-23,2023,01,561,　　餐食業,133301.0
2020-01-23,2023,01,562,　　外燴及團膳承包業,2202.0
2020-01-23,2023,01,563,　　飲料業,28140.0
2020-02-23,2023,02,561,　　餐食業,133371.0
2020-02-23,2023,02,562,　　外燴及團膳承包業,2198.0
2020-02-23,2023,02,563,　　飲料業,27563.0
2020-03-23,2023,03,561,　　餐食業,133579.0
2020-03-23,2023,03,562,　　外燴及團膳承包業,2197.0
2020-03-23,2023,03,563,　　飲料業,27634.0
2020-04-23,2023,04,561,　　餐食業,134095.0
2020-04-23,2023,04,562,　　外燴及團膳承包業,2200.0
2020-04-23,2023,04,563,　　飲料業,27775.0
2020-05-23,2023,05,561,　　餐食業,134448.0
2020-05-23,2023,05,562,　　外燴及團膳承包業,2205.0
2020-05-23,2023,05,563,　　飲料業,27968.0
2020-06-23,2023,06,561,　　餐食業,134890.0
2020-06-23,2023,06,562,　　外燴及團膳承包業,2206.0
2020-06-23,2023,06,563,　　飲料業,28096.0
2020-07-23,2023,07,561,　　餐食業,135328.0
2020-07-23,2023,07,562,　　外燴及團膳承包業,2199.0
2020-07-23,2023,07,563,　　飲料業,28249.0
2020-08-23,2023,08,561,　　餐食業,135643.0
2020-08-23,2023,08,562,　　外燴及團膳承包業,2196.0
2020-08-23,2023,08,563,　　飲料業,28360.0
2020-09-23,2023,09,561,　　餐食業,136204.0
2020-09-23,2023,09,562,　　外燴及團膳承包業,2192.0
2020-09-23,2023,09,563,　　飲料業,28471.0
2020-10-23,2023,10,561,　　餐食業,136871.0
2020-10-23,2023,10,562,　　外燴及團膳承包業,2204.0
2020-10-23,2023,10,563,　　飲料業,28527.0
2020-11-23,2023,11,561,　　餐食業,137468.0
2020-11-23,2023,11,562,　　外燴及團膳承包業,2206.0
2020-11-23,2023,11,563,　　飲料業,28542.0
2020-12-23,2023,12,561,　　餐食業,138143.0
2020-12-23,2023,12,562,　　外燴及團膳承包業,2211.0
2020-12-23,2023,12,563,　　飲料業,28526.0
2020-01-24,2024,01,561,　　餐食業,138729.0
2020-01-24,2024,01,562,　　外燴及團膳承包業,2222.0
2020-01-24,2024,01,563,　　飲料業,28574.0
2020-02-24,2024,02,561,　　餐食業,138275.0
2020-02-24,2024,02,562,　　外燴及團膳承包業,2207.0
2020-02-24,2024,02,563,　　飲料業,28476.0
2020-03-24,2024,03,561,　　餐食業,138265.0
2020-03-24,2024,03,562,　　外燴及團膳承包業,2202.0
2020-03-24,2024,03,563,　　飲料業,28494.0
2020-04-24,2024,04,561,　　餐食業,138660.0
2020-04-24,2024,04,562,　　外燴及團膳承包業,2202.0
2020-04-24,2024,04,563,　　飲料業,28528.0
2020-05-24,2024,05,561,　　餐食業,138979.0
2020-05-24,2024,05,562,　　外燴及團膳承包業,2198.0
2020-05-24,2024,05,563,　　飲料業,28671.0
2020-06-24,2024,06,561,　　餐食業,139354.0
2020-06-24,2024,06,562,　　外燴及團膳承包業,2195.0
2020-06-24,2024,06,563,　　飲料業,28947.0
2020-07-24,2024,07,561,　　餐食業,139717.0
2020-07-24,2024,07,562,　　外燴及團膳承包業,2192.0
2020-07-24,2024,07,563,　　飲料業,29008.0
2020-08-24,2024,08,561,　　餐食業,140017.0
2020-08-24,2024,08,562,　　外燴及團膳承包業,2180.0
2020-08-24,2024,08,563,　　飲料業,29077.0
2020-09-24,2024,09,561,　　餐食業,140561.0
2020-09-24,2024,09,562,　　外燴及團膳承包業,2176.0
2020-09-24,2024,09,563,　　飲料業,29182.0
2020-10-24,2024,10,561,　　餐食業,140980.0
2020-10-24,2024,10,562,　　外燴及團膳承包業,2176.0
2020-10-24,2024,10,563,　　飲料業,29189.0
2020-11-24,2024,11,561,　　餐食業,141383.0
2020-11-24,2024,11,562,　　外燴及團膳承包業,2184.0
2020-11-24,2024,11,563,　　飲料業,29201.0
2020-12-24,2024,12,561,　　餐食業,141696.0
2020-12-24,2024,12,562,　　外燴及團膳承包業,2198.0
2020-12-24,2024,12,563,　　飲料業,29117.0
2020-01-25,2025,01,561,　　餐食業,142057.0
2020-01-25,2025,01,562,　　外燴及團膳承包業,2200.0
2020-01-25,2025,01,563,　　飲料業,29089.0
2020-02-25,2025,02,561,　　餐食業,142099.0
2020-02-25,2025,02,562,　　外燴及團膳承包業,2199.0
2020-02-25,2025,02,563,　　飲料業,29012.0
2020-03-25,2025,03,561,　　餐食業,142154.0
2020-03-25,2025,03,562,　　外燴及團膳承包業,2204.0
2020-03-25,2025,03,563,　　飲料業,28991.0
2020-04-25,2025,04,561,　　餐食業,142468.0
2020-04-25,2025,04,562,　　外燴及團膳承包業,2198.0
2020-04-25,2025,04,563,　　飲料業,29004.0
2020-05-25,2025,05,561,　　餐食業,142741.0
2020-05-25,2025,05,562,　　外燴及團膳承包業,2199.0
2020-05-25,2025,05,563,　　飲料業,29096.0
2020-06-25,2025,06,561,　　餐食業,143263.0
2020-06-25,2025,06,562,　　外燴及團膳承包業,2193.0
2020-06-25,2025,06,563,　　飲料業,29196.0
2020-07-25,2025,07,561,　　餐食業,143685.0
2020-07-25,2025,07,562,　　外燴及團膳承包業,2195.0
2020-07-25,2025,07,563,　　飲料業,29311.0
2020-08-25,2025,08,561,　　餐食業,144093.0
2020-08-25,2025,08,562,　　外燴及團膳承包業,2193.0
2020-08-25,2025,08,563,　　飲料業,29431.0
2020-09-25,2025,09,561,　　餐食業,144865.0
2020-09-25,2025,09,562,　　外燴及團膳承包業,2200.0
2020-09-25,2025,09,563,　　飲料業,29524.0
2020-10-25,2025,10,561,　　餐食業,145496.0
2020-10-25,2025,10,562,　　外燴及團膳承包業,2205.0
2020-10-25,2025,10,563,　　飲料業,29582.0
2020-11-25,2025,11,561,　　餐食業,146140.0
2020-11-25,2025,11,562,　　外燴及團膳承包業,2206.0
2020-11-25,2025,11,563,　　飲料業,29513.0
2020-12-25,2025,12,561,　　餐食業,146732.0
2020-12-25,2025,12,562,　　外燴及團膳承包業,2206.0
2020-12-25,2025,12,563,　　飲料業,29485.0
