年月,年,月,家用產品,銷售額_千元,年月KEY
2020-03-01,2020,3,其他家用電器及零組件,1145880.0,202003
2020-04-01,2020,4,家用電扇,344290.0,202004
2020-04-01,2020,4,電冰箱,455451.0,202004
2020-04-01,2020,4,排油煙機,177965.0,202004
2020-04-01,2020,4,熱水器,285769.0,202004
2020-04-01,2020,4,瓦斯爐,186652.0,202004
2020-04-01,2020,4,其他家用電器及零組件,1143463.0,202004
2020-05-01,2020,5,家用電扇,468021.0,202005
2020-05-01,2020,5,電冰箱,442015.0,202005
2020-05-01,2020,5,排油煙機,176471.0,202005
2020-05-01,2020,5,熱水器,257455.0,202005
2020-05-01,2020,5,瓦斯爐,169871.0,202005
2020-05-01,2020,5,其他家用電器及零組件,1017924.0,202005
2020-06-01,2020,6,家用電扇,545236.0,202006
2020-06-01,2020,6,電冰箱,591967.0,202006
2020-06-01,2020,6,排油煙機,186600.0,202006
2020-06-01,2020,6,熱水器,228825.0,202006
2020-06-01,2020,6,瓦斯爐,191572.0,202006
2020-06-01,2020,6,其他家用電器及零組件,1070845.0,202006
2020-07-01,2020,7,家用電扇,538678.0,202007
2020-07-01,2020,7,電冰箱,616094.0,202007
2020-07-01,2020,7,排油煙機,200719.0,202007
2020-07-01,2020,7,熱水器,228629.0,202007
2020-07-01,2020,7,瓦斯爐,209780.0,202007
2020-07-01,2020,7,其他家用電器及零組件,1098291.0,202007
2020-08-01,2020,8,家用電扇,465106.0,202008
2020-08-01,2020,8,電冰箱,534382.0,202008
2020-08-01,2020,8,排油煙機,235409.0,202008
2020-08-01,2020,8,熱水器,267886.0,202008
2020-08-01,2020,8,瓦斯爐,230940.0,202008
2020-08-01,2020,8,其他家用電器及零組件,1182855.0,202008
2020-09-01,2020,9,家用電扇,431811.0,202009
2020-09-01,2020,9,電冰箱,474520.0,202009
2020-09-01,2020,9,排油煙機,240532.0,202009
2020-09-01,2020,9,熱水器,268382.0,202009
2020-09-01,2020,9,瓦斯爐,232565.0,202009
2020-09-01,2020,9,其他家用電器及零組件,1251146.0,202009
2020-10-01,2020,10,家用電扇,357278.0,202010
2020-10-01,2020,10,電冰箱,477563.0,202010
2020-10-01,2020,10,排油煙機,226129.0,202010
2020-10-01,2020,10,熱水器,316504.0,202010
2020-10-01,2020,10,瓦斯爐,210112.0,202010
2020-10-01,2020,10,其他家用電器及零組件,1314160.0,202010
2020-11-01,2020,11,家用電扇,356514.0,202011
2020-11-01,2020,11,電冰箱,547336.0,202011
2020-11-01,2020,11,排油煙機,228611.0,202011
2020-11-01,2020,11,熱水器,350734.0,202011
2020-11-01,2020,11,瓦斯爐,227864.0,202011
2020-11-01,2020,11,其他家用電器及零組件,1300864.0,202011
2020-12-01,2020,12,家用電扇,407605.0,202012
2020-12-01,2020,12,電冰箱,543153.0,202012
2020-12-01,2020,12,排油煙機,280016.0,202012
2020-12-01,2020,12,熱水器,424558.0,202012
2020-12-01,2020,12,瓦斯爐,251242.0,202012
2020-12-01,2020,12,其他家用電器及零組件,1521901.0,202012
2021-01-01,2021,1,家用電扇,455349.0,202101
2021-01-01,2021,1,電冰箱,597757.0,202101
2021-01-01,2021,1,排油煙機,301139.0,202101
2021-01-01,2021,1,熱水器,502348.0,202101
2021-01-01,2021,1,瓦斯爐,273513.0,202101
2021-01-01,2021,1,其他家用電器及零組件,1407953.0,202101
2021-02-01,2021,2,家用電扇,304165.0,202102
2021-02-01,2021,2,電冰箱,304608.0,202102
2021-02-01,2021,2,排油煙機,187970.0,202102
2021-02-01,2021,2,熱水器,337404.0,202102
2021-02-01,2021,2,瓦斯爐,138847.0,202102
2021-02-01,2021,2,其他家用電器及零組件,1067227.0,202102
2021-03-01,2021,3,家用電扇,508078.0,202103
2021-03-01,2021,3,電冰箱,319462.0,202103
2021-03-01,2021,3,排油煙機,245442.0,202103
2021-03-01,2021,3,熱水器,441188.0,202103
2021-03-01,2021,3,瓦斯爐,236792.0,202103
2021-03-01,2021,3,其他家用電器及零組件,1390923.0,202103
2021-04-01,2021,4,家用電扇,487478.0,202104
2021-04-01,2021,4,電冰箱,480158.0,202104
2021-04-01,2021,4,排油煙機,238464.0,202104
2021-04-01,2021,4,熱水器,398997.0,202104
2021-04-01,2021,4,瓦斯爐,240813.0,202104
2021-04-01,2021,4,其他家用電器及零組件,1212333.0,202104
2021-05-01,2021,5,家用電扇,589342.0,202105
2021-05-01,2021,5,電冰箱,528997.0,202105
2021-05-01,2021,5,排油煙機,252226.0,202105
2021-05-01,2021,5,熱水器,365508.0,202105
2021-05-01,2021,5,瓦斯爐,230222.0,202105
2021-05-01,2021,5,其他家用電器及零組件,1288104.0,202105
2021-06-01,2021,6,家用電扇,477819.0,202106
2021-06-01,2021,6,電冰箱,550354.0,202106
2021-06-01,2021,6,排油煙機,222717.0,202106
2021-06-01,2021,6,熱水器,287472.0,202106
2021-06-01,2021,6,瓦斯爐,218545.0,202106
2021-06-01,2021,6,其他家用電器及零組件,1192993.0,202106
2021-07-01,2021,7,家用電扇,459068.0,202107
2021-07-01,2021,7,電冰箱,567746.0,202107
2021-07-01,2021,7,排油煙機,246888.0,202107
