年,月,年月,縣市,營業行車次數_班次,年月KEY
2016,9,2016-09-01,澎湖縣,6292.0,201609
2016,9,2016-09-01,臺中市,247651.0,201609
2016,9,2016-09-01,臺北市,1000963.0,201609
2016,9,2016-09-01,臺南市,74898.0,201609
2016,9,2016-09-01,臺東縣,2430.0,201609
2016,9,2016-09-01,花蓮縣,2326.0,201609
2016,9,2016-09-01,苗栗縣,1200.0,201609
2016,9,2016-09-01,連江縣,2346.0,201609
2016,9,2016-09-01,金門縣,10544.0,201609
2016,9,2016-09-01,雲林縣,2864.0,201609
2016,9,2016-09-01,高雄市,230908.0,201609
2016,10,2016-10-01,南投縣,80.0,201610
2016,10,2016-10-01,嘉義市,1611.0,201610
2016,10,2016-10-01,嘉義縣,1862.0,201610
2016,10,2016-10-01,基隆市,64400.0,201610
2016,10,2016-10-01,宜蘭縣,11945.0,201610
2016,10,2016-10-01,屏東縣,7506.0,201610
2016,10,2016-10-01,彰化縣,3485.0,201610
2016,10,2016-10-01,新北市,686265.0,201610
2016,10,2016-10-01,新竹市,20720.0,201610
2016,10,2016-10-01,新竹縣,7422.0,201610
2016,10,2016-10-01,桃園市,117747.0,201610
2016,10,2016-10-01,澎湖縣,7074.0,201610
2016,10,2016-10-01,臺中市,266777.0,201610
2016,10,2016-10-01,臺北市,1074832.0,201610
2016,10,2016-10-01,臺南市,82171.0,201610
2016,10,2016-10-01,臺東縣,2511.0,201610
2016,10,2016-10-01,花蓮縣,1304.0,201610
2016,10,2016-10-01,苗栗縣,1240.0,201610
2016,10,2016-10-01,連江縣,2614.0,201610
2016,10,2016-10-01,金門縣,10793.0,201610
2016,10,2016-10-01,雲林縣,3089.0,201610
2016,10,2016-10-01,高雄市,258259.0,201610
2016,11,2016-11-01,南投縣,88.0,201611
2016,11,2016-11-01,嘉義市,1560.0,201611
2016,11,2016-11-01,嘉義縣,1794.0,201611
2016,11,2016-11-01,基隆市,61711.0,201611
2016,11,2016-11-01,宜蘭縣,11454.0,201611
2016,11,2016-11-01,屏東縣,7302.0,201611
2016,11,2016-11-01,彰化縣,3405.0,201611
2016,11,2016-11-01,新北市,675836.0,201611
2016,11,2016-11-01,新竹市,20163.0,201611
2016,11,2016-11-01,新竹縣,7336.0,201611
2016,11,2016-11-01,桃園市,109507.0,201611
2016,11,2016-11-01,澎湖縣,7058.0,201611
2016,11,2016-11-01,臺中市,260359.0,201611
2016,11,2016-11-01,臺北市,1066403.0,201611
2016,11,2016-11-01,臺南市,79086.0,201611
2016,11,2016-11-01,臺東縣,2430.0,201611
2016,11,2016-11-01,花蓮縣,1478.0,201611
2016,11,2016-11-01,苗栗縣,1200.0,201611
2016,11,2016-11-01,連江縣,2394.0,201611
2016,11,2016-11-01,金門縣,10521.0,201611
2016,11,2016-11-01,雲林縣,2996.0,201611
2016,11,2016-11-01,高雄市,253166.0,201611
2016,12,2016-12-01,南投縣,460.0,201612
2016,12,2016-12-01,嘉義市,1613.0,201612
2016,12,2016-12-01,嘉義縣,1856.0,201612
2016,12,2016-12-01,基隆市,63692.0,201612
2016,12,2016-12-01,宜蘭縣,12199.0,201612
2016,12,2016-12-01,屏東縣,8141.0,201612
2016,12,2016-12-01,彰化縣,3511.0,201612
2016,12,2016-12-01,新北市,696332.0,201612
2016,12,2016-12-01,新竹市,20807.0,201612
2016,12,2016-12-01,新竹縣,7538.0,201612
2016,12,2016-12-01,桃園市,170691.0,201612
2016,12,2016-12-01,澎湖縣,7099.0,201612
2016,12,2016-12-01,臺中市,269596.0,201612
2016,12,2016-12-01,臺北市,1111541.0,201612
2016,12,2016-12-01,臺南市,81914.0,201612
2016,12,2016-12-01,臺東縣,2511.0,201612
2016,12,2016-12-01,花蓮縣,1204.0,201612
2016,12,2016-12-01,苗栗縣,1240.0,201612
2016,12,2016-12-01,連江縣,2470.0,201612
2016,12,2016-12-01,金門縣,10707.0,201612
2016,12,2016-12-01,雲林縣,3100.0,201612
2016,12,2016-12-01,高雄市,256477.0,201612
2017,1,2017-01-01,南投縣,424.0,201701
2017,1,2017-01-01,嘉義市,1612.0,201701
2017,1,2017-01-01,嘉義縣,1857.0,201701
2017,1,2017-01-01,基隆市,59424.0,201701
2017,1,2017-01-01,宜蘭縣,11981.0,201701
2017,1,2017-01-01,屏東縣,8025.0,201701
2017,1,2017-01-01,彰化縣,3367.0,201701
2017,1,2017-01-01,新北市,645948.0,201701
2017,1,2017-01-01,新竹市,18329.0,201701
2017,1,2017-01-01,新竹縣,6874.0,201701
2017,1,2017-01-01,桃園市,170084.0,201701
2017,1,2017-01-01,澎湖縣,6513.0,201701
2017,1,2017-01-01,臺中市,260616.0,201701
2017,1,2017-01-01,臺北市,1041627.0,201701
2017,1,2017-01-01,臺南市,82712.0,201701
2017,1,2017-01-01,臺東縣,2511.0,201701
2017,1,2017-01-01,花蓮縣,1490.0,201701
2017,1,2017-01-01,苗栗縣,1240.0,201701
2017,1,2017-01-01,連江縣,2338.0,201701
2017,1,2017-01-01,金門縣,10644.0,201701
2017,1,2017-01-01,雲林縣,3253.0,201701
2017,1,2017-01-01,高雄市,227988.0,201701
2017,2,2017-02-01,南投縣,392.0,201702
2017,2,2017-02-01,嘉義市,1612.0,201702
2017,2,2017-02-01,嘉義縣,2280.0,201702
2017,2,2017-02-01,基隆市,53908.0,201702
2017,2,2017-02-01,宜蘭縣,10743.0,201702
2017,2,2017-02-01,屏東縣,7229.0,201702
2017,2,2017-02-01,彰化縣,4285.0,201702
2017,2,2017-02-01,新北市,593122.0,201702
2017,2,2017-02-01,新竹市,16882.0,201702
2017,2,2017-02-01,新竹縣,6617.0,201702
2017,2,2017-02-01,桃園市,155606.0,201702
2017,2,2017-02-01,澎湖縣,5927.0,201702
2017,2,2017-02-01,臺中市,236190.0,201702
2017,2,2017-02-01,臺北市,963684.0,201702
2017,2,2017-02-01,臺南市,75085.0,201702
2017,2,2017-02-01,臺東縣,2296.0,201702
2017,2,2017-02-01,花蓮縣,1450.0,201702
2017,2,2017-02-01,苗栗縣,1120.0,201702
2017,2,2017-02-01,連江縣,2160.0,201702
2017,2,2017-02-01,金門縣,9603.0,201702
2017,2,2017-02-01,雲林縣,3288.0,201702
2017,2,2017-02-01,高雄市,210731.0,201702
2017,3,2017-03-01,南投縣,848.0,201703
2017,3,2017-03-01,嘉義市,1612.0,201703
2017,3,2017-03-01,嘉義縣,2969.0,201703
2017,3,2017-03-01,基隆市,61862.0,201703
2017,3,2017-03-01,宜蘭縣,11838.0,201703
2017,3,2017-03-01,屏東縣,8537.0,201703
2017,3,2017-03-01,彰化縣,3310.0,201703
2017,3,2017-03-01,新北市,695422.0,201703
2017,3,2017-03-01,新竹市,19269.0,201703
2017,3,2017-03-01,新竹縣,7596.0,201703
2017,3,2017-03-01,桃園市,175854.0,201703
2017,3,2017-03-01,澎湖縣,7296.0,201703
2017,3,2017-03-01,臺中市,267234.0,201703
2017,3,2017-03-01,臺北市,1083821.0,201703
2017,3,2017-03-01,臺南市,83004.0,201703
2017,3,2017-03-01,臺東縣,2542.0,201703
2017,3,2017-03-01,花蓮縣,1674.0,201703
2017,3,2017-03-01,苗栗縣,1240.0,201703
2017,3,2017-03-01,連江縣,2494.0,201703
2017,3,2017-03-01,金門縣,10665.0,201703
2017,3,2017-03-01,雲林縣,3674.0,201703
2017,3,2017-03-01,高雄市,253634.0,201703
2017,4,2017-04-01,南投縣,912.0,201704
2017,4,2017-04-01,嘉義市,1560.0,201704
2017,4,2017-04-01,嘉義縣,2994.0,201704
2017,4,2017-04-01,基隆市,58854.0,201704
2017,4,2017-04-01,宜蘭縣,11532.0,201704
2017,4,2017-04-01,屏東縣,8313.0,201704
2017,4,2017-04-01,彰化縣,3285.0,201704
2017,4,2017-04-01,新北市,649227.0,201704
2017,4,2017-04-01,新竹市,18411.0,201704
