年,月,年月,居住地,年齡層,性別,旅客數,年月KEY
2020,9,2020-09-01,其他未列明(Unknow),1-12歲,男,0,202009
2020,10,2020-10-01,亞洲地區(Asia),1-12歲,男,472,202010
2020,10,2020-10-01,非洲地區(Africa),1-12歲,男,0,202010
2020,10,2020-10-01,美洲地區(Americas),1-12歲,男,65,202010
2020,10,2020-10-01,大洋洲地區(Oceania),1-12歲,男,12,202010
2020,10,2020-10-01,歐洲地區(Europe),1-12歲,男,29,202010
2020,10,2020-10-01,其他未列明(Unknow),1-12歲,男,0,202010
2020,11,2020-11-01,亞洲地區(Asia),1-12歲,男,324,202011
2020,11,2020-11-01,非洲地區(Africa),1-12歲,男,0,202011
2020,11,2020-11-01,美洲地區(Americas),1-12歲,男,95,202011
2020,11,2020-11-01,大洋洲地區(Oceania),1-12歲,男,8,202011
2020,11,2020-11-01,歐洲地區(Europe),1-12歲,男,13,202011
2020,11,2020-11-01,其他未列明(Unknow),1-12歲,男,0,202011
2020,12,2020-12-01,亞洲地區(Asia),1-12歲,男,355,202012
2020,12,2020-12-01,非洲地區(Africa),1-12歲,男,1,202012
2020,12,2020-12-01,美洲地區(Americas),1-12歲,男,138,202012
2020,12,2020-12-01,大洋洲地區(Oceania),1-12歲,男,13,202012
2020,12,2020-12-01,歐洲地區(Europe),1-12歲,男,10,202012
2020,12,2020-12-01,其他未列明(Unknow),1-12歲,男,0,202012
2021,1,2021-01-01,亞洲地區(Asia),1-12歲,男,433,202101
2021,1,2021-01-01,非洲地區(Africa),1-12歲,男,0,202101
2021,1,2021-01-01,美洲地區(Americas),1-12歲,男,180,202101
2021,1,2021-01-01,大洋洲地區(Oceania),1-12歲,男,10,202101
2021,1,2021-01-01,歐洲地區(Europe),1-12歲,男,16,202101
2021,1,2021-01-01,其他未列明(Unknow),1-12歲,男,0,202101
2021,2,2021-02-01,亞洲地區(Asia),1-12歲,男,542,202102
2021,2,2021-02-01,非洲地區(Africa),1-12歲,男,0,202102
2021,2,2021-02-01,美洲地區(Americas),1-12歲,男,128,202102
2021,2,2021-02-01,大洋洲地區(Oceania),1-12歲,男,14,202102
2021,2,2021-02-01,歐洲地區(Europe),1-12歲,男,15,202102
2021,2,2021-02-01,其他未列明(Unknow),1-12歲,男,0,202102
2021,3,2021-03-01,亞洲地區(Asia),1-12歲,男,475,202103
2021,3,2021-03-01,非洲地區(Africa),1-12歲,男,0,202103
2021,3,2021-03-01,美洲地區(Americas),1-12歲,男,131,202103
2021,3,2021-03-01,大洋洲地區(Oceania),1-12歲,男,11,202103
2021,3,2021-03-01,歐洲地區(Europe),1-12歲,男,18,202103
2021,3,2021-03-01,其他未列明(Unknow),1-12歲,男,0,202103
2021,4,2021-04-01,亞洲地區(Asia),1-12歲,男,401,202104
2021,4,2021-04-01,非洲地區(Africa),1-12歲,男,0,202104
2021,4,2021-04-01,美洲地區(Americas),1-12歲,男,142,202104
2021,4,2021-04-01,大洋洲地區(Oceania),1-12歲,男,8,202104
2021,4,2021-04-01,歐洲地區(Europe),1-12歲,男,23,202104
2021,4,2021-04-01,其他未列明(Unknow),1-12歲,男,0,202104
2021,5,2021-05-01,亞洲地區(Asia),1-12歲,男,450,202105
2021,5,2021-05-01,非洲地區(Africa),1-12歲,男,0,202105
2021,5,2021-05-01,美洲地區(Americas),1-12歲,男,194,202105
2021,5,2021-05-01,大洋洲地區(Oceania),1-12歲,男,4,202105
2021,5,2021-05-01,歐洲地區(Europe),1-12歲,男,12,202105
2021,5,2021-05-01,其他未列明(Unknow),1-12歲,男,0,202105
2021,6,2021-06-01,亞洲地區(Asia),1-12歲,男,935,202106
2021,6,2021-06-01,非洲地區(Africa),1-12歲,男,0,202106
2021,6,2021-06-01,美洲地區(Americas),1-12歲,男,710,202106
2021,6,2021-06-01,大洋洲地區(Oceania),1-12歲,男,6,202106
2021,6,2021-06-01,歐洲地區(Europe),1-12歲,男,34,202106
2021,6,2021-06-01,其他未列明(Unknow),1-12歲,男,0,202106
2021,7,2021-07-01,亞洲地區(Asia),1-12歲,男,962,202107
2021,7,2021-07-01,非洲地區(Africa),1-12歲,男,4,202107
2021,7,2021-07-01,美洲地區(Americas),1-12歲,男,806,202107
2021,7,2021-07-01,大洋洲地區(Oceania),1-12歲,男,20,202107
2021,7,2021-07-01,歐洲地區(Europe),1-12歲,男,36,202107
2021,7,2021-07-01,其他未列明(Unknow),1-12歲,男,0,202107
2021,8,2021-08-01,亞洲地區(Asia),1-12歲,男,554,202108
2021,8,2021-08-01,非洲地區(Africa),1-12歲,男,0,202108
2021,8,2021-08-01,美洲地區(Americas),1-12歲,男,543,202108
2021,8,2021-08-01,大洋洲地區(Oceania),1-12歲,男,24,202108
2021,8,2021-08-01,歐洲地區(Europe),1-12歲,男,42,202108
2021,8,2021-08-01,其他未列明(Unknow),1-12歲,男,0,202108
2021,9,2021-09-01,亞洲地區(Asia),1-12歲,男,312,202109
2021,9,2021-09-01,非洲地區(Africa),1-12歲,男,0,202109
2021,9,2021-09-01,美洲地區(Americas),1-12歲,男,149,202109
2021,9,2021-09-01,大洋洲地區(Oceania),1-12歲,男,14,202109
2021,9,2021-09-01,歐洲地區(Europe),1-12歲,男,30,202109
2021,9,2021-09-01,其他未列明(Unknow),1-12歲,男,0,202109
2021,10,2021-10-01,亞洲地區(Asia),1-12歲,男,292,202110
2021,10,2021-10-01,非洲地區(Africa),1-12歲,男,0,202110
2021,10,2021-10-01,美洲地區(Americas),1-12歲,男,119,202110
2021,10,2021-10-01,大洋洲地區(Oceania),1-12歲,男,4,202110
2021,10,2021-10-01,歐洲地區(Europe),1-12歲,男,16,202110
2021,10,2021-10-01,其他未列明(Unknow),1-12歲,男,0,202110
2021,11,2021-11-01,亞洲地區(Asia),1-12歲,男,321,202111
2021,11,2021-11-01,非洲地區(Africa),1-12歲,男,0,202111
2021,11,2021-11-01,美洲地區(Americas),1-12歲,男,73,202111
2021,11,2021-11-01,大洋洲地區(Oceania),1-12歲,男,7,202111
2021,11,2021-11-01,歐洲地區(Europe),1-12歲,男,8,202111
2021,11,2021-11-01,其他未列明(Unknow),1-12歲,男,0,202111
2021,12,2021-12-01,亞洲地區(Asia),1-12歲,男,541,202112
2021,12,2021-12-01,非洲地區(Africa),1-12歲,男,1,202112
2021,12,2021-12-01,美洲地區(Americas),1-12歲,男,124,202112
2021,12,2021-12-01,大洋洲地區(Oceania),1-12歲,男,20,202112
2021,12,2021-12-01,歐洲地區(Europe),1-12歲,男,11,202112
2021,12,2021-12-01,其他未列明(Unknow),1-12歲,男,0,202112
2022,1,2022-01-01,亞洲地區(Asia),1-12歲,男,644,202201
2022,1,2022-01-01,非洲地區(Africa),1-12歲,男,0,202201
2022,1,2022-01-01,美洲地區(Americas),1-12歲,男,139,202201
2022,1,2022-01-01,大洋洲地區(Oceania),1-12歲,男,28,202201
2022,1,2022-01-01,歐洲地區(Europe),1-12歲,男,15,202201
2022,1,2022-01-01,其他未列明(Unknow),1-12歲,男,0,202201
2022,2,2022-02-01,亞洲地區(Asia),1-12歲,男,1273,202202
2022,2,2022-02-01,非洲地區(Africa),1-12歲,男,2,202202
2022,2,2022-02-01,美洲地區(Americas),1-12歲,男,164,202202
2022,2,2022-02-01,大洋洲地區(Oceania),1-12歲,男,29,202202
2022,2,2022-02-01,歐洲地區(Europe),1-12歲,男,20,202202
2022,2,2022-02-01,其他未列明(Unknow),1-12歲,男,0,202202
2022,3,2022-03-01,亞洲地區(Asia),1-12歲,男,712,202203
2022,3,2022-03-01,非洲地區(Africa),1-12歲,男,3,202203
2022,3,2022-03-01,美洲地區(Americas),1-12歲,男,141,202203
2022,3,2022-03-01,大洋洲地區(Oceania),1-12歲,男,32,202203
2022,3,2022-03-01,歐洲地區(Europe),1-12歲,男,23,202203
2022,3,2022-03-01,其他未列明(Unknow),1-12歲,男,0,202203
2022,4,2022-04-01,亞洲地區(Asia),1-12歲,男,735,202204
2022,4,2022-04-01,非洲地區(Africa),1-12歲,男,0,202204
2022,4,2022-04-01,美洲地區(Americas),1-12歲,男,149,202204
2022,4,2022-04-01,大洋洲地區(Oceania),1-12歲,男,32,202204
2022,4,2022-04-01,歐洲地區(Europe),1-12歲,男,26,202204
2022,4,2022-04-01,其他未列明(Unknow),1-12歲,男,0,202204
2022,5,2022-05-01,亞洲地區(Asia),1-12歲,男,875,202205
2022,5,2022-05-01,非洲地區(Africa),1-12歲,男,1,202205
2022,5,2022-05-01,美洲地區(Americas),1-12歲,男,241,202205
2022,5,2022-05-01,大洋洲地區(Oceania),1-12歲,男,31,202205
2022,5,2022-05-01,歐洲地區(Europe),1-12歲,男,47,202205
2022,5,2022-05-01,其他未列明(Unknow),1-12歲,男,0,202205
2022,6,2022-06-01,亞洲地區(Asia),1-12歲,男,1809,202206
2022,6,2022-06-01,非洲地區(Africa),1-12歲,男,0,202206
2022,6,2022-06-01,美洲地區(Americas),1-12歲,男,635,202206
2022,6,2022-06-01,大洋洲地區(Oceania),1-12歲,男,97,202206
2022,6,2022-06-01,歐洲地區(Europe),1-12歲,男,104,202206
2022,6,2022-06-01,其他未列明(Unknow),1-12歲,男,0,202206
2022,7,2022-07-01,亞洲地區(Asia),1-12歲,男,3759,202207
2022,7,2022-07-01,非洲地區(Africa),1-12歲,男,1,202207
2022,7,2022-07-01,美洲地區(Americas),1-12歲,男,1264,202207
2022,7,2022-07-01,大洋洲地區(Oceania),1-12歲,男,120,202207
2022,7,2022-07-01,歐洲地區(Europe),1-12歲,男,107,202207
2022,7,2022-07-01,其他未列明(Unknow),1-12歲,男,0,202207
2022,8,2022-08-01,亞洲地區(Asia),1-12歲,男,3898,202208
2022,8,2022-08-01,非洲地區(Africa),1-12歲,男,0,202208
2022,8,2022-08-01,美洲地區(Americas),1-12歲,男,1545,202208
2022,8,2022-08-01,大洋洲地區(Oceania),1-12歲,男,79,202208
2022,8,2022-08-01,歐洲地區(Europe),1-12歲,男,349,202208
2022,8,2022-08-01,其他未列明(Unknow),1-12歲,男,0,202208
2022,9,2022-09-01,亞洲地區(Asia),1-12歲,男,1823,202209
2022,9,2022-09-01,非洲地區(Africa),1-12歲,男,0,202209
2022,9,2022-09-01,美洲地區(Americas),1-12歲,男,461,202209
2022,9,2022-09-01,大洋洲地區(Oceania),1-12歲,男,80,202209
2022,9,2022-09-01,歐洲地區(Europe),1-12歲,男,115,202209
2022,9,2022-09-01,其他未列明(Unknow),1-12歲,男,0,202209
2022,10,2022-10-01,亞洲地區(Asia),1-12歲,男,2809,202210
2022,10,2022-10-01,非洲地區(Africa),1-12歲,男,0,202210
2022,10,2022-10-01,美洲地區(Americas),1-12歲,男,261,202210
2022,10,2022-10-01,大洋洲地區(Oceania),1-12歲,男,120,202210
2022,10,2022-10-01,歐洲地區(Europe),1-12歲,男,88,202210
2022,10,2022-10-01,其他未列明(Unknow),1-12歲,男,0,202210
2022,11,2022-11-01,亞洲地區(Asia),1-12歲,男,5111,202211
2022,11,2022-11-01,非洲地區(Africa),1-12歲,男,0,202211
2022,11,2022-11-01,美洲地區(Americas),1-12歲,男,463,202211
2022,11,2022-11-01,大洋洲地區(Oceania),1-12歲,男,109,202211
2022,11,2022-11-01,歐洲地區(Europe),1-12歲,男,116,202211
2022,11,2022-11-01,其他未列明(Unknow),1-12歲,男,0,202211
2022,12,2022-12-01,亞洲地區(Asia),1-12歲,男,10543,202212
2022,12,2022-12-01,非洲地區(Africa),1-12歲,男,1,202212
2022,12,2022-12-01,美洲地區(Americas),1-12歲,男,871,202212
2022,12,2022-12-01,大洋洲地區(Oceania),1-12歲,男,253,202212
2022,12,2022-12-01,歐洲地區(Europe),1-12歲,男,215,202212
2022,12,2022-12-01,其他未列明(Unknow),1-12歲,男,0,202212
2023,1,2023-01-01,亞洲地區(Asia),1-12歲,男,32604,202301
2023,1,2023-01-01,非洲地區(Africa),1-12歲,男,1,202301
2023,1,2023-01-01,美洲地區(Americas),1-12歲,男,1589,202301
2023,1,2023-01-01,大洋洲地區(Oceania),1-12歲,男,1100,202301
2023,1,2023-01-01,歐洲地區(Europe),1-12歲,男,543,202301
2023,1,2023-01-01,其他未列明(Unknow),1-12歲,男,0,202301
2023,2,2023-02-01,亞洲地區(Asia),1-12歲,男,22930,202302
2023,2,2023-02-01,非洲地區(Africa),1-12歲,男,0,202302
2023,2,2023-02-01,美洲地區(Americas),1-12歲,男,519,202302
2023,2,2023-02-01,大洋洲地區(Oceania),1-12歲,男,550,202302
2023,2,2023-02-01,歐洲地區(Europe),1-12歲,男,207,202302
2023,2,2023-02-01,其他未列明(Unknow),1-12歲,男,0,202302
2023,3,2023-03-01,亞洲地區(Asia),1-12歲,男,17242,202303
2023,3,2023-03-01,非洲地區(Africa),1-12歲,男,0,202303
2023,3,2023-03-01,美洲地區(Americas),1-12歲,男,632,202303
2023,3,2023-03-01,大洋洲地區(Oceania),1-12歲,男,321,202303
2023,3,2023-03-01,歐洲地區(Europe),1-12歲,男,238,202303
2023,3,2023-03-01,其他未列明(Unknow),1-12歲,男,0,202303
2023,4,2023-04-01,亞洲地區(Asia),1-12歲,男,23488,202304
2023,4,2023-04-01,非洲地區(Africa),1-12歲,男,1,202304
2023,4,2023-04-01,美洲地區(Americas),1-12歲,男,641,202304
2023,4,2023-04-01,大洋洲地區(Oceania),1-12歲,男,492,202304
2023,4,2023-04-01,歐洲地區(Europe),1-12歲,男,255,202304
2023,4,2023-04-01,其他未列明(Unknow),1-12歲,男,31,202304
2023,5,2023-05-01,亞洲地區(Asia),1-12歲,男,20624,202305
2023,5,2023-05-01,非洲地區(Africa),1-12歲,男,0,202305
2023,5,2023-05-01,美洲地區(Americas),1-12歲,男,526,202305
2023,5,2023-05-01,大洋洲地區(Oceania),1-12歲,男,234,202305
2023,5,2023-05-01,歐洲地區(Europe),1-12歲,男,238,202305
2023,5,2023-05-01,其他未列明(Unknow),1-12歲,男,73,202305
2023,6,2023-06-01,亞洲地區(Asia),1-12歲,男,39994,202306
2023,6,2023-06-01,非洲地區(Africa),1-12歲,男,0,202306
2023,6,2023-06-01,美洲地區(Americas),1-12歲,男,2473,202306
2023,6,2023-06-01,大洋洲地區(Oceania),1-12歲,男,580,202306
2023,6,2023-06-01,歐洲地區(Europe),1-12歲,男,714,202306
2023,6,2023-06-01,其他未列明(Unknow),1-12歲,男,166,202306
2023,7,2023-07-01,亞洲地區(Asia),1-12歲,男,74927,202307
