年,季,日期標準,縣市,鄉鎮市區,住宅拍賣移轉筆數,年月,日期格式
2018,1,2018-01-01,雲林縣,斗六市,4,201801,2018-01-01
2018,1,2018-01-01,雲林縣,斗南鎮,3,201801,2018-01-01
2018,1,2018-01-01,雲林縣,虎尾鎮,4,201801,2018-01-01
2018,1,2018-01-01,雲林縣,西螺鎮,1,201801,2018-01-01
2018,1,2018-01-01,雲林縣,土庫鎮,1,201801,2018-01-01
2018,1,2018-01-01,雲林縣,北港鎮,4,201801,2018-01-01
2018,1,2018-01-01,雲林縣,古坑鄉,1,201801,2018-01-01
2018,1,2018-01-01,雲林縣,大埤鄉,1,201801,2018-01-01
2018,1,2018-01-01,雲林縣,林內鄉,2,201801,2018-01-01
2018,1,2018-01-01,雲林縣,崙背鄉,2,201801,2018-01-01
2018,1,2018-01-01,雲林縣,元長鄉,1,201801,2018-01-01
2018,1,2018-01-01,嘉義縣,太保市,1,201801,2018-01-01
2018,1,2018-01-01,嘉義縣,朴子市,1,201801,2018-01-01
2018,1,2018-01-01,嘉義縣,大林鎮,2,201801,2018-01-01
2018,1,2018-01-01,嘉義縣,民雄鄉,1,201801,2018-01-01
2018,1,2018-01-01,嘉義縣,溪口鄉,3,201801,2018-01-01
2018,1,2018-01-01,嘉義縣,新港鄉,1,201801,2018-01-01
2018,1,2018-01-01,嘉義縣,東石鄉,1,201801,2018-01-01
2018,1,2018-01-01,嘉義縣,水上鄉,3,201801,2018-01-01
2018,1,2018-01-01,嘉義縣,中埔鄉,1,201801,2018-01-01
2018,1,2018-01-01,嘉義縣,梅山鄉,1,201801,2018-01-01
2018,1,2018-01-01,嘉義縣,大埔鄉,1,201801,2018-01-01
2018,1,2018-01-01,屏東縣,屏東市,8,201801,2018-01-01
2018,1,2018-01-01,屏東縣,潮州鎮,1,201801,2018-01-01
2018,1,2018-01-01,屏東縣,東港鎮,2,201801,2018-01-01
2018,1,2018-01-01,屏東縣,恆春鎮,1,201801,2018-01-01
2018,1,2018-01-01,屏東縣,萬丹鄉,2,201801,2018-01-01
2018,1,2018-01-01,屏東縣,鹽埔鄉,1,201801,2018-01-01
2018,1,2018-01-01,屏東縣,高樹鄉,1,201801,2018-01-01
2018,1,2018-01-01,屏東縣,萬巒鄉,1,201801,2018-01-01
2018,1,2018-01-01,屏東縣,新埤鄉,1,201801,2018-01-01
2018,1,2018-01-01,屏東縣,枋寮鄉,2,201801,2018-01-01
2018,1,2018-01-01,屏東縣,新園鄉,2,201801,2018-01-01
2018,1,2018-01-01,屏東縣,崁頂鄉,3,201801,2018-01-01
2018,1,2018-01-01,屏東縣,林邊鄉,2,201801,2018-01-01
2018,1,2018-01-01,屏東縣,佳冬鄉,1,201801,2018-01-01
2018,1,2018-01-01,屏東縣,枋山鄉,1,201801,2018-01-01
2018,1,2018-01-01,屏東縣,三地門鄉,1,201801,2018-01-01
2018,1,2018-01-01,屏東縣,來義鄉,1,201801,2018-01-01
2018,1,2018-01-01,屏東縣,獅子鄉,1,201801,2018-01-01
