年,月,餐飲細分行業,營業額_千元,年月,日期格式
2022,04,餐館,47650583.0,202204,2022-04-01
2022,04,外燴及團膳承包業,3221103.0,202204,2022-04-01
2022,04,飲料店,8924961.0,202204,2022-04-01
2022,05,餐館,44264983.0,202205,2022-05-01
2022,05,外燴及團膳承包業,2711098.0,202205,2022-05-01
2022,05,飲料店,8497761.0,202205,2022-05-01
2022,06,餐館,47498431.0,202206,2022-06-01
2022,06,外燴及團膳承包業,3010049.0,202206,2022-06-01
2022,06,飲料店,9176215.0,202206,2022-06-01
2022,07,餐館,59808375.0,202207,2022-07-01
2022,07,外燴及團膳承包業,2669830.0,202207,2022-07-01
2022,07,飲料店,10180980.0,202207,2022-07-01
2022,08,餐館,61276264.0,202208,2022-08-01
2022,08,外燴及團膳承包業,2824388.0,202208,2022-08-01
2022,08,飲料店,11383758.0,202208,2022-08-01
2022,09,餐館,55729434.0,202209,2022-09-01
2022,09,外燴及團膳承包業,3725161.0,202209,2022-09-01
2022,09,飲料店,9996280.0,202209,2022-09-01
2022,10,餐館,60094298.0,202210,2022-10-01
2022,10,外燴及團膳承包業,4008530.0,202210,2022-10-01
2022,10,飲料店,9888000.0,202210,2022-10-01
2022,11,餐館,58078583.0,202211,2022-11-01
2022,11,外燴及團膳承包業,4340121.0,202211,2022-11-01
2022,11,飲料店,10138277.0,202211,2022-11-01
2022,12,餐館,67872315.0,202212,2022-12-01
2022,12,外燴及團膳承包業,4779536.0,202212,2022-12-01
2022,12,飲料店,11720838.0,202212,2022-12-01
2023,01,餐館,81377077.0,202301,2023-01-01
2023,01,外燴及團膳承包業,4311770.0,202301,2023-01-01
2023,01,飲料店,11828394.0,202301,2023-01-01
2023,02,餐館,62444638.0,202302,2023-02-01
2023,02,外燴及團膳承包業,3795785.0,202302,2023-02-01
2023,02,飲料店,9325595.0,202302,2023-02-01
2023,03,餐館,60302733.0,202303,2023-03-01
2023,03,外燴及團膳承包業,4604682.0,202303,2023-03-01
2023,03,飲料店,10380248.0,202303,2023-03-01
2023,04,餐館,64930173.0,202304,2023-04-01
2023,04,外燴及團膳承包業,4666953.0,202304,2023-04-01
2023,04,飲料店,9836927.0,202304,2023-04-01
2023,05,餐館,66237895.0,202305,2023-05-01
2023,05,外燴及團膳承包業,4871458.0,202305,2023-05-01
2023,05,飲料店,10425460.0,202305,2023-05-01
2023,06,餐館,65722862.0,202306,2023-06-01
2023,06,外燴及團膳承包業,5150638.0,202306,2023-06-01
2023,06,飲料店,10552347.0,202306,2023-06-01
2023,07,餐館,71877031.0,202307,2023-07-01
2023,07,外燴及團膳承包業,4576435.0,202307,2023-07-01
2023,07,飲料店,11082484.0,202307,2023-07-01
2023,08,餐館,71708485.0,202308,2023-08-01
2023,08,外燴及團膳承包業,4414190.0,202308,2023-08-01
2023,08,飲料店,11286463.0,202308,2023-08-01
2023,09,餐館,65403862.0,202309,2023-09-01
2023,09,外燴及團膳承包業,4821258.0,202309,2023-09-01
2023,09,飲料店,10987030.0,202309,2023-09-01
2023,10,餐館,67524017.0,202310,2023-10-01
2023,10,外燴及團膳承包業,5394236.0,202310,2023-10-01
2023,10,飲料店,10502008.0,202310,2023-10-01
2023,11,餐館,63449102.0,202311,2023-11-01
2023,11,外燴及團膳承包業,5613024.0,202311,2023-11-01
2023,11,飲料店,10608309.0,202311,2023-11-01
2023,12,餐館,74203589.0,202312,2023-12-01
2023,12,外燴及團膳承包業,5942216.0,202312,2023-12-01
2023,12,飲料店,11761303.0,202312,2023-12-01
2024,01,餐館,72521662.0,202401,2024-01-01
2024,01,外燴及團膳承包業,5637787.0,202401,2024-01-01
2024,01,飲料店,11618789.0,202401,2024-01-01
2024,02,餐館,76552225.0,202402,2024-02-01
2024,02,外燴及團膳承包業,4260029.0,202402,2024-02-01
2024,02,飲料店,10383421.0,202402,2024-02-01
2024,03,餐館,67186637.0,202403,2024-03-01
2024,03,外燴及團膳承包業,5138358.0,202403,2024-03-01
2024,03,飲料店,10834029.0,202403,2024-03-01
2024,04,餐館,63507650.0,202404,2024-04-01
2024,04,外燴及團膳承包業,5660980.0,202404,2024-04-01
2024,04,飲料店,10806124.0,202404,2024-04-01
2024,05,餐館,67765636.0,202405,2024-05-01
