年月,年,月,行業別,用電量,年月KEY
2018-10-01,2018,10,醫療保健及社會工作服務業,281168.1875,201810
2018-10-01,2018,10,藝術、娛樂及休閒服務業,113772.796875,201810
2018-10-01,2018,10,運輸用電,127367.703125,201810
2018-10-01,2018,10,公路,4620.60009765625,201810
2018-10-01,2018,10,鐵路,119587.8984375,201810
2018-10-01,2018,10,管線運輸,3159.10009765625,201810
2018-10-01,2018,10,能源部門自用,1628670.375,201810
2018-10-01,2018,10,農業部門,259869.203125,201810
2018-11-01,2018,11,全國用電量,21949102.0,201811
2018-11-01,2018,11,工業用電,12257272.0,201811
2018-11-01,2018,11,紡織成衣及服飾品製造業,488956.5,201811
2018-11-01,2018,11,紙漿、紙及紙製品製造業,302697.0,201811
2018-11-01,2018,11,化學材料及肥料製造業,2654706.25,201811
2018-11-01,2018,11,塑膠製品製造業,438379.1875,201811
2018-11-01,2018,11,非金屬礦物製品製造業,491327.3125,201811
2018-11-01,2018,11,基本金屬製造業,1593923.625,201811
2018-11-01,2018,11,金屬製品製造業,581794.3125,201811
2018-11-01,2018,11,電子產品及電力設備製造業,4175069.75,201811
2018-11-01,2018,11,住宅用電,3846694.5,201811
2018-11-01,2018,11,服務業用電,3932057.75,201811
2018-11-01,2018,11,運輸及倉儲業,234731.0,201811
2018-11-01,2018,11,住宿及餐飲業,600940.1875,201811
2018-11-01,2018,11,出版影音及資通訊業,284745.09375,201811
2018-11-01,2018,11,金融及保險業,157230.59375,201811
2018-11-01,2018,11,不動產業,124448.703125,201811
2018-11-01,2018,11,醫療保健及社會工作服務業,260297.5,201811
2018-11-01,2018,11,藝術、娛樂及休閒服務業,103792.796875,201811
2018-11-01,2018,11,運輸用電,126706.6015625,201811
2018-11-01,2018,11,公路,5038.2998046875,201811
2018-11-01,2018,11,鐵路,118681.5,201811
2018-11-01,2018,11,管線運輸,2986.699951171875,201811
2018-11-01,2018,11,能源部門自用,1541948.0,201811
2018-11-01,2018,11,農業部門,244423.40625,201811
2018-12-01,2018,12,全國用電量,20775686.0,201812
2018-12-01,2018,12,工業用電,12213414.0,201812
2018-12-01,2018,12,紡織成衣及服飾品製造業,481942.09375,201812
2018-12-01,2018,12,紙漿、紙及紙製品製造業,302887.40625,201812
2018-12-01,2018,12,化學材料及肥料製造業,2674834.0,201812
2018-12-01,2018,12,塑膠製品製造業,437295.40625,201812
2018-12-01,2018,12,非金屬礦物製品製造業,503714.90625,201812
2018-12-01,2018,12,基本金屬製造業,1623442.25,201812
2018-12-01,2018,12,金屬製品製造業,575369.8125,201812
2018-12-01,2018,12,電子產品及電力設備製造業,4126407.75,201812
2018-12-01,2018,12,住宅用電,3012192.0,201812
2018-12-01,2018,12,服務業用電,3595365.5,201812
2018-12-01,2018,12,運輸及倉儲業,222320.5,201812
2018-12-01,2018,12,住宿及餐飲業,562215.5,201812
2018-12-01,2018,12,出版影音及資通訊業,273905.90625,201812
2018-12-01,2018,12,金融及保險業,144091.796875,201812
2018-12-01,2018,12,不動產業,115715.1015625,201812
2018-12-01,2018,12,醫療保健及社會工作服務業,246581.5,201812
2018-12-01,2018,12,藝術、娛樂及休閒服務業,98428.296875,201812
2018-12-01,2018,12,運輸用電,130941.796875,201812
2018-12-01,2018,12,公路,5219.2998046875,201812
2018-12-01,2018,12,鐵路,122433.1015625,201812
2018-12-01,2018,12,管線運輸,3289.300048828125,201812
2018-12-01,2018,12,能源部門自用,1585638.25,201812
2018-12-01,2018,12,農業部門,238134.90625,201812
2019-01-01,2019,1,全國用電量,20846880.0,201901
2019-01-01,2019,1,工業用電,12202443.0,201901
2019-01-01,2019,1,紡織成衣及服飾品製造業,494025.8125,201901
2019-01-01,2019,1,紙漿、紙及紙製品製造業,312449.0,201901
2019-01-01,2019,1,化學材料及肥料製造業,2678064.0,201901
2019-01-01,2019,1,塑膠製品製造業,445417.90625,201901
2019-01-01,2019,1,非金屬礦物製品製造業,493076.0,201901
2019-01-01,2019,1,基本金屬製造業,1613462.375,201901
2019-01-01,2019,1,金屬製品製造業,569341.3125,201901
2019-01-01,2019,1,電子產品及電力設備製造業,4082216.5,201901
2019-01-01,2019,1,住宅用電,3266792.5,201901
2019-01-01,2019,1,服務業用電,3496740.75,201901
2019-01-01,2019,1,運輸及倉儲業,219212.203125,201901
2019-01-01,2019,1,住宿及餐飲業,527960.125,201901
2019-01-01,2019,1,出版影音及資通訊業,276460.40625,201901
2019-01-01,2019,1,金融及保險業,140422.0,201901
2019-01-01,2019,1,不動產業,113671.203125,201901
2019-01-01,2019,1,醫療保健及社會工作服務業,236938.203125,201901
2019-01-01,2019,1,藝術、娛樂及休閒服務業,81213.8984375,201901
2019-01-01,2019,1,運輸用電,127567.203125,201901
2019-01-01,2019,1,公路,5764.7998046875,201901
2019-01-01,2019,1,鐵路,118602.8984375,201901
2019-01-01,2019,1,管線運輸,3199.300048828125,201901
2019-01-01,2019,1,能源部門自用,1534303.0,201901
2019-01-01,2019,1,農業部門,219033.296875,201901
2019-02-01,2019,2,全國用電量,18362424.0,201902
2019-02-01,2019,2,工業用電,10335066.0,201902
2019-02-01,2019,2,紡織成衣及服飾品製造業,391837.40625,201902
2019-02-01,2019,2,紙漿、紙及紙製品製造業,248601.296875,201902
2019-02-01,2019,2,化學材料及肥料製造業,2352375.75,201902
2019-02-01,2019,2,塑膠製品製造業,342024.90625,201902
2019-02-01,2019,2,非金屬礦物製品製造業,398461.40625,201902
2019-02-01,2019,2,基本金屬製造業,1346777.25,201902
2019-02-01,2019,2,金屬製品製造業,431732.09375,201902
2019-02-01,2019,2,電子產品及電力設備製造業,3617303.25,201902
2019-02-01,2019,2,住宅用電,3188521.5,201902
2019-02-01,2019,2,服務業用電,3116512.0,201902
2019-02-01,2019,2,運輸及倉儲業,193817.296875,201902
2019-02-01,2019,2,住宿及餐飲業,486375.09375,201902
2019-02-01,2019,2,出版影音及資通訊業,253862.40625,201902
2019-02-01,2019,2,金融及保險業,116505.0,201902
2019-02-01,2019,2,不動產業,99389.6015625,201902
2019-02-01,2019,2,醫療保健及社會工作服務業,211819.703125,201902
2019-02-01,2019,2,藝術、娛樂及休閒服務業,85154.296875,201902
2019-02-01,2019,2,運輸用電,122427.796875,201902
2019-02-01,2019,2,公路,5471.2998046875,201902
2019-02-01,2019,2,鐵路,113768.203125,201902
2019-02-01,2019,2,管線運輸,3188.300048828125,201902
2019-02-01,2019,2,能源部門自用,1380932.5,201902
2019-02-01,2019,2,農業部門,218963.203125,201902
2019-03-01,2019,3,全國用電量,20853684.0,201903
2019-03-01,2019,3,工業用電,12160241.0,201903
2019-03-01,2019,3,紡織成衣及服飾品製造業,502855.1875,201903
2019-03-01,2019,3,紙漿、紙及紙製品製造業,303517.09375,201903
2019-03-01,2019,3,化學材料及肥料製造業,2609395.5,201903
2019-03-01,2019,3,塑膠製品製造業,436832.40625,201903
2019-03-01,2019,3,非金屬礦物製品製造業,487650.1875,201903
2019-03-01,2019,3,基本金屬製造業,1647197.75,201903
2019-03-01,2019,3,金屬製品製造業,539475.625,201903
2019-03-01,2019,3,電子產品及電力設備製造業,4164292.5,201903
2019-03-01,2019,3,住宅用電,3278133.25,201903
2019-03-01,2019,3,服務業用電,3432363.5,201903
2019-03-01,2019,3,運輸及倉儲業,218966.59375,201903
2019-03-01,2019,3,住宿及餐飲業,517403.6875,201903
2019-03-01,2019,3,出版影音及資通訊業,275705.59375,201903
2019-03-01,2019,3,金融及保險業,130697.6015625,201903
2019-03-01,2019,3,不動產業,107753.703125,201903
2019-03-01,2019,3,醫療保健及社會工作服務業,243389.59375,201903
2019-03-01,2019,3,藝術、娛樂及休閒服務業,92420.703125,201903
2019-03-01,2019,3,運輸用電,129527.1015625,201903
2019-03-01,2019,3,公路,5969.2998046875,201903
2019-03-01,2019,3,鐵路,120372.296875,201903
2019-03-01,2019,3,管線運輸,3185.300048828125,201903
2019-03-01,2019,3,能源部門自用,1634252.875,201903
2019-03-01,2019,3,農業部門,219165.703125,201903
2019-04-01,2019,4,全國用電量,20715772.0,201904
2019-04-01,2019,4,工業用電,12010815.0,201904
2019-04-01,2019,4,紡織成衣及服飾品製造業,491739.3125,201904
2019-04-01,2019,4,紙漿、紙及紙製品製造業,280476.8125,201904
2019-04-01,2019,4,化學材料及肥料製造業,2525727.25,201904
2019-04-01,2019,4,塑膠製品製造業,436623.40625,201904
2019-04-01,2019,4,非金屬礦物製品製造業,473262.8125,201904
2019-04-01,2019,4,基本金屬製造業,1571238.25,201904
2019-04-01,2019,4,金屬製品製造業,549447.125,201904
2019-04-01,2019,4,電子產品及電力設備製造業,4196175.5,201904
2019-04-01,2019,4,住宅用電,3203662.5,201904
2019-04-01,2019,4,服務業用電,3565863.0,201904
2019-04-01,2019,4,運輸及倉儲業,244086.796875,201904
2019-04-01,2019,4,住宿及餐飲業,528426.875,201904
2019-04-01,2019,4,出版影音及資通訊業,272155.09375,201904
2019-04-01,2019,4,金融及保險業,136995.90625,201904
2019-04-01,2019,4,不動產業,109910.8984375,201904
2019-04-01,2019,4,醫療保健及社會工作服務業,263630.5,201904
2019-04-01,2019,4,藝術、娛樂及休閒服務業,98034.703125,201904
2019-04-01,2019,4,運輸用電,130459.296875,201904
2019-04-01,2019,4,公路,6042.60009765625,201904
2019-04-01,2019,4,鐵路,121407.296875,201904
