年,名稱,人口數,占總人口比率,年月KEY,日期格式
2017,高雄市,2776912.0,11.78,201701,2017-01-01
2017,宜蘭縣,456607.0,1.94,201701,2017-01-01
2017,新竹縣,552169.0,2.34,201701,2017-01-01
2017,苗栗縣,553807.0,2.35,201701,2017-01-01
2017,彰化縣,1282458.0,5.44,201701,2017-01-01
2017,南投縣,501051.0,2.13,201701,2017-01-01
2017,雲林縣,690373.0,2.93,201701,2017-01-01
2017,嘉義縣,511182.0,2.17,201701,2017-01-01
2017,屏東縣,829939.0,3.52,201701,2017-01-01
2017,台東縣,219540.0,0.93,201701,2017-01-01
2017,花蓮縣,329237.0,1.4,201701,2017-01-01
2017,澎湖縣,104073.0,0.44,201701,2017-01-01
2017,基隆市,371458.0,1.58,201701,2017-01-01
2017,新竹市,441132.0,1.87,201701,2017-01-01
2017,嘉義市,269398.0,1.14,201701,2017-01-01
2017,金門縣,137456.0,0.58,201701,2017-01-01
2017,連江縣,12880.0,0.05,201701,2017-01-01
