西元年,區域,屬性,耗水量,年月KEY,日期格式
2011,北部,工業自備水源耗水量,177.88,201101,2011-01-01
2011,北部,公共給水耗水量,286.6,201101,2011-01-01
2011,中部,工業自備水源耗水量,377.34,201101,2011-01-01
2011,中部,公共給水耗水量,120.8,201101,2011-01-01
2011,南部,工業自備水源耗水量,170.72,201101,2011-01-01
2011,南部,公共給水耗水量,359.2,201101,2011-01-01
2011,東部,工業自備水源耗水量,54.54,201101,2011-01-01
2011,東部,公共給水耗水量,1.6,201101,2011-01-01
2011,中部,工業自備水源耗水量,377.34,201101,2011-01-01
2011,中部,公共給水耗水量,120.8,201101,2011-01-01
2011,其他,工業自備水源耗水量,3.14,201101,2011-01-01
2011,其他,公共給水耗水量,0.0,201101,2011-01-01
2012,中部,工業自備水源耗水量,423.1,201201,2012-01-01
2012,中部,公共給水耗水量,131.6,201201,2012-01-01
2012,南部,工業自備水源耗水量,163.75,201201,2012-01-01
2012,南部,公共給水耗水量,363.54,201201,2012-01-01
2012,東部,工業自備水源耗水量,54.13,201201,2012-01-01
2012,東部,公共給水耗水量,1.7,201201,2012-01-01
2012,其他,工業自備水源耗水量,3.32,201201,2012-01-01
2012,其他,公共給水耗水量,0.0,201201,2012-01-01
2012,北部,工業自備水源耗水量,176.4,201201,2012-01-01
2012,北部,公共給水耗水量,292.33,201201,2012-01-01
2013,北部,工業自備水源耗水量,174.08,201301,2013-01-01
2013,北部,公共給水耗水量,294.05,201301,2013-01-01
2013,中部,工業自備水源耗水量,435.47,201301,2013-01-01
2013,中部,公共給水耗水量,141.6,201301,2013-01-01
2013,南部,工業自備水源耗水量,172.0,201301,2013-01-01
2013,南部,公共給水耗水量,360.2,201301,2013-01-01
2013,東部,工業自備水源耗水量,56.47,201301,2013-01-01
2013,東部,公共給水耗水量,1.7,201301,2013-01-01
2013,其他,工業自備水源耗水量,3.41,201301,2013-01-01
2013,其他,公共給水耗水量,0.0,201301,2013-01-01
2014,北部,工業自備水源耗水量,132.37,201401,2014-01-01
2014,北部,公共給水耗水量,305.66,201401,2014-01-01
2014,中部,工業自備水源耗水量,418.09,201401,2014-01-01
2014,中部,公共給水耗水量,153.28,201401,2014-01-01
2014,南部,工業自備水源耗水量,197.19,201401,2014-01-01
2014,南部,公共給水耗水量,369.3,201401,2014-01-01
2014,東部,工業自備水源耗水量,55.9,201401,2014-01-01
2014,東部,公共給水耗水量,1.73,201401,2014-01-01
2014,其他,工業自備水源耗水量,3.31,201401,2014-01-01
2014,其他,公共給水耗水量,0.0,201401,2014-01-01
2015,北部,工業自備水源耗水量,176.31,201501,2015-01-01
2015,北部,公共給水耗水量,280.46,201501,2015-01-01
2015,中部,工業自備水源耗水量,423.2,201501,2015-01-01
2015,中部,公共給水耗水量,149.04,201501,2015-01-01
2015,南部,工業自備水源耗水量,152.21,201501,2015-01-01
2015,南部,公共給水耗水量,360.74,201501,2015-01-01
2015,東部,工業自備水源耗水量,53.54,201501,2015-01-01
2015,東部,公共給水耗水量,1.81,201501,2015-01-01
2015,其他,工業自備水源耗水量,3.23,201501,2015-01-01
2015,其他,公共給水耗水量,0.0,201501,2015-01-01
2016,北部,工業自備水源耗水量,182.22,201601,2016-01-01
2016,北部,公共給水耗水量,273.69,201601,2016-01-01
2016,中部,工業自備水源耗水量,436.86,201601,2016-01-01
2016,中部,公共給水耗水量,154.55,201601,2016-01-01
2016,東部,工業自備水源耗水量,50.67,201601,2016-01-01
2016,東部,公共給水耗水量,1.49,201601,2016-01-01
