年度標籤,路線方向,路段,交流道,進出口,週六,週日,週2-4,平日
111年,國3南向路段,非主線資料,白河,進口,3503,4906,2379,
111年,國3南向路段,非主線資料,東山服務區,進口,1146,1556,710,
111年,國3南向路段,非主線資料,柳營,進口,2921,3041,3129,
111年,國3南向路段,非主線資料,烏山頭,進口,3223,3361,3074,
111年,國3南向路段,非主線資料,官田系統,進口,7309,7812,6247,
111年,國3南向路段,非主線資料,善化,進口,5056,4238,4781,
111年,國3南向路段,非主線資料,新化系統,進口,10206,8660,9488,
111年,國3南向路段,非主線資料,關廟,進口,9807,8947,6162,
111年,國3南向路段,非主線資料,關廟服務區,進口,259,244,281,
111年,國3南向路段,非主線資料,田寮,進口,3317,3358,2844,
111年,國3南向路段,非主線資料,燕巢系統,進口,13167,12437,12973,
111年,國3南向路段,非主線資料,九如,進口,2823,2681,2693,
111年,國3南向路段,非主線資料,長治,進口,4806,4385,4657,
111年,國3南向路段,非主線資料,麟洛,進口,7937,7067,7442,
111年,國3南向路段,非主線資料,竹田系統,進口,16354,13561,11082,
111年,國3南向路段,非主線資料,南州,進口,488,416,451,
111年,國5南向路段,非主線資料,南港系統,進口,36755,32326,27213,
111年,國5南向路段,非主線資料,石碇,進口,5721,3306,4460,
111年,國5南向路段,非主線資料,坪林,進口,1810,358,389,
111年,國5南向路段,非主線資料,頭城,進口,5007,2176,4365,
111年,國5南向路段,非主線資料,宜蘭,進口,6267,5451,6165,
111年,國5南向路段,非主線資料,羅東,進口,3115,2797,3160,
111年,國1高架南向路段,非主線資料,汐止端,進口,32900,33181,31015,
111年,國1高架南向路段,非主線資料,堤頂,進口,21855,17881,25675,
111年,國1高架南向路段,非主線資料,環北,進口,24366,22316,22758,
111年,國1高架南向路段,非主線資料,泰山轉接道,進口,35790,34055,31171,
111年,國1高架南向路段,非主線資料,機場系統,進口,4784,4510,5989,
111年,國1高架南向路段,非主線資料,中壢轉接道,進口,14652,12753,15443,
111年,國3甲東向路段,非主線資料,台北端,進口,23824,20170,23863,
111年,國3甲東向路段,非主線資料,萬芳,進口,15948,14551,16749,
111年,國2東向路段,非主線資料,機場端,進口,27284,27122,27329,
111年,國2東向路段,非主線資料,大園,進口,18948,15750,24815,
111年,國2東向路段,非主線資料,大竹,進口,27262,24292,28960,
111年,國2東向路段,非主線資料,機場系統,進口,46072,43269,47198,
111年,國2東向路段,非主線資料,南桃園,進口,18150,15370,19087,
111年,國2東向路段,非主線資料,大湳,進口,24174,21162,25195,
111年,國4東向路段,非主線資料,清水端,進口,16589,15693,16827,
111年,國4東向路段,非主線資料,中港系統,進口,16984,15983,15782,
111年,國4東向路段,非主線資料,神岡,進口,5782,4735,7586,
111年,國4東向路段,非主線資料,台中系統,進口,15329,13145,13181,
111年,國6東向路段,非主線資料,霧峰系統,進口,30831,26384,20361,
111年,國6東向路段,非主線資料,舊正,進口,6039,2906,2444,
111年,國6東向路段,非主線資料,東草屯,進口,1469,1315,1110,
111年,國6東向路段,非主線資料,國姓,進口,575,481,478,
111年,國6東向路段,非主線資料,愛蘭,進口,632,484,429,
111年,國8東向路段,非主線資料,台南端,進口,13722,12287,12858,
111年,國8東向路段,非主線資料,新吉,進口,7801,7119,7127,
111年,國8東向路段,非主線資料,台南系統,進口,16790,16994,16603,
111年,國8東向路段,非主線資料,新市,進口,3548,2953,3646,
111年,國8東向路段,非主線資料,新化系統,進口,3719,3896,3339,
111年,國10東向路段,非主線資料,左營端,進口,34874,34671,33129,
111年,國10東向路段,非主線資料,鼎金系統,進口,25743,24577,24115,
111年,國10東向路段,非主線資料,仁武,進口,10839,9223,10544,
111年,國10東向路段,非主線資料,燕巢,進口,7670,8909,9268,
111年,國10東向路段,非主線資料,燕巢系統,進口,6932,6207,5311,
111年,國1北向路段,非主線資料,高港高架,進口,6850,6760,9910,
111年,國1北向路段,非主線資料,漁港路,進口,1805,1634,2090,
111年,國1北向路段,非主線資料,中山四路,進口,21688,19891,23493,
111年,國1北向路段,非主線資料,三國通道,進口,4061,3428,5342,
111年,國1北向路段,非主線資料,五甲系統,進口,52332,51925,51245,
111年,國1北向路段,非主線資料,高雄,進口,55578,56194,50767,
111年,國1北向路段,非主線資料,鼎金系統,進口,23994,23931,22550,
111年,國1北向路段,非主線資料,楠梓,進口,16474,16037,18579,
111年,國1北向路段,非主線資料,岡山,進口,6239,6377,6600,
111年,國1北向路段,非主線資料,高科,進口,6136,5209,9596,
111年,國1北向路段,非主線資料,路竹,進口,5918,5702,5821,
111年,國1北向路段,非主線資料,仁德系統,進口,17377,18246,18661,
111年,國1北向路段,非主線資料,仁德,進口,9524,8859,10029,
111年,國1北向路段,非主線資料,大灣,進口,16543,16231,15915,
111年,國1北向路段,非主線資料,永康,進口,17552,17461,15313,
111年,國1北向路段,非主線資料,台南系統,進口,10113,10060,9742,
111年,國1北向路段,非主線資料,安定,進口,4069,3395,5807,
111年,國1北向路段,非主線資料,麻豆,進口,5560,5596,4953,
111年,國1北向路段,非主線資料,下營系統,進口,4326,4410,3794,
111年,國1北向路段,非主線資料,新營,進口,5019,5286,4400,
111年,國1北向路段,非主線資料,新營服務區,進口,1487,1490,1491,
111年,國1北向路段,非主線資料,嘉義系統,進口,8054,7994,7436,
111年,國1北向路段,非主線資料,水上,進口,2885,2926,3021,
111年,國1北向路段,非主線資料,嘉義,進口,10766,11172,10010,
111年,國1北向路段,非主線資料,民雄,進口,6773,7452,6040,
111年,國1北向路段,非主線資料,大林,進口,3718,3979,3322,
111年,國1北向路段,非主線資料,雲林系統,進口,12634,12260,10276,
111年,國1北向路段,非主線資料,斗南,進口,5522,5579,5016,
111年,國1北向路段,非主線資料,虎尾,進口,3957,4105,3815,
111年,國1北向路段,非主線資料,西螺,進口,5453,5619,4979,
111年,國1北向路段,非主線資料,北斗,進口,11114,10098,10800,
111年,國1北向路段,非主線資料,員林,進口,12333,11583,11969,
111年,國1北向路段,非主線資料,埔鹽系統,進口,14726,14023,16205,
111年,國1北向路段,非主線資料,彰化,進口,23214,21346,23442,
111年,國1北向路段,非主線資料,彰化系統,進口,5189,5335,6030,
111年,國1北向路段,非主線資料,王田,進口,8676,7721,10978,
111年,國1北向路段,非主線資料,南屯,進口,13379,12660,14606,
111年,國1北向路段,非主線資料,台中,進口,24721,24038,24626,
111年,國1北向路段,非主線資料,大雅,進口,26533,26828,23964,
111年,國1北向路段,非主線資料,豐原,進口,13363,13234,12721,
111年,國1北向路段,非主線資料,台中系統,進口,5830,6500,5269,
111年,國1北向路段,非主線資料,后里,進口,2591,3285,2047,
111年,國1北向路段,非主線資料,三義,進口,4253,5527,4216,
111年,國1北向路段,非主線資料,銅鑼,進口,2575,3029,2935,
111年,國1北向路段,非主線資料,苗栗,進口,3978,5492,3472,
111年,國1北向路段,非主線資料,頭屋,進口,6414,7031,5569,
111年,國1北向路段,非主線資料,頭份,進口,14824,14058,16399,
111年,國1北向路段,非主線資料,新竹系統,進口,29852,31545,32656,
111年,國1北向路段,非主線資料,新竹,進口,29872,28522,38105,
111年,國1北向路段,非主線資料,竹北,進口,17390,14133,18405,
111年,國1北向路段,非主線資料,湖口,進口,9641,10478,12921,
111年,國1北向路段,非主線資料,楊梅,進口,21873,19838,24839,
111年,國1北向路段,非主線資料,幼獅,進口,6758,5624,10826,
111年,國1北向路段,非主線資料,平鎮系統,進口,26091,25172,28309,
111年,國1北向路段,非主線資料,中壢,進口,13306,12150,14479,
111年,國1北向路段,非主線資料,中壢轉接道,進口,14968,16725,16587,
111年,國1北向路段,非主線資料,內壢,進口,26996,24821,29185,
111年,國1北向路段,非主線資料,中壢服務區,進口,2342,2090,3513,
111年,國1北向路段,非主線資料,機場系統,進口,41653,39055,43752,
111年,國1北向路段,非主線資料,桃園,進口,35742,32245,37265,
111年,國1北向路段,非主線資料,林口,進口,45379,39278,49986,
111年,國1北向路段,非主線資料,泰山轉接道,進口,33000,33215,28469,
111年,國1北向路段,非主線資料,高公局,進口,220,184,702,
111年,國1北向路段,非主線資料,五股,進口,18502,12887,19921,
111年,國1北向路段,非主線資料,三重,進口,21657,18558,21594,
111年,國1北向路段,非主線資料,台北,進口,26804,26541,25870,
111年,國1北向路段,非主線資料,圓山,進口,14711,13681,15783,
111年,國1北向路段,非主線資料,內湖,進口,27442,24504,27496,
111年,國1北向路段,非主線資料,汐止及汐止系統,進口,39467,36709,34171,
111年,國1北向路段,非主線資料,五堵,進口,5132,4348,6688,
111年,國1北向路段,非主線資料,基隆,進口,8261,6413,8584,
111年,國3北向路段,非主線資料,林邊,進口,7398,9644,6069,
111年,國3北向路段,非主線資料,南州,進口,13017,17300,10175,
111年,國3北向路段,非主線資料,崁頂,進口,4556,5029,4541,
111年,國3北向路段,非主線資料,竹田系統,進口,9438,9369,9152,
111年,國3北向路段,非主線資料,麟洛,進口,4561,5381,4430,
111年,國3北向路段,非主線資料,長治,進口,5011,5416,4295,
111年,國3北向路段,非主線資料,屏東,進口,5700,5974,5103,
111年,國3北向路段,非主線資料,九如,進口,7958,8447,7451,
111年,國3北向路段,非主線資料,燕巢系統,進口,16433,16552,12107,
111年,國3北向路段,非主線資料,田寮,進口,2928,3378,1797,
111年,國3北向路段,非主線資料,關廟服務區,進口,333,390,324,
111年,國3北向路段,非主線資料,關廟,進口,10621,10750,9040,
111年,國3北向路段,非主線資料,新化系統,進口,13526,13531,8668,
111年,國3北向路段,非主線資料,善化,進口,3987,3533,3572,
111年,國3北向路段,非主線資料,官田系統,進口,3517,4357,2606,
111年,國3北向路段,非主線資料,烏山頭,進口,1023,1143,907,
111年,國3北向路段,非主線資料,柳營,進口,1020,1261,837,
111年,國3北向路段,非主線資料,東山服務區,進口,619,674,361,
111年,國3北向路段,非主線資料,白河,進口,2507,3201,1782,
111年,國3北向路段,非主線資料,水上系統,進口,7884,8443,6634,
111年,國3北向路段,非主線資料,中埔,進口,6053,7144,4897,
111年,國3北向路段,非主線資料,竹崎,進口,7517,8461,5941,
111年,國3北向路段,非主線資料,梅山,進口,2601,3196,2409,
111年,國3北向路段,非主線資料,古坑服務區,進口,369,403,279,
111年,國3北向路段,非主線資料,古坑(北)&古坑系統,進口,8546,9309,5954,
111年,國3北向路段,非主線資料,斗六,進口,5035,4947,4314,
111年,國3北向路段,非主線資料,南雲,進口,2559,2828,2204,
111年,國3北向路段,非主線資料,竹山,進口,9125,10521,7137,
111年,國3北向路段,非主線資料,名間,進口,10048,8874,8011,
111年,國3北向路段,非主線資料,南投服務區,進口,3213,3425,2403,
111年,國3北向路段,非主線資料,南投,進口,10295,9703,11385,
111年,國3北向路段,非主線資料,中興,進口,9684,10169,11741,
111年,國3北向路段,非主線資料,中興系統,進口,14687,15193,11777,
111年,國3北向路段,非主線資料,草屯,進口,7153,6588,7125,
111年,國3北向路段,非主線資料,霧峰系統,進口,19806,21414,15714,
111年,國3北向路段,非主線資料,霧峰,進口,13310,13388,15395,
111年,國3北向路段,非主線資料,中投,進口,8544,7873,9013,
111年,國3北向路段,非主線資料,烏日,進口,3831,2889,6517,
111年,國3北向路段,非主線資料,快官,進口,13450,13421,13720,
111年,國3北向路段,非主線資料,彰化系統,進口,22090,25035,18877,
111年,國3北向路段,非主線資料,和美,進口,5376,5796,5730,
111年,國3北向路段,非主線資料,龍井,進口,9155,9093,9769,
111年,國3北向路段,非主線資料,沙鹿,進口,8099,7905,8105,
111年,國3北向路段,非主線資料,清水服務區,進口,1340,1912,877,
111年,國3北向路段,非主線資料,中港系統,進口,14903,15612,13810,
111年,國3北向路段,非主線資料,大甲,進口,3103,3376,2736,
111年,國3北向路段,非主線資料,苑裡,進口,2813,3396,2911,
111年,國3北向路段,非主線資料,通霄,進口,4110,4360,3193,
111年,國3北向路段,非主線資料,西湖服務區,進口,330,526,342,
111年,國3北向路段,非主線資料,後龍,進口,3789,4066,3471,
111年,國3北向路段,非主線資料,大山,進口,2724,3011,2911,
111年,國3北向路段,非主線資料,竹南,進口,4579,4599,5010,
111年,國3北向路段,非主線資料,西濱,進口,6573,6499,7049,
111年,國3北向路段,非主線資料,香山,進口,7695,7646,13284,
111年,國3北向路段,非主線資料,茄苳,進口,9544,8724,10099,
111年,國3北向路段,非主線資料,新竹系統,進口,20348,24510,16953,
111年,國3北向路段,非主線資料,寶山,進口,3625,3570,5538,
111年,國3北向路段,非主線資料,竹林,進口,14409,13155,11475,
111年,國3北向路段,非主線資料,關西,進口,4147,4710,3491,
111年,國3北向路段,非主線資料,關西服務區,進口,1074,2056,854,
111年,國3北向路段,非主線資料,高原,進口,5759,6139,6462,
111年,國3北向路段,非主線資料,龍潭,進口,12314,11947,13944,
111年,國3北向路段,非主線資料,大溪,進口,21891,19222,24132,
111年,國3北向路段,非主線資料,鶯歌系統,進口,38083,34696,41378,
111年,國3北向路段,非主線資料,三鶯,進口,12874,12899,13274,
111年,國3北向路段,非主線資料,樹林,進口,15780,13997,16262,
111年,國3北向路段,非主線資料,土城,進口,13659,10899,16859,
111年,國3北向路段,非主線資料,中和,進口,19880,18975,21531,
111年,國3北向路段,非主線資料,安坑,進口,10757,8769,11835,
111年,國3北向路段,非主線資料,新店,進口,9240,8012,10901,
111年,國3北向路段,非主線資料,木柵,進口,14894,13952,17068,
111年,國3北向路段,非主線資料,南港系統,進口,19208,21467,17020,
111年,國3北向路段,非主線資料,南港,進口,6295,4891,7242,
111年,國3北向路段,非主線資料,新台五路,進口,8235,7058,11607,
111年,國3北向路段,非主線資料,汐止系統,進口,12271,10654,11077,
111年,國3北向路段,非主線資料,瑪東系統,進口,2910,2722,4085,
111年,國5北向路段,非主線資料,蘇澳,進口,11110,9788,10663,
111年,國5北向路段,非主線資料,羅東,進口,13701,9184,11978,
111年,國5北向路段,非主線資料,宜蘭,進口,10621,8230,9653,
111年,國5北向路段,非主線資料,頭城,進口,10112,13830,8411,
111年,國5北向路段,非主線資料,坪林,進口,2340,6551,1660,
111年,國5北向路段,非主線資料,石碇,進口,3523,3977,3253,
111年,國1高架北向路段,非主線資料,楊梅端,進口,42005,45445,37253,
111年,國1高架北向路段,非主線資料,中壢轉接道,進口,18607,18257,18418,
111年,國1高架北向路段,非主線資料,機場系統,進口,15965,15363,16784,
111年,國1高架北向路段,非主線資料,五股,進口,49770,45401,53519,
111年,國1高架北向路段,非主線資料,堤頂,進口,12349,9099,13182,
111年,國3甲西向路段,非主線資料,木柵,進口,31417,30649,34839,
111年,國3甲西向路段,非主線資料,萬芳,進口,7489,6591,7252,
111年,國2西向路段,非主線資料,鶯歌系統,進口,56996,54734,61563,
111年,國2西向路段,非主線資料,大湳,進口,21148,18139,21150,
111年,國2西向路段,非主線資料,南桃園,進口,34869,32289,33527,
111年,國2西向路段,非主線資料,機場系統,進口,35558,32789,38678,
111年,國2西向路段,非主線資料,大竹,進口,3945,3261,4770,
111年,國2西向路段,非主線資料,大園,進口,3716,3379,5606,
111年,國4西向路段,非主線資料,后豐,進口,10604,9726,11632,
111年,國4西向路段,非主線資料,台中系統,進口,20143,18756,20061,
111年,國4西向路段,非主線資料,神岡,進口,3525,3080,4184,
111年,國4西向路段,非主線資料,中港系統,進口,6083,5652,6194,
111年,國6西向路段,非主線資料,埔里端,進口,4018,6359,2542,
111年,國6西向路段,非主線資料,埔里,進口,5458,7325,4034,
111年,國6西向路段,非主線資料,愛蘭,進口,11736,13243,7820,
111年,國6西向路段,非主線資料,北山,進口,964,2194,709,
111年,國6西向路段,非主線資料,國姓,進口,3171,4407,2447,
111年,國6西向路段,非主線資料,東草屯,進口,4788,4095,4123,
111年,國6西向路段,非主線資料,舊正,進口,3167,2548,3500,
111年,國8西向路段,非主線資料,新化端,進口,6410,8435,6952,
111年,國8西向路段,非主線資料,新化系統,進口,19297,21979,15711,
111年,國8西向路段,非主線資料,新市,進口,10220,7734,13516,
111年,國8西向路段,非主線資料,台南系統,進口,13525,12895,14994,
111年,國10西向路段,非主線資料,旗山端,進口,16100,19727,11524,
111年,國10西向路段,非主線資料,里港,進口,4402,3732,4311,
111年,國10西向路段,非主線資料,嶺口,進口,5132,4914,4018,
111年,國10西向路段,非主線資料,燕巢系統,進口,21755,24664,18971,
111年,國10西向路段,非主線資料,燕巢,進口,4255,3198,5450,
111年,國10西向路段,非主線資料,仁武,進口,15072,12691,17503,
111年,國10西向路段,非主線資料,鼎金系統,進口,31964,31909,31763,
112年,國1南向路段,非主線資料,基隆端,進口,31654,28722,,27243.0
112年,國1南向路段,非主線資料,基隆,進口,6626,5942,,7081.0
112年,國1南向路段,非主線資料,八堵,進口,9294,10065,,7868.0
112年,國1南向路段,非主線資料,大華系統,進口,25593,23354,,21401.0
112年,國1南向路段,非主線資料,五堵,進口,7452,6124,,9015.0
112年,國1南向路段,非主線資料,汐止&汐止系統,進口,18027,17674,,19764.0
112年,國1南向路段,非主線資料,東湖,進口,18896,16604,,18472.0
112年,國1南向路段,非主線資料,內湖,進口,15468,12681,,19061.0
112年,國1南向路段,非主線資料,圓山,進口,62056,55740,,62059.0
112年,國1南向路段,非主線資料,台北,進口,20624,17607,,20343.0
112年,國1南向路段,非主線資料,三重,進口,14232,12717,,11840.0
112年,國1南向路段,非主線資料,五股,進口,31001,28991,,27698.0
112年,國1南向路段,非主線資料,高公局,進口,269,211,,345.0
112年,國1南向路段,非主線資料,林口,進口,37118,29878,,43796.0
112年,國1南向路段,非主線資料,桃園,進口,37815,32725,,39107.0
112年,國1南向路段,非主線資料,機場系統,進口,24139,22143,,24993.0
112年,國1南向路段,非主線資料,中壢服務區,進口,3478,2783,,3863.0
112年,國1南向路段,非主線資料,內壢,進口,18847,16370,,20200.0
112年,國1南向路段,非主線資料,中壢,進口,8504,7296,,7493.0
112年,國1南向路段,非主線資料,平鎮系統,進口,18097,16377,,19481.0
112年,國1南向路段,非主線資料,幼獅,進口,2924,2171,,4318.0
112年,國1南向路段,非主線資料,楊梅,進口,5080,4539,,6597.0
112年,國1南向路段,非主線資料,高架楊梅端,進口,36743,32539,,30557.0
112年,國1南向路段,非主線資料,湖口,進口,14694,14288,,21233.0
112年,國1南向路段,非主線資料,竹北,進口,18903,14933,,22361.0
112年,國1南向路段,非主線資料,新竹,進口,26326,19632,,28867.0
112年,國1南向路段,非主線資料,新竹系統,進口,20831,16664,,13292.0
112年,國1南向路段,非主線資料,頭份,進口,7396,6718,,6198.0
112年,國1南向路段,非主線資料,頭屋,進口,1051,1026,,940.0
112年,國1南向路段,非主線資料,苗栗,進口,6331,6208,,5783.0
112年,國1南向路段,非主線資料,銅鑼,進口,3656,4261,,3780.0
112年,國1南向路段,非主線資料,三義,進口,4188,4273,,3249.0
112年,國1南向路段,非主線資料,后里,進口,10802,9714,,11052.0
112年,國1南向路段,非主線資料,台中系統,進口,23939,21907,,24656.0
112年,國1南向路段,非主線資料,豐原,進口,10756,9056,,13222.0
112年,國1南向路段,非主線資料,大雅,進口,10689,8491,,12027.0
112年,國1南向路段,非主線資料,台中,進口,19557,17627,,17129.0
112年,國1南向路段,非主線資料,南屯,進口,13609,11620,,13116.0
112年,國1南向路段,非主線資料,王田,進口,7769,7018,,8189.0
112年,國1南向路段,非主線資料,彰化系統,進口,35760,30522,,30093.0
112年,國1南向路段,非主線資料,彰化,進口,14726,13306,,14793.0
112年,國1南向路段,非主線資料,埔鹽系統,進口,11428,10952,,11066.0
112年,國1南向路段,非主線資料,員林,進口,3191,2998,,2717.0
112年,國1南向路段,非主線資料,北斗,進口,4118,4108,,3517.0
112年,國1南向路段,非主線資料,西螺,進口,6292,5833,,5845.0
112年,國1南向路段,非主線資料,虎尾,進口,2802,2708,,2692.0
112年,國1南向路段,非主線資料,斗南,進口,6049,5029,,6469.0
112年,國1南向路段,非主線資料,雲林系統,進口,9090,8301,,7838.0
112年,國1南向路段,非主線資料,大林,進口,2589,2372,,2893.0
112年,國1南向路段,非主線資料,民雄,進口,5942,5328,,5371.0
112年,國1南向路段,非主線資料,嘉義,進口,8128,7836,,7201.0
112年,國1南向路段,非主線資料,水上,進口,2245,2442,,1941.0
112年,國1南向路段,非主線資料,嘉義系統,進口,8366,9083,,6844.0
112年,國1南向路段,非主線資料,新營服務區,進口,1027,954,,1096.0
112年,國1南向路段,非主線資料,新營,進口,11154,10292,,11821.0
112年,國1南向路段,非主線資料,下營系統,進口,9628,9695,,8194.0
112年,國1南向路段,非主線資料,麻豆,進口,9362,8427,,9631.0
112年,國1南向路段,非主線資料,安定,進口,5860,4846,,8793.0
112年,國1南向路段,非主線資料,台南系統,進口,23099,21672,,24342.0
112年,國1南向路段,非主線資料,永康,進口,15154,13042,,16641.0
112年,國1南向路段,非主線資料,仁德,進口,22524,21307,,20075.0
112年,國1南向路段,非主線資料,仁德系統,進口,17310,15718,,16550.0
112年,國1南向路段,非主線資料,路竹,進口,7152,6689,,7579.0
112年,國1南向路段,非主線資料,高科,進口,6255,4690,,9267.0
112年,國1南向路段,非主線資料,岡山,進口,17044,14069,,18925.0
112年,國1南向路段,非主線資料,楠梓,進口,26024,21614,,27408.0
112年,國1南向路段,非主線資料,鼎金系統,進口,52006,49776,,51200.0
112年,國1南向路段,非主線資料,中正路,進口,26448,23178,,25213.0
112年,國1南向路段,非主線資料,五甲,進口,11060,9649,,11811.0
112年,國3南向路段,非主線資料,基金,進口,20879,20997,,22255.0
112年,國3南向路段,非主線資料,瑪東系統,進口,2425,3736,,3532.0
112年,國3南向路段,非主線資料,汐止系統,進口,32302,29408,,32892.0
112年,國3南向路段,非主線資料,新台五路,進口,14561,12330,,18250.0
112年,國3南向路段,非主線資料,南港,進口,15132,13596,,20424.0
112年,國3南向路段,非主線資料,南港系統,進口,16175,18742,,12499.0
112年,國3南向路段,非主線資料,木柵,進口,15172,13498,,14739.0
112年,國3南向路段,非主線資料,新店,進口,10905,9145,,11551.0
112年,國3南向路段,非主線資料,安坑,進口,31404,27632,,29958.0
112年,國3南向路段,非主線資料,中和,進口,38496,34070,,36424.0
112年,國3南向路段,非主線資料,土城,進口,39288,35511,,38555.0
112年,國3南向路段,非主線資料,三鶯,進口,17684,16210,,18105.0
112年,國3南向路段,非主線資料,鶯歌系統,進口,22834,19538,,22950.0
112年,國3南向路段,非主線資料,大溪,進口,11479,9192,,9011.0
112年,國3南向路段,非主線資料,龍潭,進口,6568,5400,,6114.0
112年,國3南向路段,非主線資料,高原,進口,3187,2987,,3056.0
112年,國3南向路段,非主線資料,關西服務區,進口,997,900,,741.0
112年,國3南向路段,非主線資料,關西,進口,3137,2890,,2861.0
112年,國3南向路段,非主線資料,竹林,進口,7106,5922,,7680.0
112年,國3南向路段,非主線資料,寶山,進口,5860,4439,,9783.0
112年,國3南向路段,非主線資料,新竹系統,進口,32260,25740,,31320.0
112年,國3南向路段,非主線資料,茄苳,進口,6599,5139,,5290.0
112年,國3南向路段,非主線資料,香山,進口,4772,3398,,5263.0
112年,國3南向路段,非主線資料,竹南,進口,5272,4436,,4186.0
112年,國3南向路段,非主線資料,大山,進口,966,926,,884.0
112年,國3南向路段,非主線資料,後龍,進口,3374,3714,,3124.0
112年,國3南向路段,非主線資料,西湖服務區,進口,664,524,,565.0
112年,國3南向路段,非主線資料,通霄,進口,3209,3490,,2352.0
112年,國3南向路段,非主線資料,苑裡,進口,8263,7735,,8664.0
112年,國3南向路段,非主線資料,大甲,進口,10642,9684,,10020.0
112年,國3南向路段,非主線資料,中港系統,進口,7269,6482,,7795.0
112年,國3南向路段,非主線資料,清水服務區,進口,1324,1164,,827.0
112年,國3南向路段,非主線資料,沙鹿,進口,9044,7876,,9207.0
112年,國3南向路段,非主線資料,龍井,進口,11165,9862,,11251.0
112年,國3南向路段,非主線資料,和美,進口,13248,12146,,15346.0
112年,國3南向路段,非主線資料,彰化系統,進口,14423,11404,,13480.0
112年,國3南向路段,非主線資料,快官,進口,24012,20792,,23703.0
112年,國3南向路段,非主線資料,烏日,進口,5177,3756,,6006.0
112年,國3南向路段,非主線資料,中投,進口,10258,8660,,8913.0
112年,國3南向路段,非主線資料,霧峰,進口,38185,35406,,30639.0
112年,國3南向路段,非主線資料,霧峰系統,進口,6130,7390,,5111.0
112年,國3南向路段,非主線資料,草屯,進口,3962,3046,,3284.0
112年,國3南向路段,非主線資料,中興系統,進口,6418,5877,,5201.0
112年,國3南向路段,非主線資料,中興,進口,5033,4385,,4780.0
112年,國3南向路段,非主線資料,南投,進口,2726,2543,,2721.0
112年,國3南向路段,非主線資料,南投服務區,進口,1361,1448,,1116.0
112年,國3南向路段,非主線資料,名間,進口,2110,2091,,1857.0
112年,國3南向路段,非主線資料,竹山,進口,3518,4596,,2366.0
112年,國3南向路段,非主線資料,南雲,進口,2319,2475,,1936.0
112年,國3南向路段,非主線資料,斗六,進口,4240,4140,,4136.0
112年,國3南向路段,非主線資料,古坑(北)&古坑系統,進口,4244,4109,,3013.0
112年,國3南向路段,非主線資料,古坑(南),進口,1626,1658,,1108.0
112年,國3南向路段,非主線資料,古坑服務區,進口,348,384,,272.0
112年,國3南向路段,非主線資料,梅山,進口,5245,5099,,4831.0
112年,國3南向路段,非主線資料,竹崎,進口,6474,6426,,6073.0
112年,國3南向路段,非主線資料,中埔,進口,8069,9346,,5504.0
112年,國3南向路段,非主線資料,水上系統,進口,3024,3407,,2526.0
112年,國3南向路段,非主線資料,白河,進口,3436,4279,,2276.0
112年,國3南向路段,非主線資料,東山服務區,進口,1088,1402,,687.0
112年,國3南向路段,非主線資料,柳營,進口,2985,2894,,3087.0
112年,國3南向路段,非主線資料,烏山頭,進口,3391,3517,,3142.0
112年,國3南向路段,非主線資料,官田系統,進口,7975,8286,,6419.0
112年,國3南向路段,非主線資料,善化,進口,5212,4449,,4940.0
112年,國3南向路段,非主線資料,新化系統,進口,10404,8892,,9845.0
112年,國3南向路段,非主線資料,關廟,進口,9462,8792,,6360.0
112年,國3南向路段,非主線資料,關廟服務區,進口,328,264,,290.0
112年,國3南向路段,非主線資料,田寮,進口,3359,3336,,2950.0
112年,國3南向路段,非主線資料,燕巢系統,進口,13780,12186,,13038.0
112年,國3南向路段,非主線資料,九如,進口,2930,2632,,2659.0
112年,國3南向路段,非主線資料,長治,進口,4851,4309,,4484.0
112年,國3南向路段,非主線資料,麟洛,進口,8438,7575,,7968.0
112年,國3南向路段,非主線資料,竹田系統,進口,15999,13631,,10951.0
112年,國3南向路段,非主線資料,南州,進口,463,425,,394.0
112年,國5南向路段,非主線資料,南港系統,進口,38076,31358,,27055.0
112年,國5南向路段,非主線資料,石碇,進口,5058,3336,,4452.0
112年,國5南向路段,非主線資料,坪林交控專用道,進口,867,384,,412.0
112年,國5南向路段,非主線資料,頭城,進口,5188,2529,,4559.0
112年,國5南向路段,非主線資料,宜蘭(壯圍),進口,6567,5719,,6278.0
112年,國5南向路段,非主線資料,羅東,進口,3132,2854,,3265.0
112年,國1高架南向路段,非主線資料,汐止端,進口,32902,32244,,30992.0
112年,國1高架南向路段,非主線資料,堤頂,進口,21437,17225,,25694.0
112年,國1高架南向路段,非主線資料,環北,進口,24218,22020,,23246.0
112年,國1高架南向路段,非主線資料,泰山轉接道,進口,37549,34800,,32949.0
112年,國1高架南向路段,非主線資料,機場系統,進口,6396,6018,,7228.0
112年,國1高架南向路段,非主線資料,中壢轉接道,進口,14585,12150,,15408.0
112年,國3甲東向路段,非主線資料,台北端,進口,22820,18925,,23306.0
112年,國3甲東向路段,非主線資料,萬芳,進口,16460,14275,,16522.0
112年,國2東向路段,非主線資料,機場端,進口,33720,34488,,35871.0
112年,國2東向路段,非主線資料,大園,進口,25121,21387,,30404.0
112年,國2東向路段,非主線資料,大竹,進口,39004,35111,,42180.0
112年,國2東向路段,非主線資料,機場系統,進口,46027,41780,,47025.0
112年,國2東向路段,非主線資料,南桃園,進口,18187,15298,,18991.0
112年,國2東向路段,非主線資料,大湳,進口,22797,20033,,23524.0
