資料期別,縣市,鄉鎮市區,住宅拍賣移轉筆數
107Q2,屏東縣,枋山鄉,1
107Q2,屏東縣,三地門鄉,1
107Q2,屏東縣,泰武鄉,1
107Q2,屏東縣,春日鄉,1
107Q2,台東縣,,4
107Q2,台東縣,卑南鄉,1
107Q2,台東縣,大武鄉,1
107Q2,台東縣,太麻里鄉,1
107Q2,台東縣,長濱鄉,1
107Q2,花蓮縣,,21
107Q2,花蓮縣,花蓮市,10
107Q2,花蓮縣,玉里鎮,2
107Q2,花蓮縣,新城鄉,1
107Q2,花蓮縣,吉安鄉,4
107Q2,花蓮縣,壽豐鄉,1
107Q2,花蓮縣,光復鄉,1
107Q2,花蓮縣,秀林鄉,2
107Q2,澎湖縣,,2
107Q2,澎湖縣,馬公市,1
107Q2,澎湖縣,西嶼鄉,1
107Q2,基隆市,,26
107Q2,基隆市,中正區,7
107Q2,基隆市,仁愛區,6
107Q2,基隆市,中山區,2
107Q2,基隆市,安樂區,5
107Q2,基隆市,信義區,6
107Q2,新竹市,,18
107Q2,新竹市,新竹市,18
107Q2,嘉義市,,8
107Q2,嘉義市,嘉義市,8
107Q3,全國,,997
107Q3,新北市,,181
107Q3,新北市,板橋區,24
107Q3,新北市,三重區,23
107Q3,新北市,中和區,19
107Q3,新北市,永和區,9
107Q3,新北市,新莊區,16
107Q3,新北市,新店區,15
107Q3,新北市,樹林區,5
107Q3,新北市,鶯歌區,2
107Q3,新北市,三峽區,2
107Q3,新北市,淡水區,9
107Q3,新北市,汐止區,9
107Q3,新北市,瑞芳區,2
107Q3,新北市,土城區,16
107Q3,新北市,蘆洲區,15
107Q3,新北市,五股區,1
107Q3,新北市,林口區,7
107Q3,新北市,三芝區,3
107Q3,新北市,八里區,2
107Q3,新北市,金山區,1
107Q3,新北市,萬里區,1
107Q3,台北市,,130
107Q3,台北市,松山區,9
107Q3,台北市,信義區,13
107Q3,台北市,大安區,13
107Q3,台北市,中山區,13
107Q3,台北市,中正區,6
107Q3,台北市,大同區,2
107Q3,台北市,萬華區,4
107Q3,台北市,文山區,15
107Q3,台北市,南港區,3
107Q3,台北市,內湖區,12
107Q3,台北市,士林區,10
107Q3,台北市,北投區,30
