年,月,縣市,行政區,店面數,土地面積,超商密度,年月
2018,3,新北市,萬里區,2,63.3766,0.031557,201803
2018,3,新北市,樹林區,46,33.1288,1.38852,201803
2018,3,新北市,蘆洲區,58,7.4351,7.800836,201803
2018,3,新北市,鶯歌區,17,21.1248,0.804741,201803
2018,3,新竹市,北區,39,15.7267,2.479859,201803
2018,3,新竹市,東區,75,33.5768,2.233685,201803
2018,3,新竹市,香山區,23,54.8491,0.419332,201803
2018,3,新竹縣,北埔鄉,1,50.6676,0.019736,201803
2018,3,新竹縣,尖石鄉,1,527.5795,0.001895,201803
2018,3,新竹縣,竹北市,79,46.8341,1.686805,201803
2018,3,新竹縣,竹東鎮,24,53.5133,0.448487,201803
2018,3,新竹縣,芎林鄉,5,40.7858,0.122592,201803
2018,3,新竹縣,湖口鄉,33,58.4303,0.564775,201803
2018,3,新竹縣,新埔鎮,14,72.1911,0.19393,201803
2018,3,新竹縣,新豐鄉,16,46.3496,0.345203,201803
2018,3,新竹縣,橫山鄉,2,66.3502,0.030143,201803
2018,3,新竹縣,關西鎮,5,125.5193,0.039835,201803
2018,3,新竹縣,寶山鄉,3,64.7871,0.046306,201803
2018,3,嘉義市,西區,34,29.87,1.138266,201803
2018,3,嘉義市,東區,30,30.1556,0.99484,201803
2018,3,嘉義縣,大林鎮,9,64.1663,0.140261,201803
2018,3,嘉義縣,大埔鄉,1,173.2472,0.005772,201803
2018,3,嘉義縣,中埔鄉,8,129.5016,0.061775,201803
2018,3,嘉義縣,六腳鄉,2,62.2619,0.032122,201803
2018,3,嘉義縣,太保市,4,66.8964,0.059794,201803
2018,3,嘉義縣,水上鄉,7,69.1198,0.101273,201803
2018,3,嘉義縣,布袋鎮,6,61.7307,0.097196,201803
2018,3,嘉義縣,民雄鄉,13,85.4969,0.152052,201803
