年月,年, 月,家用產品,銷售額(千元)
2021年2月,2021,2,排油煙機,187970
2021年2月,2021,2,熱水器,337404
2021年2月,2021,2,瓦斯爐,138847
2021年2月,2021,2,其他家用電器及零組件,1067227
2021年3月,2021,3,家用電扇,508078
2021年3月,2021,3,電冰箱,319462
2021年3月,2021,3,排油煙機,245442
2021年3月,2021,3,熱水器,441188
2021年3月,2021,3,瓦斯爐,236792
2021年3月,2021,3,其他家用電器及零組件,1390923
2021年4月,2021,4,家用電扇,487478
2021年4月,2021,4,電冰箱,480158
2021年4月,2021,4,排油煙機,238464
2021年4月,2021,4,熱水器,398997
2021年4月,2021,4,瓦斯爐,240813
2021年4月,2021,4,其他家用電器及零組件,1212333
2021年5月,2021,5,家用電扇,589342
2021年5月,2021,5,電冰箱,528997
2021年5月,2021,5,排油煙機,252226
2021年5月,2021,5,熱水器,365508
2021年5月,2021,5,瓦斯爐,230222
2021年5月,2021,5,其他家用電器及零組件,1288104
2021年6月,2021,6,家用電扇,477819
2021年6月,2021,6,電冰箱,550354
2021年6月,2021,6,排油煙機,222717
2021年6月,2021,6,熱水器,287472
2021年6月,2021,6,瓦斯爐,218545
2021年6月,2021,6,其他家用電器及零組件,1192993
2021年7月,2021,7,家用電扇,459068
2021年7月,2021,7,電冰箱,567746
2021年7月,2021,7,排油煙機,246888
2021年7月,2021,7,熱水器,275106
2021年7月,2021,7,瓦斯爐,180982
2021年7月,2021,7,其他家用電器及零組件,1335101
2021年8月,2021,8,家用電扇,391455
2021年8月,2021,8,電冰箱,467701
2021年8月,2021,8,排油煙機,272565
2021年8月,2021,8,熱水器,290002
2021年8月,2021,8,瓦斯爐,254045
2021年8月,2021,8,其他家用電器及零組件,1231719
2021年9月,2021,9,家用電扇,437218
2021年9月,2021,9,電冰箱,407337
2021年9月,2021,9,排油煙機,277061
2021年9月,2021,9,熱水器,255376
2021年9月,2021,9,瓦斯爐,245522
2021年9月,2021,9,其他家用電器及零組件,1300213
2021年10月,2021,10,家用電扇,440862
2021年10月,2021,10,電冰箱,503936
2021年10月,2021,10,排油煙機,278564
2021年10月,2021,10,熱水器,315506
2021年10月,2021,10,瓦斯爐,257866
2021年10月,2021,10,其他家用電器及零組件,1347349
2021年11月,2021,11,家用電扇,384222
2021年11月,2021,11,電冰箱,523219
2021年11月,2021,11,排油煙機,308660
2021年11月,2021,11,熱水器,359027
2021年11月,2021,11,瓦斯爐,271034
2021年11月,2021,11,其他家用電器及零組件,1342679
2021年12月,2021,12,家用電扇,480882
2021年12月,2021,12,電冰箱,603675
2021年12月,2021,12,排油煙機,315607
2021年12月,2021,12,熱水器,422883
2021年12月,2021,12,瓦斯爐,280511
2021年12月,2021,12,其他家用電器及零組件,1422783
2022年1月,2022,1,家用電扇,535908
2022年1月,2022,1,電冰箱,627617
2022年1月,2022,1,排油煙機,343152
2022年1月,2022,1,熱水器,466361
2022年1月,2022,1,瓦斯爐,327174
2022年1月,2022,1,其他家用電器及零組件,1335469
2022年2月,2022,2,家用電扇,319374
2022年2月,2022,2,電冰箱,355448
2022年2月,2022,2,排油煙機,232410
2022年2月,2022,2,熱水器,312148
2022年2月,2022,2,瓦斯爐,175050
2022年2月,2022,2,其他家用電器及零組件,868199
2022年3月,2022,3,家用電扇,643627
2022年3月,2022,3,電冰箱,445981
2022年3月,2022,3,排油煙機,301191
2022年3月,2022,3,熱水器,479065
2022年3月,2022,3,瓦斯爐,279182
2022年3月,2022,3,其他家用電器及零組件,1159713
2022年4月,2022,4,家用電扇,591224
2022年4月,2022,4,電冰箱,525638
2022年4月,2022,4,排油煙機,266122
2022年4月,2022,4,熱水器,379993
2022年4月,2022,4,瓦斯爐,238091
2022年4月,2022,4,其他家用電器及零組件,1049226
2022年5月,2022,5,家用電扇,616764
2022年5月,2022,5,電冰箱,469690
2022年5月,2022,5,排油煙機,281835
2022年5月,2022,5,熱水器,330998
2022年5月,2022,5,瓦斯爐,219812
2022年5月,2022,5,其他家用電器及零組件,1134844
2022年6月,2022,6,家用電扇,591629
2022年6月,2022,6,電冰箱,576402
2022年6月,2022,6,排油煙機,270109
2022年6月,2022,6,熱水器,356953
2022年6月,2022,6,瓦斯爐,216629
2022年6月,2022,6,其他家用電器及零組件,1093554
2022年7月,2022,7,家用電扇,618065
2022年7月,2022,7,電冰箱,629932
2022年7月,2022,7,排油煙機,328568
2022年7月,2022,7,熱水器,305407
2022年7月,2022,7,瓦斯爐,236408
2022年7月,2022,7,其他家用電器及零組件,970334
2022年8月,2022,8,家用電扇,609008
2022年8月,2022,8,電冰箱,581633
2022年8月,2022,8,排油煙機,333859
2022年8月,2022,8,熱水器,282838
2022年8月,2022,8,瓦斯爐,196398
2022年8月,2022,8,其他家用電器及零組件,930021
2022年9月,2022,9,家用電扇,490360
2022年9月,2022,9,電冰箱,453933
2022年9月,2022,9,排油煙機,308307
2022年9月,2022,9,熱水器,287662
2022年9月,2022,9,瓦斯爐,269391
2022年9月,2022,9,其他家用電器及零組件,962846
2022年10月,2022,10,家用電扇,496442
2022年10月,2022,10,電冰箱,549790
2022年10月,2022,10,排油煙機,295193
2022年10月,2022,10,熱水器,309879
2022年10月,2022,10,瓦斯爐,229608
2022年10月,2022,10,其他家用電器及零組件,1089224
2022年11月,2022,11,家用電扇,495681
2022年11月,2022,11,電冰箱,529562
2022年11月,2022,11,排油煙機,319443
2022年11月,2022,11,熱水器,336736
