年,月,縣市,行政區,店面數,土地面積,超商密度
2018,1,新北市,蘆洲區,57,7.4351,7.666339
2018,1,新北市,鶯歌區,17,21.1248,0.804741
2018,1,新竹市,北區,39,15.7267,2.479859
2018,1,新竹市,東區,75,33.5768,2.233685
2018,1,新竹市,香山區,23,54.8491,0.419332
2018,1,新竹縣,北埔鄉,1,50.6676,0.019736
2018,1,新竹縣,尖石鄉,1,527.5795,0.001895
2018,1,新竹縣,竹北市,74,46.8341,1.580045
2018,1,新竹縣,竹東鎮,24,53.5133,0.448487
2018,1,新竹縣,芎林鄉,5,40.7858,0.122592
2018,1,新竹縣,湖口鄉,33,58.4303,0.564775
2018,1,新竹縣,新埔鎮,14,72.1911,0.19393
2018,1,新竹縣,新豐鄉,16,46.3496,0.345203
2018,1,新竹縣,橫山鄉,2,66.3502,0.030143
2018,1,新竹縣,關西鎮,5,125.5193,0.039835
2018,1,新竹縣,寶山鄉,3,64.7871,0.046306
2018,1,嘉義市,西區,33,29.87,1.104787
2018,1,嘉義市,東區,29,30.1556,0.961679
2018,1,嘉義縣,大林鎮,9,64.1663,0.140261
2018,1,嘉義縣,大埔鄉,1,173.2472,0.005772
2018,1,嘉義縣,中埔鄉,8,129.5016,0.061775
2018,1,嘉義縣,六腳鄉,1,62.2619,0.016061
2018,1,嘉義縣,太保市,4,66.8964,0.059794
2018,1,嘉義縣,水上鄉,7,69.1198,0.101273
2018,1,嘉義縣,布袋鎮,6,61.7307,0.097196
2018,1,嘉義縣,民雄鄉,13,85.4969,0.152052
2018,1,嘉義縣,朴子市,9,49.5737,0.181548
2018,1,嘉義縣,竹崎鄉,1,162.2256,0.006164
2018,1,嘉義縣,東石鄉,2,81.5821,0.024515
2018,1,嘉義縣,梅山鄉,3,119.7571,0.025051
2018,1,嘉義縣,鹿草鄉,1,54.3151,0.018411
2018,1,嘉義縣,番路鄉,1,117.5269,0.008509
2018,1,嘉義縣,新港鄉,4,66.0495,0.060561
2018,1,嘉義縣,義竹鄉,2,79.2925,0.025223
2018,1,彰化縣,二水鄉,1,29.4449,0.033962
2018,1,彰化縣,二林鎮,10,92.8478,0.107703
2018,1,彰化縣,大村鄉,5,30.7837,0.162424
2018,1,彰化縣,大城鄉,2,63.7406,0.031377
2018,1,彰化縣,北斗鎮,4,19.2547,0.207741
2018,1,彰化縣,永靖鄉,6,20.6382,0.290723
2018,1,彰化縣,田中鎮,9,34.6056,0.260074
2018,1,彰化縣,竹塘鄉,2,42.1662,0.047431
