項目別, ,營業額 (千元),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,營業額指數 (110年=100),Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31, .1
 , ,百貨公司業,超級市場業,便利商店業,零售式量販業,其他綜合商品零售業,食品、飲料及菸草製品零售業,文教育樂用品零售業,燃料及相關產品零售業,資通訊及家電設備零售業,汽機車及其零配件、用品零售業,電子購物及郵購業,餐飲業,,,,百貨公司業,超級市場業,便利商店業,零售式量販業,其他綜合商品零售業,食品、飲料及菸草製品零售業,文教育樂用品零售業,燃料及相關產品零售業,資通訊及家電設備零售業,汽機車及其零配件、用品零售業,電子購物及郵購業,餐飲業,,,, 
 , , , , , , , , , , , , , ,餐館,外燴及團膳承包業,飲料店, , , , , , , , , , , , ,餐館,外燴及團膳承包業,飲料店, 
110年,12月,37526834,19040166,29018517,19914884,9635357,24919508,7032243,23642761,22969217,60300878,36047379,73939181,58896737,3708977,11333467,128.79,95.9,99.4,99.77,105.71,110.38,108.09,110.99,97.37,99.46,106,124.88,124.49,129.92,125.32, 
111年,1月,33485182,21600066,32361982,26100924,9377264,30121288,7272685,23426938,26823895,71386056,37770709,72875456,59236816,3238024,10400616,114.97,108.85,110.9,130.82,102.93,133.49,111.84,110.03,113.76,117.8,111.12,121.23,123.32,111.71,113.27, 
111年,2月,31610133,17810548,26706566,17282006,8298878,20954220,7061834,20674747,21525652,48479555,31928755,68733144,57281245,2276259,9175640,108.32,89.58,91.34,86.45,90.91,92.68,108.39,96.91,91.11,79.84,93.75,113.25,118.12,77.78,98.98, 
111年,3月,29623471,18036771,29790314,18190841,9041498,22434499,6819777,24789822,24550874,64550129,35025307,67123423,54067401,3119998,9936024,100.81,90.08,101.18,90.36,98.36,98.54,103.94,115.39,103.2,105.57,102.13,110.08,110.97,106.11,106.68, 
111年,4月,30671287,20093608,30016712,18886617,9479917,22661681,6688988,23076735,24723455,64157514,33986972,59796647,47650583,3221103,8924961,103.11,99.15,100.72,92.69,101.88,98.34,100.72,106.12,102.67,103.66,97.9,97.62,97.35,109.05,95.39, 
111年,5月,22865553,21644158,30163986,19181859,8830462,21481546,5777442,21425387,25222415,56716312,36561212,55473842,44264983,2711098,8497761,76.56,106.37,100.81,93.76,94.52,92.84,86.64,98.13,104.32,91.27,104.89,90.28,90.15,91.5,90.54, 
111年,6月,24487920,20159588,30776906,19342405,9136342,20776972,6447886,22312298,23729009,56224917,37256253,59684695,47498431,3010049,9176215,81.56,98.55,102.31,94.04,97.28,89.32,96.19,101.66,97.63,90,106.33,96.95,96.56,101.4,97.58, 
111年,7月,31577647,20930580,33420947,21289539,10037937,22667444,7448014,24674333,24660266,65647987,33969789,72659185,59808375,2669830,10180980,105.43,102.56,111.37,103.76,107.14,97.68,111.38,112.69,101.7,105.34,97.18,117.61,121.16,89.62,107.89, 
111年,8月,30680281,22254728,33016691,21467091,10840518,25939580,7258425,24350656,23548586,62589851,34920139,75484410,61276264,2824388,11383758,102.72,109.36,110.33,104.92,116.02,112.1,108.84,111.52,97.39,100.71,100.18,121.83,123.77,94.54,120.28, 
111年,9月,32266355,19589708,31320047,20345186,10278043,23069569,6585750,22832690,24351785,65146911,33853002,69450875,55729434,3725161,9996280,107.8,96.06,104.44,99.22,109.77,99.48,98.55,104.35,100.49,104.6,96.91,111.89,112.37,124.46,105.44, 
111年,10月,47480415,20534959,31770915,19863888,10730768,24158460,6761671,23194828,26385978,64140622,35602800,73990828,60094298,4008530,9888000,158.01,100.3,105.53,96.5,114.16,103.77,100.78,105.59,108.46,102.58,101.52,119,120.96,133.71,104.12, 
111年,11月,42584365,18867498,32083425,19325514,10417109,23960940,7012351,22672414,24055861,66246581,52608660,72556981,58078583,4340121,10138277,142.49,92.66,107.15,94.39,111.43,103.49,105.09,103.77,99.43,106.53,150.83,116.59,116.8,144.63,106.65, 
111年,12月,41429121,20492234,31743791,21872652,11805635,27209176,7672536,24073493,24089953,71281428,43113315,84372689,67872315,4779536,11720838,138.55,100.58,105.95,106.77,126.21,117.45,114.92,110.12,99.51,114.56,123.54,135.17,136.08,158.8,122.93, 
112年,1月,44087068,22149652,33630712,26647637,12425445,27998098,7929522,23029858,24286304,63150390,36315670,97517241,81377077,4311770,11828394,147.17,108.52,112.05,129.85,132.59,120.63,118.55,105.16,100.14,101.31,103.87,155.4,162.3,142.5,123.41, 
112年,2月,30111794,17200949,28798001,16829360,10452544,21145975,6668477,20892620,20296556,62587140,33762003,75566018,62444638,3795785,9325595,100.82,84.53,96.24,82.26,111.88,91.39,100.01,95.69,83.95,100.71,96.86,119.83,123.93,124.83,96.82, 
112年,3月,29894370,18631699,32500751,18242236,11855963,23529294,6491308,23374953,22105037,84310224,35918946,75287663,60302733,4604682,10380248,99.72,91.22,108.21,88.83,126.43,101.31,96.99,106.66,91.08,135.16,102.67,118.58,118.87,150.41,107.04, 
112年,4月,38041004,19145436,32030146,18848569,12759976,21950625,7061982,22278617,22063990,72623980,33214530,79434053,64930173,4666953,9836927,125.71,92.85,105.64,90.92,134.79,93.63,104.52,100.7,90.06,115.34,94.04,124.2,127.06,151.33,100.7, 
112年,5月,34803933,19568718,33822821,18125802,12790714,22997018,6794356,23043932,23103297,79890533,37140376,81534813,66237895,4871458,10425460,115.12,95,111.66,87.52,135.25,98.18,100.66,104.26,94.39,127,105.26,126.98,129.1,157.33,106.29, 
112年,6月,31144615,19090696,33767126,17930726,12926292,22268383,7227107,22978369,22210001,82936983,37579653,81425847,65722862,5150638,10552347,103.2,92.84,111.68,86.73,136.93,95.24,107.26,104.15,90.91,132.08,106.7,126.5,127.78,165.94,107.33, 
112年,7月,34181898,21449096,36062584,19797620,12787871,22046833,7925326,23883267,23042556,77049708,35226966,87535950,71877031,4576435,11082484,113.42,104.45,119.43,95.89,135.64,94.42,117.78,108.4,94.44,122.87,100.15,135.66,139.41,147.09,112.44, 
112年,8月,31832389,24548315,35590334,22176307,12854607,24425809,7070582,24662578,22441287,66820166,36471385,87409138,71708485,4414190,11286463,104.52,118.29,116.63,106.29,134.92,103.51,103.98,110.76,91.01,105.44,102.6,135.32,138.93,141.72,114.39, 
112年,9月,35027344,21052573,34120287,20346304,12374676,27162416,6582672,24018707,23255374,69600053,35083919,81212150,65403862,4821258,10987030,113.63,100.24,110.48,96.35,128.33,113.74,95.65,106.59,93.19,108.51,97.52,125.52,126.51,154.54,111.17, 
112年,10月,48358262,21007183,34417959,18665685,13096990,24354752,7025416,23593819,25955537,73557055,36156380,83420261,67524017,5394236,10502008,155.95,99.43,110.78,87.87,135.02,101.38,101.48,104.08,103.39,114,99.91,128.75,130.42,172.65,106.11, 
112年,11月,44960812,19556440,33465149,19831027,12495115,23200649,7321358,22715482,24797915,78800918,54540350,79670435,63449102,5613024,10608309,145.89,93.13,108.38,93.93,129.61,97.17,106.4,100.82,99.39,122.88,151.64,122.85,122.44,179.49,107.09, 
112年,12月,40259361,21039138,33610084,20255010,13321069,29004211,8274968,23549552,22839350,77133249,41713864,91907108,74203589,5942216,11761303,131.13,100.58,109.27,96.31,138.71,121.94,120.72,104.92,91.89,120.74,116.42,141.34,142.81,189.51,118.41, 
113年,1月,36723496,20647214,34301306,23778687,13162378,27606288,7157734,22825917,23560774,85638166,40445304,89778238,72521662,5637787,11618789,119.98,99,111.85,113.4,137.46,116.41,104.74,102,95.08,134.46,113.22,137.55,139.06,179.15,116.54, 
113年,2月,38724976,20580238,32494729,21175682,13164448,24144955,7581824,20724042,22638008,51137196,34559827,91195675,76552225,4260029,10383421,126.85,98.94,106.24,101.25,137.85,102.08,111.23,92.86,91.6,80.5,97,139.06,146.09,134.72,103.65, 
113年,3月,32798255,19614271,33771390,18257214,12620646,23323479,7075542,22633826,21329284,81927048,38272352,83159024,67186637,5138358,10834029,107.69,94.51,110.67,87.5,132.47,98.84,104.05,101.65,86.51,129.28,107.67,126.56,127.97,162.18,107.94, 
113年,4月,37628676,19832158,33895747,18379083,12881161,21785300,6858491,22189015,23411174,74047498,35266838,79974754,63507650,5660980,10806124,122.68,94.89,110.3,87.47,134.25,91.67,100.15,98.95,94.28,116.02,98.52,121.47,120.72,178.33,107.45, 
113年,5月,34875712,20265555,35251399,18667968,13736541,23033320,6838370,22610397,22609128,85232294,37514522,84668357,67765636,5810734,11091987,113.16,96.5,114.15,88.41,142.47,96.46,99.37,100.34,90.61,132.9,104.29,128.26,128.48,182.56,110, 
113年,6月,33118991,20652135,35366163,18887318,13760412,22917551,7268799,22311081,21895455,86593180,37656556,86998193,70039677,5705793,11252723,107.28,98.17,114.33,89.3,142.48,95.81,105.45,98.85,87.6,134.8,104.51,131.52,132.52,178.9,111.37, 
113年,7月,32444804,23033175,37701368,20300509,13602948,22053038,7066224,22821230,23521684,87933338,35881501,84799087,68932538,4798014,11068535,105.04,109.44,121.83,95.94,140.78,92.15,102.46,101.06,94.07,136.82,99.54,127.87,130.09,150.06,109.27, 
113年,8月,33400724,24847577,37183421,22952454,13946364,24584056,7009016,23408385,23064075,63456688,37025447,89015098,72853588,4699160,11462350,107.23,117.07,119.14,107.56,143.13,101.87,100.78,102.79,91.46,97.91,101.85,133.91,137.17,146.62,112.89, 
113年,9月,35080432,22793727,36087251,22183545,13658254,26120404,6507808,22377626,24060106,76366380,35031139,84262237,67747451,5448929,11065857,112.37,107.16,115.38,103.73,139.86,108,93.37,98.05,95.2,117.56,96.15,126.46,127.25,169.61,108.73, 
113年,10月,46472422,24034712,36725640,20556588,13706758,24237616,6559796,21194991,26272744,67726259,37279524,81932572,65285463,5915110,10731999,148.13,112.43,116.84,95.65,139.66,99.72,93.65,92.41,103.44,103.75,101.81,122.83,122.49,183.91,105.33, 
113年,11月,46572913,21385686,35471506,21303508,13531727,23950261,7684622,21774280,25896383,75554910,54789991,86014441,68932820,6219072,10862549,148.36,99.98,112.78,99.06,137.79,98.47,109.64,94.87,101.9,115.67,149.54,128.7,129.09,192.99,106.41, 
113年,12月,41275022,22077223,35246568,21960920,14818761,29166349,8753377,22482873,23997769,75736446,43037498,95972333,77421090,6599113,11952130,131.76,103.43,112.3,102.33,151.22,120.17,125.15,98.17,94.62,116.19,117.71,143.2,144.58,204.22,116.75, 
114年,1月,45771732,23887094,37585896,27601441,14698102,30878797,8649260,22151427,24102694,77742405,38868109,105612120,87429734,5725697,12456689,146.7,112.36,120.23,129.14,150.59,127.74,124.16,97.11,95.42,119.75,106.74,156.8,162.45,176.3,121.07, 
114年,2月,31237619,19141566,31680173,17568376,12577275,22909591,7030341,20102213,21741904,61676298,35925211,82845141,67403127,5006662,10435352,99.99,89.92,101.21,82.09,128.7,94.65,100.79,88.02,85.97,94.88,98.53,122.45,124.69,153.48,100.98, 
114年,3月,32334797,21372926,35129188,20256043,12857652,24356369,6910242,22482598,21194541,78324522,38644816,85690559,68399035,5883860,11407664,103.47,100.38,112.2,94.62,131.53,100.6,99.04,98.41,83.78,120.46,105.96,126.26,126.13,179.8,110.04, 
114年,4月,36482034,21309258,35300832,19540189,12992865,24104676,6861904,21061883,22180958,70229695,36191103,81542478,63796700,6255073,11490705,116.56,99.92,112.57,91.14,132.71,99.41,98.2,92.05,87.54,107.84,99.08,119.65,117.16,190.36,110.39, 
114年,5月,36295886,22008490,37835916,20821107,13870062,25674200,6746479,20663355,23531022,69922619,38165120,90416966,72140290,6249177,12027499,116.63,103.79,121.35,97.67,142.48,106.48,97.1,90.82,93.4,107.98,105.08,132.3,132.11,189.65,115.22, 
114年,6月,31939653,21874503,37005168,19604094,13636970,24687403,7211753,20782389,22465891,71604467,40990743,85266722,67539794,6184741,11542187,102.63,103.16,118.68,91.96,140.08,102.39,103.79,91.35,89.17,110.58,112.86,124.62,123.54,187.47,110.44, 
114年,7月,32361283,23330112,38814905,19982847,13663219,24241344,7600773,20819694,22653693,70182060,38431653,86562445,69256660,5415639,11890146,103.97,110,124.46,93.72,140.32,100.52,109.37,91.49,89.9,108.36,105.79,126.15,126.32,163.68,113.44, 
114年,8月,34918865,25044993,38687411,23150059,14356784,24579164,7651644,21730452,22709368,60605413,39255001,93285092,75866072,5041370,12377650,111.03,116.87,122.78,107.45,145.93,100.87,108.97,94.51,89.19,92.61,106.95,135.8,138.22,152.2,117.96, 
114年,9月,36005493,24207846,36786568,21293696,13805267,27894697,7015739,20685850,24895368,64918881,38328758,82934920,64739193,5890722,12305005,114.8,113.27,117.06,99.11,140.71,114.79,100.19,90.21,98.05,99.47,104.71,120.35,117.58,177.29,116.9, 
114年,10月,48341624,23648950,38439863,21037624,14195132,26527950,7715000,21381336,27753128,64269920,38661571,89469815,70651574,6507294,12310947,153.33,110.08,121.69,97.41,143.93,108.6,109.6,92.76,108.73,97.97,105.07,129.54,128.02,195.4,116.69, 
114年,11月,49906377,22834485,37272873,23783986,13754536,24915515,8147612,20343867,27675463,70312264,55356355,88845446,70611332,6502064,11732050,158.69,106.56,118.29,110.39,139.81,102.25,116.03,88.48,108.7,107.44,150.81,128.44,127.76,194.95,111.04, 
