日期,年,月,日,農曆,屬性,值
2018/3/1,2018,3,1,十四,白肉雞(2.0Kg以上),31.3
2018/3/1,2018,3,1,十四,白肉雞(1.75-1.95Kg),31.3
2018/3/1,2018,3,1,十四,白肉雞(門市價高屏),32.8
2018/3/1,2018,3,1,十四,雞蛋(大運輸價),26.5
2018/3/2,2018,3,2,十五,白肉雞(2.0Kg以上),31.3
2018/3/2,2018,3,2,十五,白肉雞(1.75-1.95Kg),31.3
2018/3/2,2018,3,2,十五,白肉雞(門市價高屏),32.8
2018/3/2,2018,3,2,十五,雞蛋(大運輸價),26.5
2018/3/3,2018,3,3,十六,白肉雞(2.0Kg以上),31.3
2018/3/3,2018,3,3,十六,白肉雞(1.75-1.95Kg),31.3
2018/3/3,2018,3,3,十六,白肉雞(門市價高屏),32.8
2018/3/3,2018,3,3,十六,雞蛋(大運輸價),26.5
2018/3/4,2018,3,4,十七,白肉雞(2.0Kg以上),31.3
2018/3/4,2018,3,4,十七,白肉雞(1.75-1.95Kg),31.3
2018/3/4,2018,3,4,十七,白肉雞(門市價高屏),32.8
2018/3/4,2018,3,4,十七,雞蛋(大運輸價),26.5
2018/3/5,2018,3,5,驚蜇,白肉雞(2.0Kg以上),31.3
2018/3/5,2018,3,5,驚蜇,白肉雞(1.75-1.95Kg),31.3
2018/3/5,2018,3,5,驚蜇,白肉雞(門市價高屏),32.8
2018/3/5,2018,3,5,驚蜇,雞蛋(大運輸價),26.5
2018/3/6,2018,3,6,十九,白肉雞(2.0Kg以上),31
2018/3/6,2018,3,6,十九,白肉雞(1.75-1.95Kg),31
2018/3/6,2018,3,6,十九,白肉雞(門市價高屏),32.5
2018/3/6,2018,3,6,十九,雞蛋(大運輸價),23.5
2018/3/7,2018,3,7,二十,白肉雞(2.0Kg以上),31
2018/3/7,2018,3,7,二十,白肉雞(1.75-1.95Kg),31
2018/3/7,2018,3,7,二十,白肉雞(門市價高屏),32.5
2018/3/7,2018,3,7,二十,雞蛋(大運輸價),23.5
2018/3/8,2018,3,8,廿一,白肉雞(2.0Kg以上),31
2018/3/8,2018,3,8,廿一,白肉雞(1.75-1.95Kg),31
2018/3/8,2018,3,8,廿一,白肉雞(門市價高屏),32.5
2018/3/8,2018,3,8,廿一,雞蛋(大運輸價),23.5
2018/3/9,2018,3,9,廿二,白肉雞(2.0Kg以上),31
2018/3/9,2018,3,9,廿二,白肉雞(1.75-1.95Kg),31
2018/3/9,2018,3,9,廿二,白肉雞(門市價高屏),32.5
2018/3/9,2018,3,9,廿二,雞蛋(大運輸價),23.5
2018/3/10,2018,3,10,廿三,白肉雞(2.0Kg以上),31
2018/3/10,2018,3,10,廿三,白肉雞(1.75-1.95Kg),31
2018/3/10,2018,3,10,廿三,白肉雞(門市價高屏),32.5
2018/3/10,2018,3,10,廿三,雞蛋(大運輸價),23.5
2018/3/11,2018,3,11,廿四,白肉雞(2.0Kg以上),31
2018/3/11,2018,3,11,廿四,白肉雞(1.75-1.95Kg),31
2018/3/11,2018,3,11,廿四,白肉雞(門市價高屏),32.5
2018/3/11,2018,3,11,廿四,雞蛋(大運輸價),23.5
2018/3/12,2018,3,12,廿五,白肉雞(2.0Kg以上),31
2018/3/12,2018,3,12,廿五,白肉雞(1.75-1.95Kg),31
2018/3/12,2018,3,12,廿五,白肉雞(門市價高屏),32.5
2018/3/12,2018,3,12,廿五,雞蛋(大運輸價),23.5
2018/3/13,2018,3,13,廿六,白肉雞(2.0Kg以上),31
2018/3/13,2018,3,13,廿六,白肉雞(1.75-1.95Kg),31
2018/3/13,2018,3,13,廿六,白肉雞(門市價高屏),32.5
2018/3/13,2018,3,13,廿六,雞蛋(大運輸價),21.5
2018/3/14,2018,3,14,廿七,白肉雞(2.0Kg以上),31
2018/3/14,2018,3,14,廿七,白肉雞(1.75-1.95Kg),31
2018/3/14,2018,3,14,廿七,白肉雞(門市價高屏),32.5
2018/3/14,2018,3,14,廿七,雞蛋(大運輸價),21.5
2018/3/15,2018,3,15,廿八,白肉雞(2.0Kg以上),31
2018/3/15,2018,3,15,廿八,白肉雞(1.75-1.95Kg),31
2018/3/15,2018,3,15,廿八,白肉雞(門市價高屏),32.5
2018/3/15,2018,3,15,廿八,雞蛋(大運輸價),21.5
2018/3/16,2018,3,16,廿九,白肉雞(2.0Kg以上),31
2018/3/16,2018,3,16,廿九,白肉雞(1.75-1.95Kg),31
2018/3/16,2018,3,16,廿九,白肉雞(門市價高屏),32.5
2018/3/16,2018,3,16,廿九,雞蛋(大運輸價),21.5
2018/3/17,2018,3,17,二月,白肉雞(2.0Kg以上),31
2018/3/17,2018,3,17,二月,白肉雞(1.75-1.95Kg),31
2018/3/17,2018,3,17,二月,白肉雞(門市價高屏),32.5
2018/3/17,2018,3,17,二月,雞蛋(大運輸價),21.5
2018/3/18,2018,3,18,初二,白肉雞(2.0Kg以上),31
2018/3/18,2018,3,18,初二,白肉雞(1.75-1.95Kg),31
2018/3/18,2018,3,18,初二,白肉雞(門市價高屏),32.5
2018/3/18,2018,3,18,初二,雞蛋(大運輸價),21.5
2018/3/19,2018,3,19,初三,白肉雞(2.0Kg以上),31
2018/3/19,2018,3,19,初三,白肉雞(1.75-1.95Kg),31
2018/3/19,2018,3,19,初三,白肉雞(門市價高屏),32.5
2018/3/19,2018,3,19,初三,雞蛋(大運輸價),21.5
2018/3/20,2018,3,20,初四,白肉雞(2.0Kg以上),31
2018/3/20,2018,3,20,初四,白肉雞(1.75-1.95Kg),31
2018/3/20,2018,3,20,初四,白肉雞(門市價高屏),32.5
2018/3/20,2018,3,20,初四,雞蛋(大運輸價),21.5
2018/3/21,2018,3,21,春分,白肉雞(2.0Kg以上),31
2018/3/21,2018,3,21,春分,白肉雞(1.75-1.95Kg),31
2018/3/21,2018,3,21,春分,白肉雞(門市價高屏),32.5
2018/3/21,2018,3,21,春分,雞蛋(大運輸價),21.5
2018/3/22,2018,3,22,初六,白肉雞(2.0Kg以上),31
2018/3/22,2018,3,22,初六,白肉雞(1.75-1.95Kg),31
2018/3/22,2018,3,22,初六,白肉雞(門市價高屏),32.5
2018/3/22,2018,3,22,初六,雞蛋(大運輸價),21.5
2018/3/23,2018,3,23,初七,白肉雞(2.0Kg以上),31
2018/3/23,2018,3,23,初七,白肉雞(1.75-1.95Kg),31
2018/3/23,2018,3,23,初七,白肉雞(門市價高屏),32.5
2018/3/23,2018,3,23,初七,雞蛋(大運輸價),21.5
2018/3/24,2018,3,24,初八,白肉雞(2.0Kg以上),31
2018/3/24,2018,3,24,初八,白肉雞(1.75-1.95Kg),31
2018/3/24,2018,3,24,初八,白肉雞(門市價高屏),32.5
2018/3/24,2018,3,24,初八,雞蛋(大運輸價),21.5
2018/3/25,2018,3,25,初九,白肉雞(2.0Kg以上),31
2018/3/25,2018,3,25,初九,白肉雞(1.75-1.95Kg),31
2018/3/25,2018,3,25,初九,白肉雞(門市價高屏),32.5
2018/3/25,2018,3,25,初九,雞蛋(大運輸價),21.5
2018/3/26,2018,3,26,初十,白肉雞(2.0Kg以上),31
2018/3/26,2018,3,26,初十,白肉雞(1.75-1.95Kg),31
2018/3/26,2018,3,26,初十,白肉雞(門市價高屏),32.5
2018/3/26,2018,3,26,初十,雞蛋(大運輸價),21.5
2018/3/27,2018,3,27,十一,白肉雞(2.0Kg以上),31
2018/3/27,2018,3,27,十一,白肉雞(1.75-1.95Kg),31
2018/3/27,2018,3,27,十一,白肉雞(門市價高屏),32.5
2018/3/27,2018,3,27,十一,雞蛋(大運輸價),21.5
2018/3/28,2018,3,28,十二,白肉雞(2.0Kg以上),31
2018/3/28,2018,3,28,十二,白肉雞(1.75-1.95Kg),31
2018/3/28,2018,3,28,十二,白肉雞(門市價高屏),32.5
2018/3/28,2018,3,28,十二,雞蛋(大運輸價),24.5
2018/3/29,2018,3,29,十三,白肉雞(2.0Kg以上),31
2018/3/29,2018,3,29,十三,白肉雞(1.75-1.95Kg),31
2018/3/29,2018,3,29,十三,白肉雞(門市價高屏),32.5
2018/3/29,2018,3,29,十三,雞蛋(大運輸價),24.5
2018/3/30,2018,3,30,十四,白肉雞(2.0Kg以上),30.8
2018/3/30,2018,3,30,十四,白肉雞(1.75-1.95Kg),30.8
2018/3/30,2018,3,30,十四,白肉雞(門市價高屏),32.3
2018/3/30,2018,3,30,十四,雞蛋(大運輸價),24.5
2018/3/31,2018,3,31,十五,白肉雞(2.0Kg以上),30.8
2018/3/31,2018,3,31,十五,白肉雞(1.75-1.95Kg),30.8
2018/3/31,2018,3,31,十五,白肉雞(門市價高屏),32.3
2018/3/31,2018,3,31,十五,雞蛋(大運輸價),24.5
2018/4/1,2018,4,1,十六,白肉雞(2.0Kg以上),30.8
2018/4/1,2018,4,1,十六,白肉雞(1.75-1.95Kg),30.8
2018/4/1,2018,4,1,十六,白肉雞(門市價高屏),32.3
2018/4/1,2018,4,1,十六,雞蛋(大運輸價),24.5
2018/4/2,2018,4,2,十七,白肉雞(2.0Kg以上),30.8
2018/4/2,2018,4,2,十七,白肉雞(1.75-1.95Kg),30.8
2018/4/2,2018,4,2,十七,白肉雞(門市價高屏),32.3
2018/4/2,2018,4,2,十七,雞蛋(大運輸價),24.5
2018/4/3,2018,4,3,十八,白肉雞(2.0Kg以上),30.8
2018/4/3,2018,4,3,十八,白肉雞(1.75-1.95Kg),30.8
2018/4/3,2018,4,3,十八,白肉雞(門市價高屏),32.3
2018/4/3,2018,4,3,十八,雞蛋(大運輸價),24.5
2018/4/4,2018,4,4,十九,白肉雞(2.0Kg以上),30.8
2018/4/4,2018,4,4,十九,白肉雞(1.75-1.95Kg),30.8
