年,月,產業別,營業額(千元)
2019,12,燃料及相關產品零售業,22987682
2019,12,百貨公司業,31887817
2019,12,資通訊及家電設備零售業,18910313
2019,12,超級市場業,17036628
2019,12,零售式量販業,18060078
2019,12,電子購物及郵購業,25595438
2019,12,食品、飲料及菸草製品零售業,24715293
2019,12,餐飲業_外燴及團膳承包業,3936450
2019,12,餐飲業_飲料店,10010442
2019,12,餐飲業_餐館,56242103
2020,1,便利商店業,30181690
2020,1,其他綜合商品零售業,13863991
2020,1,文教育樂用品零售業,7463726
2020,1,汽機車及其零配件、用品零售業,59634696
2020,1,燃料及相關產品零售業,22416761
2020,1,百貨公司業,33297062
2020,1,資通訊及家電設備零售業,22272440
2020,1,超級市場業,18568282
2020,1,零售式量販業,24414066
2020,1,電子購物及郵購業,24647217
2020,1,食品、飲料及菸草製品零售業,25355521
2020,1,餐飲業_外燴及團膳承包業,4023692
2020,1,餐飲業_飲料店,10082080
2020,1,餐飲業_餐館,65582073
2020,2,便利商店業,25004897
2020,2,其他綜合商品零售業,9853865
2020,2,文教育樂用品零售業,5953602
2020,2,汽機車及其零配件、用品零售業,44593813
2020,2,燃料及相關產品零售業,18815441
2020,2,百貨公司業,21169573
2020,2,資通訊及家電設備零售業,18959048
2020,2,超級市場業,17177413
2020,2,零售式量販業,16634597
2020,2,電子購物及郵購業,24742484
2020,2,食品、飲料及菸草製品零售業,19383561
2020,2,餐飲業_外燴及團膳承包業,2391432
2020,2,餐飲業_飲料店,7783110
2020,2,餐飲業_餐館,45717136
2020,3,便利商店業,26909220
2020,3,其他綜合商品零售業,9135934
2020,3,文教育樂用品零售業,5663799
2020,3,汽機車及其零配件、用品零售業,55977704
2020,3,燃料及相關產品零售業,17295774
2020,3,百貨公司業,19450138
2020,3,資通訊及家電設備零售業,18936411
2020,3,超級市場業,20185349
2020,3,零售式量販業,18792338
2020,3,電子購物及郵購業,25738666
2020,3,食品、飲料及菸草製品零售業,19789743
2020,3,餐飲業_外燴及團膳承包業,2905495
2020,3,餐飲業_飲料店,8227506
2020,3,餐飲業_餐館,39356650
2020,4,便利商店業,26417326
2020,4,其他綜合商品零售業,8573235
2020,4,文教育樂用品零售業,6271128
2020,4,汽機車及其零配件、用品零售業,53018232
2020,4,燃料及相關產品零售業,13465694
2020,4,百貨公司業,23506679
2020,4,資通訊及家電設備零售業,19073870
2020,4,超級市場業,17932756
2020,4,零售式量販業,15806028
2020,4,電子購物及郵購業,24118468
2020,4,食品、飲料及菸草製品零售業,19301847
2020,4,餐飲業_外燴及團膳承包業,3023251
2020,4,餐飲業_飲料店,7225105
2020,4,餐飲業_餐館,36266902
2020,5,便利商店業,28800988
2020,5,其他綜合商品零售業,9416004
2020,5,文教育樂用品零售業,6902045
2020,5,汽機車及其零配件、用品零售業,54278605
2020,5,燃料及相關產品零售業,15155338
2020,5,百貨公司業,27447425
2020,5,資通訊及家電設備零售業,20715747
2020,5,超級市場業,17663126
2020,5,零售式量販業,18037839
2020,5,電子購物及郵購業,25823850
2020,5,食品、飲料及菸草製品零售業,20291588
2020,5,餐飲業_外燴及團膳承包業,3123644
2020,5,餐飲業_飲料店,8157935
2020,5,餐飲業_餐館,48631839
2020,6,便利商店業,29596427
2020,6,其他綜合商品零售業,9095940
2020,6,文教育樂用品零售業,6777316
2020,6,汽機車及其零配件、用品零售業,62180632
2020,6,燃料及相關產品零售業,17459575
2020,6,百貨公司業,25253193
2020,6,資通訊及家電設備零售業,19983382
2020,6,超級市場業,17155111
2020,6,零售式量販業,16927791
2020,6,電子購物及郵購業,25173090
2020,6,食品、飲料及菸草製品零售業,21042230
2020,6,餐飲業_外燴及團膳承包業,2981133
2020,6,餐飲業_飲料店,9105532
2020,6,餐飲業_餐館,49459709
2020,7,便利商店業,34279833
2020,7,其他綜合商品零售業,10591568
2020,7,文教育樂用品零售業,7915800
2020,7,汽機車及其零配件、用品零售業,69010860
2020,7,燃料及相關產品零售業,19582380
2020,7,百貨公司業,28687618
2020,7,資通訊及家電設備零售業,23349328
2020,7,超級市場業,18345434
2020,7,零售式量販業,18800907
2020,7,電子購物及郵購業,25137838
2020,7,食品、飲料及菸草製品零售業,21234441
2020,7,餐飲業_外燴及團膳承包業,2948937
2020,7,餐飲業_飲料店,9554541
2020,7,餐飲業_餐館,54463200
2020,8,便利商店業,32251096
2020,8,其他綜合商品零售業,11343008
2020,8,文教育樂用品零售業,8289374
2020,8,汽機車及其零配件、用品零售業,57056545
2020,8,燃料及相關產品零售業,19312936
2020,8,百貨公司業,28899869
2020,8,資通訊及家電設備零售業,22259531
2020,8,超級市場業,20518317
2020,8,零售式量販業,22045874
2020,8,電子購物及郵購業,26171283
2020,8,食品、飲料及菸草製品零售業,23493091
2020,8,餐飲業_外燴及團膳承包業,2518605
2020,8,餐飲業_飲料店,9680914
2020,8,餐飲業_餐館,58527127
2020,9,便利商店業,28909368
2020,9,其他綜合商品零售業,9736728
2020,9,文教育樂用品零售業,6788623
2020,9,汽機車及其零配件、用品零售業,58271052
2020,9,燃料及相關產品零售業,18619350
2020,9,百貨公司業,28708746
2020,9,資通訊及家電設備零售業,19462330
2020,9,超級市場業,18254490
2020,9,零售式量販業,17568974
2020,9,電子購物及郵購業,23699015
2020,9,食品、飲料及菸草製品零售業,27094446
2020,9,餐飲業_外燴及團膳承包業,2851438
2020,9,餐飲業_飲料店,9451374
2020,9,餐飲業_餐館,49971415
2020,10,便利商店業,29264242
2020,10,其他綜合商品零售業,9908944
2020,10,文教育樂用品零售業,6950810
2020,10,汽機車及其零配件、用品零售業,61429522
2020,10,燃料及相關產品零售業,18098069
2020,10,百貨公司業,46915401
2020,10,資通訊及家電設備零售業,19533554
2020,10,超級市場業,18702288
2020,10,零售式量販業,17285812
2020,10,電子購物及郵購業,24408108
2020,10,食品、飲料及菸草製品零售業,23763879
2020,10,餐飲業_外燴及團膳承包業,3114595
2020,10,餐飲業_飲料店,8727051
2020,10,餐飲業_餐館,52358124
2020,11,便利商店業,29039224
2020,11,其他綜合商品零售業,8611342
2020,11,文教育樂用品零售業,7441112
2020,11,汽機車及其零配件、用品零售業,68842556
2020,11,燃料及相關產品零售業,17693788
2020,11,百貨公司業,39560254
2020,11,資通訊及家電設備零售業,21486065
2020,11,超級市場業,17219552
2020,11,零售式量販業,17552133
2020,11,電子購物及郵購業,36775041
2020,11,食品、飲料及菸草製品零售業,21655859
2020,11,餐飲業_外燴及團膳承包業,3316933
2020,11,餐飲業_飲料店,8878420
2020,11,餐飲業_餐館,50167802
2020,12,便利商店業,29078085
2020,12,其他綜合商品零售業,9439479
2020,12,文教育樂用品零售業,7847383
2020,12,汽機車及其零配件、用品零售業,64906304
2020,12,燃料及相關產品零售業,19375624
2020,12,百貨公司業,33287034
2020,12,資通訊及家電設備零售業,21763234
2020,12,超級市場業,18297599
2020,12,零售式量販業,19018805
2020,12,電子購物及郵購業,31517569
2020,12,食品、飲料及菸草製品零售業,23344399
2020,12,餐飲業_外燴及團膳承包業,3521711
2020,12,餐飲業_飲料店,10500743
2020,12,餐飲業_餐館,55384040
2021,1,便利商店業,29874334
2021,1,其他綜合商品零售業,9674522
2021,1,文教育樂用品零售業,7474698
2021,1,汽機車及其零配件、用品零售業,77233476
2021,1,燃料及相關產品零售業,20379085
2021,1,百貨公司業,31342189
2021,1,資通訊及家電設備零售業,23746813
2021,1,超級市場業,18372017
2021,1,零售式量販業,23015806
2021,1,電子購物及郵購業,33816137
2021,1,食品、飲料及菸草製品零售業,24825822
2021,1,餐飲業_外燴及團膳承包業,3186173
2021,1,餐飲業_飲料店,10087112
2021,1,餐飲業_餐館,53989204
2021,2,便利商店業,28070800
2021,2,其他綜合商品零售業,8781507
2021,2,文教育樂用品零售業,7652777
2021,2,汽機車及其零配件、用品零售業,44987207
2021,2,燃料及相關產品零售業,18460283
2021,2,百貨公司業,31865603
2021,2,資通訊及家電設備零售業,20303525
2021,2,超級市場業,17069442
2021,2,零售式量販業,19258278
2021,2,電子購物及郵購業,27619771
2021,2,食品、飲料及菸草製品零售業,22664446
2021,2,餐飲業_外燴及團膳承包業,2100541
2021,2,餐飲業_飲料店,9484912
2021,2,餐飲業_餐館,56769648
2021,3,便利商店業,28641880
2021,3,其他綜合商品零售業,10525099
2021,3,文教育樂用品零售業,7144210
2021,3,汽機車及其零配件、用品零售業,68940673
2021,3,燃料及相關產品零售業,21258816
2021,3,百貨公司業,26429860
2021,3,資通訊及家電設備零售業,19904655
2021,3,超級市場業,16360574
2021,3,零售式量販業,17173927
2021,3,電子購物及郵購業,30436788
2021,3,食品、飲料及菸草製品零售業,20317331
2021,3,餐飲業_外燴及團膳承包業,2867018
2021,3,餐飲業_飲料店,9836644
2021,3,餐飲業_餐館,49930296
2021,4,便利商店業,28230533
2021,4,其他綜合商品零售業,11013338
2021,4,文教育樂用品零售業,7319887
2021,4,汽機車及其零配件、用品零售業,59985636
2021,4,燃料及相關產品零售業,20899299
2021,4,百貨公司業,35183430
2021,4,資通訊及家電設備零售業,21797041
2021,4,超級市場業,16313128
2021,4,零售式量販業,16650191
2021,4,電子購物及郵購業,28869857
2021,4,食品、飲料及菸草製品零售業,20099935
2021,4,餐飲業_外燴及團膳承包業,3288812
2021,4,餐飲業_飲料店,9504166
2021,4,餐飲業_餐館,50434433
2021,5,便利商店業,29631052
2021,5,其他綜合商品零售業,9180349
2021,5,文教育樂用品零售業,5505372
2021,5,汽機車及其零配件、用品零售業,58242980
2021,5,燃料及相關產品零售業,19319556
2021,5,百貨公司業,19711209
2021,5,資通訊及家電設備零售業,25008821
2021,5,超級市場業,23845867
2021,5,零售式量販業,18573275
2021,5,電子購物及郵購業,34821065
2021,5,食品、飲料及菸草製品零售業,20129491
2021,5,餐飲業_外燴及團膳承包業,2675471
2021,5,餐飲業_飲料店,6997098
2021,5,餐飲業_餐館,38544858
2021,6,便利商店業,27023519
2021,6,其他綜合商品零售業,5983535
2021,6,文教育樂用品零售業,4168471
2021,6,汽機車及其零配件、用品零售業,48383758
2021,6,燃料及相關產品零售業,16914056
2021,6,百貨公司業,8916613
2021,6,資通訊及家電設備零售業,23285645
2021,6,超級市場業,22606695
2021,6,零售式量販業,18090389
2021,6,電子購物及郵購業,36017906
2021,6,食品、飲料及菸草製品零售業,19600309
2021,6,餐飲業_外燴及團膳承包業,2111862
2021,6,餐飲業_飲料店,5863405
2021,6,餐飲業_餐館,28942257
2021,7,便利商店業,28715924
2021,7,其他綜合商品零售業,7128785
2021,7,文教育樂用品零售業,4915610
2021,7,汽機車及其零配件、用品零售業,62278033
2021,7,燃料及相關產品零售業,20299614
2021,7,百貨公司業,15358197
2021,7,資通訊及家電設備零售業,24231665
2021,7,超級市場業,21776495
2021,7,零售式量販業,20396160
2021,7,電子購物及郵購業,33180190
2021,7,食品、飲料及菸草製品零售業,20315238
2021,7,餐飲業_外燴及團膳承包業,2027254
2021,7,餐飲業_飲料店,6378272
2021,7,餐飲業_餐館,32460984
2021,8,便利商店業,27596003
2021,8,其他綜合商品零售業,8648642
2021,8,文教育樂用品零售業,5834152
2021,8,汽機車及其零配件、用品零售業,54935443
2021,8,燃料及相關產品零售業,21816202
2021,8,百貨公司業,23485119
2021,8,資通訊及家電設備零售業,22036900
2021,8,超級市場業,22454663
2021,8,零售式量販業,22801342
2021,8,電子購物及郵購業,32938254
2021,8,食品、飲料及菸草製品零售業,22573639
2021,8,餐飲業_外燴及團膳承包業,2043878
2021,8,餐飲業_飲料店,8424011
2021,8,餐飲業_餐館,42030292
2021,9,便利商店業,28265162
2021,9,其他綜合商品零售業,8773473
2021,9,文教育樂用品零售業,5764759
2021,9,汽機車及其零配件、用品零售業,62769806
2021,9,燃料及相關產品零售業,22024490
2021,9,百貨公司業,25202995
2021,9,資通訊及家電設備零售業,22398430
2021,9,超級市場業,19041519
2021,9,零售式量販業,19842948
2021,9,電子購物及郵購業,29794338
2021,9,食品、飲料及菸草製品零售業,24621212
2021,9,餐飲業_外燴及團膳承包業,2942664
2021,9,餐飲業_飲料店,9624379
2021,9,餐飲業_餐館,43030248
2021,10,便利商店業,30639436
2021,10,其他綜合商品零售業,9414572
2021,10,文教育樂用品零售業,7222487
2021,10,汽機車及其零配件、用品零售業,57017913
2021,10,燃料及相關產品零售業,23931038
2021,10,百貨公司業,47290351
2021,10,資通訊及家電設備零售業,27568966
2021,10,超級市場業,19898605
2021,10,零售式量販業,20664524
2021,10,電子購物及郵購業,32267274
2021,10,食品、飲料及菸草製品零售業,23730067
2021,10,餐飲業_外燴及團膳承包業,3246438
2021,10,餐飲業_飲料店,9422267
2021,10,餐飲業_餐館,52142089
2021,11,便利商店業,29550425
2021,11,其他綜合商品零售業,8973294
2021,11,文教育樂用品零售業,6849674
2021,11,汽機車及其零配件、用品零售業,61739477
2021,11,燃料及相關產品零售業,23181890
2021,11,百貨公司業,42830755
2021,11,資通訊及家電設備零售業,25943967
2021,11,超級市場業,18139051
2021,11,零售式量販業,19776449
2021,11,電子購物及郵購業,46811429
2021,11,食品、飲料及菸草製品零售業,23292351
2021,11,餐飲業_外燴及團膳承包業,3509794
2021,11,餐飲業_飲料店,9790911
2021,11,餐飲業_餐館,51212403
2021,12,便利商店業,29018517
2021,12,其他綜合商品零售業,9635357
2021,12,文教育樂用品零售業,7032243
2021,12,汽機車及其零配件、用品零售業,60300878
2021,12,燃料及相關產品零售業,23642761
2021,12,百貨公司業,37526834
2021,12,資通訊及家電設備零售業,22969217
2021,12,超級市場業,19040166
2021,12,零售式量販業,19914884
2021,12,電子購物及郵購業,36047379
2021,12,食品、飲料及菸草製品零售業,24919508
2021,12,餐飲業_外燴及團膳承包業,3708977
2021,12,餐飲業_飲料店,11333467
2021,12,餐飲業_餐館,58896737
2022,1,便利商店業,32361982
2022,1,其他綜合商品零售業,9377264
2022,1,文教育樂用品零售業,7272685
2022,1,汽機車及其零配件、用品零售業,71386056
2022,1,燃料及相關產品零售業,23426938
2022,1,百貨公司業,33485182
2022,1,資通訊及家電設備零售業,26823895
2022,1,超級市場業,21600066
2022,1,零售式量販業,26100924
2022,1,電子購物及郵購業,37770709
2022,1,食品、飲料及菸草製品零售業,30121288
2022,1,餐飲業_外燴及團膳承包業,3238024
2022,1,餐飲業_飲料店,10400616
2022,1,餐飲業_餐館,59236816
2022,2,便利商店業,26706566
2022,2,其他綜合商品零售業,8298878
2022,2,文教育樂用品零售業,7061834
2022,2,汽機車及其零配件、用品零售業,48479555
2022,2,燃料及相關產品零售業,20674747
2022,2,百貨公司業,31610133
2022,2,資通訊及家電設備零售業,21525652
2022,2,超級市場業,17810548
2022,2,零售式量販業,17282006
2022,2,電子購物及郵購業,31928755
2022,2,食品、飲料及菸草製品零售業,20954220
2022,2,餐飲業_外燴及團膳承包業,2276259
2022,2,餐飲業_飲料店,9175640
2022,2,餐飲業_餐館,57281245
