年月,年,月,分類,營業而(千元)
2024/6/1,2024,2026/6/1,飲料店,11252723
2024/7/1,2024,2026/7/1,餐館,68932538
2024/7/1,2024,2026/7/1,外燴及團膳承包業,4798014
2024/7/1,2024,2026/7/1,飲料店,11068535
2024/8/1,2024,2026/8/1,餐館,72853588
2024/8/1,2024,2026/8/1,外燴及團膳承包業,4699160
2024/8/1,2024,2026/8/1,飲料店,11462350
2024/9/1,2024,2026/9/1,餐館,67747451
2024/9/1,2024,2026/9/1,外燴及團膳承包業,5448929
2024/9/1,2024,2026/9/1,飲料店,11065857
2024/10/1,2024,2026/10/1,餐館,65285463
2024/10/1,2024,2026/10/1,外燴及團膳承包業,5915110
2024/10/1,2024,2026/10/1,飲料店,10731999
2024/11/1,2024,2026/11/1,餐館,68932820
2024/11/1,2024,2026/11/1,外燴及團膳承包業,6219072
2024/11/1,2024,2026/11/1,飲料店,10862549
2024/12/1,2024,2026/12/1,餐館,77421090
2024/12/1,2024,2026/12/1,外燴及團膳承包業,6599113
2024/12/1,2024,2026/12/1,飲料店,11952130
2025/1/1,2025,2026/1/1,餐館,87429734
2025/1/1,2025,2026/1/1,外燴及團膳承包業,5725697
2025/1/1,2025,2026/1/1,飲料店,12456689
2025/2/1,2025,2026/2/1,餐館,67403127
2025/2/1,2025,2026/2/1,外燴及團膳承包業,5006662
2025/2/1,2025,2026/2/1,飲料店,10435352
2025/3/1,2025,2026/3/1,餐館,68399035
2025/3/1,2025,2026/3/1,外燴及團膳承包業,5883860
2025/3/1,2025,2026/3/1,飲料店,11407664
2025/4/1,2025,2026/4/1,餐館,63796700
2025/4/1,2025,2026/4/1,外燴及團膳承包業,6255073
2025/4/1,2025,2026/4/1,飲料店,11490705
2025/5/1,2025,2026/5/1,餐館,72140290
2025/5/1,2025,2026/5/1,外燴及團膳承包業,6249177
2025/5/1,2025,2026/5/1,飲料店,12027499
2025/6/1,2025,2026/6/1,餐館,67539794
2025/6/1,2025,2026/6/1,外燴及團膳承包業,6184741
2025/6/1,2025,2026/6/1,飲料店,11542187
2025/7/1,2025,2026/7/1,餐館,69256660
2025/7/1,2025,2026/7/1,外燴及團膳承包業,5415639
2025/7/1,2025,2026/7/1,飲料店,11890146
2025/8/1,2025,2026/8/1,餐館,75866072
2025/8/1,2025,2026/8/1,外燴及團膳承包業,5041370
2025/8/1,2025,2026/8/1,飲料店,12377650
2025/9/1,2025,2026/9/1,餐館,64739193
2025/9/1,2025,2026/9/1,外燴及團膳承包業,5890722
2025/9/1,2025,2026/9/1,飲料店,12305005
2025/10/1,2025,2026/10/1,餐館,70651574
2025/10/1,2025,2026/10/1,外燴及團膳承包業,6507294
2025/10/1,2025,2026/10/1,飲料店,12310947
2025/11/1,2025,2026/11/1,餐館,70611332
2025/11/1,2025,2026/11/1,外燴及團膳承包業,6502064
2025/11/1,2025,2026/11/1,飲料店,11732050
2025/12/1,2025,2026/12/1,餐館,75466065
2025/12/1,2025,2026/12/1,外燴及團膳承包業,6899228
2025/12/1,2025,2026/12/1,飲料店,12587446
2026/1/1,2026,2026/1/1,餐館,77497777
2026/1/1,2026,2026/1/1,外燴及團膳承包業,6731464
2026/1/1,2026,2026/1/1,飲料店,12473208
2026/2/1,2026,2026/2/1,餐館,83452023
2026/2/1,2026,2026/2/1,外燴及團膳承包業,4843229
2026/2/1,2026,2026/2/1,飲料店,12042381
