年,季,日期標準,縣市,鄉鎮市區,住宅拍賣移轉筆數
2018,1,2018/1/1,屏東縣,崁頂鄉,3
2018,1,2018/1/1,屏東縣,林邊鄉,2
2018,1,2018/1/1,屏東縣,佳冬鄉,1
2018,1,2018/1/1,屏東縣,枋山鄉,1
2018,1,2018/1/1,屏東縣,三地門鄉,1
2018,1,2018/1/1,屏東縣,來義鄉,1
2018,1,2018/1/1,屏東縣,獅子鄉,1
2018,1,2018/1/1,臺東縣,台東市,1
2018,1,2018/1/1,臺東縣,大武鄉,1
2018,1,2018/1/1,臺東縣,太麻里鄉,1
2018,1,2018/1/1,花蓮縣,花蓮市,2
2018,1,2018/1/1,花蓮縣,玉里鎮,1
2018,1,2018/1/1,花蓮縣,吉安鄉,3
2018,1,2018/1/1,澎湖縣,馬公市,1
2018,1,2018/1/1,澎湖縣,湖西鄉,1
2018,1,2018/1/1,澎湖縣,白沙鄉,1
2018,1,2018/1/1,基隆市,中正區,4
2018,1,2018/1/1,基隆市,七堵區,1
2018,1,2018/1/1,基隆市,暖暖區,2
2018,1,2018/1/1,基隆市,仁愛區,3
2018,1,2018/1/1,基隆市,中山區,1
2018,1,2018/1/1,基隆市,安樂區,2
2018,1,2018/1/1,新竹市,新竹市,17
2018,1,2018/1/1,嘉義市,嘉義市,14
2018,2,2018/1/4,新北市,板橋區,17
2018,2,2018/1/4,新北市,三重區,18
2018,2,2018/1/4,新北市,中和區,24
2018,2,2018/1/4,新北市,永和區,12
2018,2,2018/1/4,新北市,新莊區,13
2018,2,2018/1/4,新北市,新店區,17
2018,2,2018/1/4,新北市,樹林區,4
2018,2,2018/1/4,新北市,鶯歌區,1
2018,2,2018/1/4,新北市,三峽區,4
2018,2,2018/1/4,新北市,淡水區,11
2018,2,2018/1/4,新北市,汐止區,16
2018,2,2018/1/4,新北市,瑞芳區,2
2018,2,2018/1/4,新北市,土城區,10
2018,2,2018/1/4,新北市,蘆洲區,6
2018,2,2018/1/4,新北市,五股區,4
2018,2,2018/1/4,新北市,泰山區,2
2018,2,2018/1/4,新北市,林口區,3
2018,2,2018/1/4,新北市,深坑區,1
2018,2,2018/1/4,新北市,三芝區,4
2018,2,2018/1/4,新北市,八里區,4
2018,2,2018/1/4,新北市,金山區,1
2018,2,2018/1/4,新北市,萬里區,1
2018,2,2018/1/4,臺北市,松山區,2
2018,2,2018/1/4,臺北市,信義區,7
2018,2,2018/1/4,臺北市,大安區,8
2018,2,2018/1/4,臺北市,中山區,11
2018,2,2018/1/4,臺北市,中正區,1
2018,2,2018/1/4,臺北市,大同區,5
2018,2,2018/1/4,臺北市,萬華區,10
2018,2,2018/1/4,臺北市,文山區,5
2018,2,2018/1/4,臺北市,南港區,4
2018,2,2018/1/4,臺北市,內湖區,8
2018,2,2018/1/4,臺北市,士林區,14
2018,2,2018/1/4,臺北市,北投區,18
2018,2,2018/1/4,桃園市,桃園區,25
2018,2,2018/1/4,桃園市,中壢區,17
2018,2,2018/1/4,桃園市,平鎮區,14
2018,2,2018/1/4,桃園市,八德區,6
2018,2,2018/1/4,桃園市,楊梅區,19
2018,2,2018/1/4,桃園市,大溪區,2
2018,2,2018/1/4,桃園市,蘆竹區,8
2018,2,2018/1/4,桃園市,大園區,1
2018,2,2018/1/4,桃園市,龜山區,15
2018,2,2018/1/4,桃園市,龍潭區,3
2018,2,2018/1/4,臺中市,中區,1
2018,2,2018/1/4,臺中市,東區,4
2018,2,2018/1/4,臺中市,南區,2
2018,2,2018/1/4,臺中市,西區,2
2018,2,2018/1/4,臺中市,北區,9
2018,2,2018/1/4,臺中市,西屯區,15
2018,2,2018/1/4,臺中市,南屯區,4
2018,2,2018/1/4,臺中市,北屯區,8
2018,2,2018/1/4,臺中市,豐原區,5
2018,2,2018/1/4,臺中市,清水區,2
2018,2,2018/1/4,臺中市,后里區,3
2018,2,2018/1/4,臺中市,神岡區,1
2018,2,2018/1/4,臺中市,潭子區,4
2018,2,2018/1/4,臺中市,大雅區,2
2018,2,2018/1/4,臺中市,新社區,1
2018,2,2018/1/4,臺中市,外埔區,2
2018,2,2018/1/4,臺中市,大肚區,2
2018,2,2018/1/4,臺中市,龍井區,1
2018,2,2018/1/4,臺中市,霧峰區,4
2018,2,2018/1/4,臺中市,大里區,5
2018,2,2018/1/4,臺南市,新營區,4
2018,2,2018/1/4,臺南市,鹽水區,1
2018,2,2018/1/4,臺南市,柳營區,2
2018,2,2018/1/4,臺南市,後壁區,1
2018,2,2018/1/4,臺南市,麻豆區,3
2018,2,2018/1/4,臺南市,下營區,3
2018,2,2018/1/4,臺南市,六甲區,2
2018,2,2018/1/4,臺南市,佳里區,2
2018,2,2018/1/4,臺南市,學甲區,2
2018,2,2018/1/4,臺南市,新化區,2
2018,2,2018/1/4,臺南市,新市區,2
2018,2,2018/1/4,臺南市,安定區,2
2018,2,2018/1/4,臺南市,山上區,1
2018,2,2018/1/4,臺南市,仁德區,4
2018,2,2018/1/4,臺南市,歸仁區,2
2018,2,2018/1/4,臺南市,永康區,13
2018,2,2018/1/4,臺南市,東區,4
2018,2,2018/1/4,臺南市,南區,6
2018,2,2018/1/4,臺南市,北區,4
2018,2,2018/1/4,臺南市,安南區,5
2018,2,2018/1/4,臺南市,中西區,4
2018,2,2018/1/4,高雄市,鼓山區,6
2018,2,2018/1/4,高雄市,左營區,8
2018,2,2018/1/4,高雄市,楠梓區,9
2018,2,2018/1/4,高雄市,三民區,13
2018,2,2018/1/4,高雄市,新興區,3
2018,2,2018/1/4,高雄市,苓雅區,3
2018,2,2018/1/4,高雄市,前鎮區,4
2018,2,2018/1/4,高雄市,小港區,4
2018,2,2018/1/4,高雄市,鳳山區,15
2018,2,2018/1/4,高雄市,林園區,4
2018,2,2018/1/4,高雄市,大寮區,7
2018,2,2018/1/4,高雄市,大樹區,1
2018,2,2018/1/4,高雄市,大社區,7
2018,2,2018/1/4,高雄市,仁武區,3
2018,2,2018/1/4,高雄市,鳥松區,2
2018,2,2018/1/4,高雄市,岡山區,5
2018,2,2018/1/4,高雄市,橋頭區,1
2018,2,2018/1/4,高雄市,路竹區,2
2018,2,2018/1/4,高雄市,湖內區,2
2018,2,2018/1/4,高雄市,茄萣區,1
2018,2,2018/1/4,高雄市,彌陀區,2
2018,2,2018/1/4,高雄市,梓官區,2
2018,2,2018/1/4,高雄市,旗山區,3
2018,2,2018/1/4,高雄市,美濃區,1
2018,2,2018/1/4,高雄市,六龜區,1
2018,2,2018/1/4,高雄市,杉林區,1
2018,2,2018/1/4,高雄市,茂林區,1
2018,2,2018/1/4,宜蘭縣,宜蘭市,2
2018,2,2018/1/4,宜蘭縣,蘇澳鎮,1
2018,2,2018/1/4,宜蘭縣,頭城鎮,2
2018,2,2018/1/4,宜蘭縣,礁溪鄉,1
2018,2,2018/1/4,宜蘭縣,員山鄉,1
2018,2,2018/1/4,宜蘭縣,冬山鄉,2
2018,2,2018/1/4,宜蘭縣,五結鄉,4
2018,2,2018/1/4,宜蘭縣,三星鄉,1
2018,2,2018/1/4,新竹縣,竹北市,7
2018,2,2018/1/4,新竹縣,新埔鎮,1
2018,2,2018/1/4,新竹縣,竹東鎮,3
2018,2,2018/1/4,新竹縣,湖口鄉,5
2018,2,2018/1/4,新竹縣,新豐鄉,2
2018,2,2018/1/4,新竹縣,寶山鄉,3
2018,2,2018/1/4,新竹縣,峨眉鄉,1
2018,2,2018/1/4,苗栗縣,苗栗市,3
2018,2,2018/1/4,苗栗縣,苑裡鎮,2
2018,2,2018/1/4,苗栗縣,通霄鎮,2
2018,2,2018/1/4,苗栗縣,竹南鎮,2
2018,2,2018/1/4,苗栗縣,頭份鎮,1
2018,2,2018/1/4,苗栗縣,後龍鎮,2
2018,2,2018/1/4,苗栗縣,卓蘭鎮,1
2018,2,2018/1/4,苗栗縣,大湖鄉,13
2018,2,2018/1/4,苗栗縣,銅鑼鄉,1
2018,2,2018/1/4,彰化縣,彰化市,9
2018,2,2018/1/4,彰化縣,和美鎮,1
2018,2,2018/1/4,彰化縣,北斗鎮,1
2018,2,2018/1/4,彰化縣,員林鎮,3
2018,2,2018/1/4,彰化縣,田中鎮,1
2018,2,2018/1/4,彰化縣,伸港鄉,2
2018,2,2018/1/4,彰化縣,福興鄉,3
2018,2,2018/1/4,彰化縣,秀水鄉,2
2018,2,2018/1/4,彰化縣,花壇鄉,2
2018,2,2018/1/4,彰化縣,埔鹽鄉,1
2018,2,2018/1/4,彰化縣,埔心鄉,1
2018,2,2018/1/4,彰化縣,永靖鄉,1
2018,2,2018/1/4,彰化縣,社頭鄉,2
2018,2,2018/1/4,彰化縣,二水鄉,1
2018,2,2018/1/4,彰化縣,大城鄉,1
2018,2,2018/1/4,彰化縣,溪州鄉,1
2018,2,2018/1/4,南投縣,南投市,2
2018,2,2018/1/4,南投縣,埔里鎮,5
2018,2,2018/1/4,南投縣,草屯鎮,2
2018,2,2018/1/4,南投縣,竹山鎮,4
2018,2,2018/1/4,南投縣,集集鎮,2
2018,2,2018/1/4,南投縣,名間鄉,1
2018,2,2018/1/4,南投縣,魚池鄉,1
2018,2,2018/1/4,南投縣,水里鄉,2
2018,2,2018/1/4,雲林縣,斗六市,8
2018,2,2018/1/4,雲林縣,斗南鎮,5
2018,2,2018/1/4,雲林縣,虎尾鎮,4
2018,2,2018/1/4,雲林縣,北港鎮,2
2018,2,2018/1/4,雲林縣,大埤鄉,2
2018,2,2018/1/4,雲林縣,莿桐鄉,2
2018,2,2018/1/4,雲林縣,林內鄉,1
2018,2,2018/1/4,雲林縣,崙背鄉,1
2018,2,2018/1/4,雲林縣,麥寮鄉,1
2018,2,2018/1/4,雲林縣,台西鄉,2
2018,2,2018/1/4,雲林縣,水林鄉,1
2018,2,2018/1/4,嘉義縣,朴子市,3
2018,2,2018/1/4,嘉義縣,民雄鄉,1
2018,2,2018/1/4,嘉義縣,東石鄉,1
2018,2,2018/1/4,嘉義縣,水上鄉,2
2018,2,2018/1/4,嘉義縣,中埔鄉,1
2018,2,2018/1/4,屏東縣,屏東市,10
2018,2,2018/1/4,屏東縣,潮州鎮,6
2018,2,2018/1/4,屏東縣,恆春鎮,2
2018,2,2018/1/4,屏東縣,萬丹鄉,3
2018,2,2018/1/4,屏東縣,里港鄉,2
2018,2,2018/1/4,屏東縣,鹽埔鄉,1
2018,2,2018/1/4,屏東縣,高樹鄉,2
2018,2,2018/1/4,屏東縣,萬巒鄉,1
2018,2,2018/1/4,屏東縣,新埤鄉,2
2018,2,2018/1/4,屏東縣,枋寮鄉,1
2018,2,2018/1/4,屏東縣,林邊鄉,1
2018,2,2018/1/4,屏東縣,枋山鄉,1
2018,2,2018/1/4,屏東縣,三地門鄉,1
2018,2,2018/1/4,屏東縣,泰武鄉,1
2018,2,2018/1/4,屏東縣,春日鄉,1
2018,2,2018/1/4,臺東縣,卑南鄉,1
2018,2,2018/1/4,臺東縣,大武鄉,1
2018,2,2018/1/4,臺東縣,太麻里鄉,1
2018,2,2018/1/4,臺東縣,長濱鄉,1
2018,2,2018/1/4,花蓮縣,花蓮市,10
2018,2,2018/1/4,花蓮縣,玉里鎮,2
2018,2,2018/1/4,花蓮縣,新城鄉,1
2018,2,2018/1/4,花蓮縣,吉安鄉,4
2018,2,2018/1/4,花蓮縣,壽豐鄉,1
2018,2,2018/1/4,花蓮縣,光復鄉,1
2018,2,2018/1/4,花蓮縣,秀林鄉,2
2018,2,2018/1/4,澎湖縣,馬公市,1
2018,2,2018/1/4,澎湖縣,西嶼鄉,1
2018,2,2018/1/4,基隆市,中正區,7
2018,2,2018/1/4,基隆市,仁愛區,6
2018,2,2018/1/4,基隆市,中山區,2
2018,2,2018/1/4,基隆市,安樂區,5
2018,2,2018/1/4,基隆市,信義區,6
2018,2,2018/1/4,新竹市,新竹市,18
2018,2,2018/1/4,嘉義市,嘉義市,8
2018,3,2018/1/7,新北市,板橋區,24
2018,3,2018/1/7,新北市,三重區,23
2018,3,2018/1/7,新北市,中和區,19
2018,3,2018/1/7,新北市,永和區,9
2018,3,2018/1/7,新北市,新莊區,16
2018,3,2018/1/7,新北市,新店區,15
2018,3,2018/1/7,新北市,樹林區,5
2018,3,2018/1/7,新北市,鶯歌區,2
2018,3,2018/1/7,新北市,三峽區,2
2018,3,2018/1/7,新北市,淡水區,9
2018,3,2018/1/7,新北市,汐止區,9
2018,3,2018/1/7,新北市,瑞芳區,2
2018,3,2018/1/7,新北市,土城區,16
2018,3,2018/1/7,新北市,蘆洲區,15
2018,3,2018/1/7,新北市,五股區,1
2018,3,2018/1/7,新北市,林口區,7
2018,3,2018/1/7,新北市,三芝區,3
2018,3,2018/1/7,新北市,八里區,2
2018,3,2018/1/7,新北市,金山區,1
2018,3,2018/1/7,新北市,萬里區,1
2018,3,2018/1/7,臺北市,松山區,9
2018,3,2018/1/7,臺北市,信義區,13
2018,3,2018/1/7,臺北市,大安區,13
2018,3,2018/1/7,臺北市,中山區,13
2018,3,2018/1/7,臺北市,中正區,6
2018,3,2018/1/7,臺北市,大同區,2
2018,3,2018/1/7,臺北市,萬華區,4
2018,3,2018/1/7,臺北市,文山區,15
2018,3,2018/1/7,臺北市,南港區,3
2018,3,2018/1/7,臺北市,內湖區,12
2018,3,2018/1/7,臺北市,士林區,10
2018,3,2018/1/7,臺北市,北投區,30
2018,3,2018/1/7,桃園市,桃園區,28
2018,3,2018/1/7,桃園市,中壢區,17
2018,3,2018/1/7,桃園市,平鎮區,7
2018,3,2018/1/7,桃園市,八德區,12
2018,3,2018/1/7,桃園市,楊梅區,10
2018,3,2018/1/7,桃園市,大溪區,3
2018,3,2018/1/7,桃園市,蘆竹區,4
2018,3,2018/1/7,桃園市,大園區,4
2018,3,2018/1/7,桃園市,龜山區,9
2018,3,2018/1/7,桃園市,龍潭區,8
2018,3,2018/1/7,桃園市,新屋區,1
2018,3,2018/1/7,桃園市,觀音區,3
2018,3,2018/1/7,臺中市,中區,1
2018,3,2018/1/7,臺中市,東區,4
2018,3,2018/1/7,臺中市,南區,3
2018,3,2018/1/7,臺中市,西區,1
2018,3,2018/1/7,臺中市,北區,3
2018,3,2018/1/7,臺中市,西屯區,5
2018,3,2018/1/7,臺中市,南屯區,4
2018,3,2018/1/7,臺中市,北屯區,11
2018,3,2018/1/7,臺中市,豐原區,4
2018,3,2018/1/7,臺中市,東勢區,3
2018,3,2018/1/7,臺中市,清水區,1
2018,3,2018/1/7,臺中市,沙鹿區,1
2018,3,2018/1/7,臺中市,梧棲區,1
2018,3,2018/1/7,臺中市,潭子區,1
2018,3,2018/1/7,臺中市,大雅區,1
2018,3,2018/1/7,臺中市,新社區,1
2018,3,2018/1/7,臺中市,大肚區,1
2018,3,2018/1/7,臺中市,霧峰區,2
2018,3,2018/1/7,臺中市,大里區,1
2018,3,2018/1/7,臺南市,新營區,11
2018,3,2018/1/7,臺南市,鹽水區,3
2018,3,2018/1/7,臺南市,東山區,1
2018,3,2018/1/7,臺南市,麻豆區,2
2018,3,2018/1/7,臺南市,六甲區,1
2018,3,2018/1/7,臺南市,佳里區,5
2018,3,2018/1/7,臺南市,學甲區,2
2018,3,2018/1/7,臺南市,將軍區,1
2018,3,2018/1/7,臺南市,新化區,1
2018,3,2018/1/7,臺南市,善化區,1
2018,3,2018/1/7,臺南市,仁德區,7
2018,3,2018/1/7,臺南市,關廟區,3
2018,3,2018/1/7,臺南市,永康區,7
2018,3,2018/1/7,臺南市,東區,3
2018,3,2018/1/7,臺南市,南區,9
2018,3,2018/1/7,臺南市,北區,9
2018,3,2018/1/7,臺南市,安南區,5
2018,3,2018/1/7,臺南市,安平區,4
2018,3,2018/1/7,臺南市,中西區,4
2018,3,2018/1/7,高雄市,鼓山區,11
2018,3,2018/1/7,高雄市,左營區,16
2018,3,2018/1/7,高雄市,楠梓區,11
