年月,年,月,屬性,值
2023年5月,2023,5月,餐館,66237895
2023年5月,2023,5月,外燴及團膳承包業,4871458
2023年5月,2023,5月,飲料店,10425460
2023年6月,2023,6月,餐館,65722862
2023年6月,2023,6月,外燴及團膳承包業,5150638
2023年6月,2023,6月,飲料店,10552347
2023年7月,2023,7月,餐館,71877031
2023年7月,2023,7月,外燴及團膳承包業,4576435
2023年7月,2023,7月,飲料店,11082484
2023年8月,2023,8月,餐館,71708485
2023年8月,2023,8月,外燴及團膳承包業,4414190
2023年8月,2023,8月,飲料店,11286463
2023年9月,2023,9月,餐館,65403862
2023年9月,2023,9月,外燴及團膳承包業,4821258
2023年9月,2023,9月,飲料店,10987030
2023年10月,2023,10月,餐館,67524017
2023年10月,2023,10月,外燴及團膳承包業,5394236
2023年10月,2023,10月,飲料店,10502008
2023年11月,2023,11月,餐館,63449102
2023年11月,2023,11月,外燴及團膳承包業,5613024
2023年11月,2023,11月,飲料店,10608309
2023年12月,2023,12月,餐館,74203589
2023年12月,2023,12月,外燴及團膳承包業,5942216
2023年12月,2023,12月,飲料店,11761303
2024年1月,2024,1月,餐館,72521662
2024年1月,2024,1月,外燴及團膳承包業,5637787
2024年1月,2024,1月,飲料店,11618789
2024年2月,2024,2月,餐館,76552225
2024年2月,2024,2月,外燴及團膳承包業,4260029
2024年2月,2024,2月,飲料店,10383421
2024年3月,2024,3月,餐館,67186637
2024年3月,2024,3月,外燴及團膳承包業,5138358
2024年3月,2024,3月,飲料店,10834029
2024年4月,2024,4月,餐館,63507650
2024年4月,2024,4月,外燴及團膳承包業,5660980
2024年4月,2024,4月,飲料店,10806124
2024年5月,2024,5月,餐館,67765636
2024年5月,2024,5月,外燴及團膳承包業,5810734
2024年5月,2024,5月,飲料店,11091987
2024年6月,2024,6月,餐館,70039677
2024年6月,2024,6月,外燴及團膳承包業,5705793
2024年6月,2024,6月,飲料店,11252723
2024年7月,2024,7月,餐館,68932538
2024年7月,2024,7月,外燴及團膳承包業,4798014
2024年7月,2024,7月,飲料店,11068535
2024年8月,2024,8月,餐館,72853588
2024年8月,2024,8月,外燴及團膳承包業,4699160
2024年8月,2024,8月,飲料店,11462350
2024年9月,2024,9月,餐館,67747451
2024年9月,2024,9月,外燴及團膳承包業,5448929
2024年9月,2024,9月,飲料店,11065857
2024年10月,2024,10月,餐館,65285463
2024年10月,2024,10月,外燴及團膳承包業,5915110
2024年10月,2024,10月,飲料店,10731999
2024年11月,2024,11月,餐館,68932820
2024年11月,2024,11月,外燴及團膳承包業,6219072
2024年11月,2024,11月,飲料店,10862549
2024年12月,2024,12月,餐館,77421090
2024年12月,2024,12月,外燴及團膳承包業,6599113
2024年12月,2024,12月,飲料店,11952130
2025年1月,2025,1月,餐館,87429734
2025年1月,2025,1月,外燴及團膳承包業,5725697
2025年1月,2025,1月,飲料店,12456689
2025年2月,2025,2月,餐館,67403127
2025年2月,2025,2月,外燴及團膳承包業,5006662
2025年2月,2025,2月,飲料店,10435352
2025年3月,2025,3月,餐館,68399035
2025年3月,2025,3月,外燴及團膳承包業,5883860
2025年3月,2025,3月,飲料店,11407664
2025年4月,2025,4月,餐館,63796700
2025年4月,2025,4月,外燴及團膳承包業,6255073
2025年4月,2025,4月,飲料店,11490705
2025年5月,2025,5月,餐館,72140290
2025年5月,2025,5月,外燴及團膳承包業,6249177
2025年5月,2025,5月,飲料店,12027499
2025年6月,2025,6月,餐館,67539794
2025年6月,2025,6月,外燴及團膳承包業,6184741
2025年6月,2025,6月,飲料店,11542187
2025年7月,2025,7月,餐館,69256660
2025年7月,2025,7月,外燴及團膳承包業,5415639
2025年7月,2025,7月,飲料店,11890146
2025年8月,2025,8月,餐館,75866072
2025年8月,2025,8月,外燴及團膳承包業,5041370
2025年8月,2025,8月,飲料店,12377650
2025年9月,2025,9月,餐館,64739193
2025年9月,2025,9月,外燴及團膳承包業,5890722
2025年9月,2025,9月,飲料店,12305005
2025年10月,2025,10月,餐館,70651574
2025年10月,2025,10月,外燴及團膳承包業,6507294
2025年10月,2025,10月,飲料店,12310947
2025年11月,2025,11月,餐館,70611332
2025年11月,2025,11月,外燴及團膳承包業,6502064
2025年11月,2025,11月,飲料店,11732050
2025年12月,2025,12月,餐館,75466065
2025年12月,2025,12月,外燴及團膳承包業,6899228
2025年12月,2025,12月,飲料店,12587446
2026年1月,2026,1月,餐館,77497777
2026年1月,2026,1月,外燴及團膳承包業,6731464
2026年1月,2026,1月,飲料店,12473208
2026年2月,2026,2月,餐館,83452023
2026年2月,2026,2月,外燴及團膳承包業,4843229
2026年2月,2026,2月,飲料店,12042381
