開店數統計11009.xls,NULL,563,　　飲料業,26881,11009
開店數統計11010.xls,56,NULL,　餐飲業,157762,11010
開店數統計11010.xls,NULL,561,　　餐食業,128537,11010
開店數統計11010.xls,NULL,562,　　外燴及團膳承包業,2254,11010
開店數統計11010.xls,NULL,563,　　飲料業,26971,11010
開店數統計11011.xls,56,NULL,　餐飲業,158611,11011
開店數統計11011.xls,NULL,561,　　餐食業,129224,11011
開店數統計11011.xls,NULL,562,　　外燴及團膳承包業,2252,11011
開店數統計11011.xls,NULL,563,　　飲料業,27135,11011
開店數統計11012.xls,56,NULL,　餐飲業,159284,11012
開店數統計11012.xls,NULL,561,　　餐食業,129789,11012
開店數統計11012.xls,NULL,562,　　外燴及團膳承包業,2257,11012
開店數統計11012.xls,NULL,563,　　飲料業,27238,11012
開店數統計11101.xls,56,NULL,　餐飲業,160138,11101
開店數統計11101.xls,NULL,561,　　餐食業,130469,11101
開店數統計11101.xls,NULL,562,　　外燴及團膳承包業,2255,11101
開店數統計11101.xls,NULL,563,　　飲料業,27414,11101
開店數統計11102.xls,56,NULL,　餐飲業,160067,11102
開店數統計11102.xls,NULL,561,　　餐食業,130451,11102
開店數統計11102.xls,NULL,562,　　外燴及團膳承包業,2250,11102
開店數統計11102.xls,NULL,563,　　飲料業,27366,11102
NULL,NULL,NULL,NULL,NULL,NULL
