Stock_Name,日期,Close,High,Low,Open,Volume,Ticker
儒鴻,2023/5/31,469,471,466,466,698374,1476
儒鴻,2023/6/1,470.5,471.5,462.5,470,329443,1476
儒鴻,2023/6/2,485,489,475.5,477.5,1205275,1476
儒鴻,2023/6/5,485,488.5,478,488.5,1204098,1476
儒鴻,2023/6/6,493.5,498,484,486,1301280,1476
儒鴻,2023/6/7,489,489.5,483,489.5,781998,1476
儒鴻,2023/6/8,487,489,481,484,687521,1476
儒鴻,2023/6/9,487.5,487.5,480,486,899211,1476
儒鴻,2023/6/12,489.5,491.5,485,488,412968,1476
儒鴻,2023/6/13,483.5,491.5,483,490,607021,1476
儒鴻,2023/6/14,487.5,489,480.5,483.5,883974,1476
儒鴻,2023/6/15,495.5,495.5,477,479,1573881,1476
儒鴻,2023/6/16,493,497,486,495,1465191,1476
儒鴻,2023/6/19,496,508,489.5,500,1313250,1476
儒鴻,2023/6/20,490,499.5,490,497,975964,1476
儒鴻,2023/6/21,500,503,490.5,492.5,881216,1476
儒鴻,2023/6/26,502,507,496.5,504,914125,1476
儒鴻,2023/6/27,510,515,500,500,866079,1476
儒鴻,2023/6/28,509,515,503,512,767465,1476
儒鴻,2023/6/29,510,520,507,515,344132,1476
儒鴻,2023/6/30,499.5,502,490,499,758976,1476
儒鴻,2023/7/3,507,512,496,501,367150,1476
儒鴻,2023/7/4,520,521,508,515,521212,1476
儒鴻,2023/7/5,510,518,505,518,486201,1476
儒鴻,2023/7/6,499.5,508,497.5,501,797104,1476
儒鴻,2023/7/7,495,499.5,489.5,499.5,567972,1476
儒鴻,2023/7/10,489,497.5,488,488,665122,1476
儒鴻,2023/7/11,494.5,499,491.5,495,362976,1476
儒鴻,2023/7/12,494,495,490,491,345039,1476
儒鴻,2023/7/13,487,497,487,497,583498,1476
儒鴻,2023/7/14,490.5,496.5,489,494,643979,1476
儒鴻,2023/7/17,495.5,500,490.5,490.5,264095,1476
儒鴻,2023/7/18,500,504,492,492,466940,1476
儒鴻,2023/7/19,507,512,498,507,870060,1476
儒鴻,2023/7/20,521,523,513,514,1018192,1476
儒鴻,2023/7/21,523,528,513,522,924269,1476
儒鴻,2023/7/24,535,541,520,526,1038362,1476
儒鴻,2023/7/25,549,554,535,539,1218199,1476
儒鴻,2023/7/26,555,561,550,550,965504,1476
儒鴻,2023/7/27,545,560,534,551,1053006,1476
儒鴻,2023/7/28,547,550,537,541,478250,1476
儒鴻,2023/7/31,542,553,541,541,604038,1476
儒鴻,2023/8/1,541,548,539,548,435990,1476
儒鴻,2023/8/2,536,560,531,560,790259,1476
