月,年,月2,行業別,營業額(千元)
2019年3月,2019,3月,零售式量販業,15675090
2019年3月,2019,3月,其他綜合商品零售業,13879321
2019年3月,2019,3月,食品、飲料及菸草製品零售業,22535632
2019年3月,2019,3月,文教育樂用品零售業,6257994
2019年3月,2019,3月,燃料及相關產品零售業,21976619
2019年3月,2019,3月,資通訊及家電設備零售業,19247677
2019年3月,2019,3月,汽機車及其零配件、用品零售業,51814140
2019年3月,2019,3月,電子購物及郵購業,19364845
2019年3月,2019,3月,餐飲業,63717611
2019年4月,2019,4月,百貨公司業,30124882
2019年4月,2019,4月,超級市場業,15782987
2019年4月,2019,4月,便利商店業,26398777
2019年4月,2019,4月,零售式量販業,14992878
2019年4月,2019,4月,其他綜合商品零售業,14818099
2019年4月,2019,4月,食品、飲料及菸草製品零售業,22184788
2019年4月,2019,4月,文教育樂用品零售業,6157866
2019年4月,2019,4月,燃料及相關產品零售業,22346398
2019年4月,2019,4月,資通訊及家電設備零售業,20169052
2019年4月,2019,4月,汽機車及其零配件、用品零售業,54803817
2019年4月,2019,4月,電子購物及郵購業,18972600
2019年4月,2019,4月,餐飲業,60303338
2019年5月,2019,5月,百貨公司業,29263010
2019年5月,2019,5月,超級市場業,16460538
2019年5月,2019,5月,便利商店業,27581786
2019年5月,2019,5月,零售式量販業,15893290
2019年5月,2019,5月,其他綜合商品零售業,15401532
2019年5月,2019,5月,食品、飲料及菸草製品零售業,23623306
2019年5月,2019,5月,文教育樂用品零售業,6284251
2019年5月,2019,5月,燃料及相關產品零售業,23453171
2019年5月,2019,5月,資通訊及家電設備零售業,20291009
2019年5月,2019,5月,汽機車及其零配件、用品零售業,57176987
2019年5月,2019,5月,電子購物及郵購業,20568248
2019年5月,2019,5月,餐飲業,65693788
2019年6月,2019,6月,百貨公司業,25701701
2019年6月,2019,6月,超級市場業,16223119
2019年6月,2019,6月,便利商店業,28016613
2019年6月,2019,6月,零售式量販業,16518215
2019年6月,2019,6月,其他綜合商品零售業,14265676
2019年6月,2019,6月,食品、飲料及菸草製品零售業,21711817
2019年6月,2019,6月,文教育樂用品零售業,6077841
2019年6月,2019,6月,燃料及相關產品零售業,23200791
2019年6月,2019,6月,資通訊及家電設備零售業,19460191
2019年6月,2019,6月,汽機車及其零配件、用品零售業,58308749
2019年6月,2019,6月,電子購物及郵購業,19925447
2019年6月,2019,6月,餐飲業,66496157
2019年7月,2019,7月,百貨公司業,25974139
2019年7月,2019,7月,超級市場業,17405420
2019年7月,2019,7月,便利商店業,29040900
2019年7月,2019,7月,零售式量販業,17506009
2019年7月,2019,7月,其他綜合商品零售業,14255932
2019年7月,2019,7月,食品、飲料及菸草製品零售業,22497177
2019年7月,2019,7月,文教育樂用品零售業,6536651
2019年7月,2019,7月,燃料及相關產品零售業,23109333
2019年7月,2019,7月,資通訊及家電設備零售業,21926887
2019年7月,2019,7月,汽機車及其零配件、用品零售業,69307703
2019年7月,2019,7月,電子購物及郵購業,20157698
2019年7月,2019,7月,餐飲業,67303879
2019年8月,2019,8月,百貨公司業,26394920
2019年8月,2019,8月,超級市場業,19904855
2019年8月,2019,8月,便利商店業,28658054
2019年8月,2019,8月,零售式量販業,20600130
2019年8月,2019,8月,其他綜合商品零售業,14459136
2019年8月,2019,8月,食品、飲料及菸草製品零售業,25321000
2019年8月,2019,8月,文教育樂用品零售業,6553328
2019年8月,2019,8月,燃料及相關產品零售業,22649735
2019年8月,2019,8月,資通訊及家電設備零售業,20247287
2019年8月,2019,8月,汽機車及其零配件、用品零售業,42325614
2019年8月,2019,8月,電子購物及郵購業,21049254
2019年8月,2019,8月,餐飲業,70008935
2019年9月,2019,9月,百貨公司業,26145196
2019年9月,2019,9月,超級市場業,17173527
2019年9月,2019,9月,便利商店業,27501357
2019年9月,2019,9月,零售式量販業,17575829
2019年9月,2019,9月,其他綜合商品零售業,12819816
2019年9月,2019,9月,食品、飲料及菸草製品零售業,25263547
2019年9月,2019,9月,文教育樂用品零售業,5974653
2019年9月,2019,9月,燃料及相關產品零售業,21723134
2019年9月,2019,9月,資通訊及家電設備零售業,20074031
2019年9月,2019,9月,汽機車及其零配件、用品零售業,55546716
2019年9月,2019,9月,電子購物及郵購業,19954665
2019年9月,2019,9月,餐飲業,62615899
2019年10月,2019,10月,百貨公司業,40735723
2019年10月,2019,10月,超級市場業,17462625
2019年10月,2019,10月,便利商店業,28141572
2019年10月,2019,10月,零售式量販業,15629490
2019年10月,2019,10月,其他綜合商品零售業,13971282
2019年10月,2019,10月,食品、飲料及菸草製品零售業,24102362
2019年10月,2019,10月,文教育樂用品零售業,6500604
2019年10月,2019,10月,燃料及相關產品零售業,22015184
2019年10月,2019,10月,資通訊及家電設備零售業,20535036
2019年10月,2019,10月,汽機車及其零配件、用品零售業,60953362
2019年10月,2019,10月,電子購物及郵購業,20781030
2019年10月,2019,10月,餐飲業,62765102
2019年11月,2019,11月,百貨公司業,39667129
2019年11月,2019,11月,超級市場業,16462176
2019年11月,2019,11月,便利商店業,26864042
2019年11月,2019,11月,零售式量販業,16354276
2019年11月,2019,11月,其他綜合商品零售業,13165899
2019年11月,2019,11月,食品、飲料及菸草製品零售業,22979442
2019年11月,2019,11月,文教育樂用品零售業,6551185
2019年11月,2019,11月,燃料及相關產品零售業,21325228
2019年11月,2019,11月,資通訊及家電設備零售業,20936808
2019年11月,2019,11月,汽機車及其零配件、用品零售業,61151187
2019年11月,2019,11月,電子購物及郵購業,29152558
2019年11月,2019,11月,餐飲業,61974827
2019年12月,2019,12月,百貨公司業,31887817
2019年12月,2019,12月,超級市場業,17036628
2019年12月,2019,12月,便利商店業,27528509
2019年12月,2019,12月,零售式量販業,18060078
2019年12月,2019,12月,其他綜合商品零售業,13760158
2019年12月,2019,12月,食品、飲料及菸草製品零售業,24715293
2019年12月,2019,12月,文教育樂用品零售業,7580201
2019年12月,2019,12月,燃料及相關產品零售業,22987682
2019年12月,2019,12月,資通訊及家電設備零售業,18910313
2019年12月,2019,12月,汽機車及其零配件、用品零售業,68814193
2019年12月,2019,12月,電子購物及郵購業,25595438
2019年12月,2019,12月,餐飲業,70188995
2020年1月,2020,1月,百貨公司業,33297062
2020年1月,2020,1月,超級市場業,18568282
2020年1月,2020,1月,便利商店業,30181690
2020年1月,2020,1月,零售式量販業,24414066
2020年1月,2020,1月,其他綜合商品零售業,13863991
2020年1月,2020,1月,食品、飲料及菸草製品零售業,25355521
2020年1月,2020,1月,文教育樂用品零售業,7463726
2020年1月,2020,1月,燃料及相關產品零售業,22416761
2020年1月,2020,1月,資通訊及家電設備零售業,22272440
2020年1月,2020,1月,汽機車及其零配件、用品零售業,59634696
2020年1月,2020,1月,電子購物及郵購業,24647217
2020年1月,2020,1月,餐飲業,79687845
2020年2月,2020,2月,百貨公司業,21169573
2020年2月,2020,2月,超級市場業,17177413
2020年2月,2020,2月,便利商店業,25004897
2020年2月,2020,2月,零售式量販業,16634597
2020年2月,2020,2月,其他綜合商品零售業,9853865
2020年2月,2020,2月,食品、飲料及菸草製品零售業,19383561
2020年2月,2020,2月,文教育樂用品零售業,5953602
2020年2月,2020,2月,燃料及相關產品零售業,18815441
2020年2月,2020,2月,資通訊及家電設備零售業,18959048
2020年2月,2020,2月,汽機車及其零配件、用品零售業,44593813
2020年2月,2020,2月,電子購物及郵購業,24742484
2020年2月,2020,2月,餐飲業,55891678
2020年3月,2020,3月,百貨公司業,19450138
2020年3月,2020,3月,超級市場業,20185349
2020年3月,2020,3月,便利商店業,26909220
2020年3月,2020,3月,零售式量販業,18792338
2020年3月,2020,3月,其他綜合商品零售業,9135934
2020年3月,2020,3月,食品、飲料及菸草製品零售業,19789743
2020年3月,2020,3月,文教育樂用品零售業,5663799
2020年3月,2020,3月,燃料及相關產品零售業,17295774
2020年3月,2020,3月,資通訊及家電設備零售業,18936411
2020年3月,2020,3月,汽機車及其零配件、用品零售業,55977704
2020年3月,2020,3月,電子購物及郵購業,25738666
2020年3月,2020,3月,餐飲業,50489651
2020年4月,2020,4月,百貨公司業,23506679
2020年4月,2020,4月,超級市場業,17932756
2020年4月,2020,4月,便利商店業,26417326
2020年4月,2020,4月,零售式量販業,15806028
2020年4月,2020,4月,其他綜合商品零售業,8573235
2020年4月,2020,4月,食品、飲料及菸草製品零售業,19301847
2020年4月,2020,4月,文教育樂用品零售業,6271128
2020年4月,2020,4月,燃料及相關產品零售業,13465694
2020年4月,2020,4月,資通訊及家電設備零售業,19073870
2020年4月,2020,4月,汽機車及其零配件、用品零售業,53018232
2020年4月,2020,4月,電子購物及郵購業,24118468
2020年4月,2020,4月,餐飲業,46515258
2020年5月,2020,5月,百貨公司業,27447425
2020年5月,2020,5月,超級市場業,17663126
2020年5月,2020,5月,便利商店業,28800988
2020年5月,2020,5月,零售式量販業,18037839
2020年5月,2020,5月,其他綜合商品零售業,9416004
2020年5月,2020,5月,食品、飲料及菸草製品零售業,20291588
2020年5月,2020,5月,文教育樂用品零售業,6902045
2020年5月,2020,5月,燃料及相關產品零售業,15155338
2020年5月,2020,5月,資通訊及家電設備零售業,20715747
2020年5月,2020,5月,汽機車及其零配件、用品零售業,54278605
2020年5月,2020,5月,電子購物及郵購業,25823850
2020年5月,2020,5月,餐飲業,59913418
2020年6月,2020,6月,百貨公司業,25253193
2020年6月,2020,6月,超級市場業,17155111
2020年6月,2020,6月,便利商店業,29596427
2020年6月,2020,6月,零售式量販業,16927791
2020年6月,2020,6月,其他綜合商品零售業,9095940
2020年6月,2020,6月,食品、飲料及菸草製品零售業,21042230
2020年6月,2020,6月,文教育樂用品零售業,6777316
2020年6月,2020,6月,燃料及相關產品零售業,17459575
2020年6月,2020,6月,資通訊及家電設備零售業,19983382
2020年6月,2020,6月,汽機車及其零配件、用品零售業,62180632
2020年6月,2020,6月,電子購物及郵購業,25173090
2020年6月,2020,6月,餐飲業,61546374
2020年7月,2020,7月,百貨公司業,28687618
2020年7月,2020,7月,超級市場業,18345434
2020年7月,2020,7月,便利商店業,34279833
2020年7月,2020,7月,零售式量販業,18800907
2020年7月,2020,7月,其他綜合商品零售業,10591568
2020年7月,2020,7月,食品、飲料及菸草製品零售業,21234441
2020年7月,2020,7月,文教育樂用品零售業,7915800
2020年7月,2020,7月,燃料及相關產品零售業,19582380
2020年7月,2020,7月,資通訊及家電設備零售業,23349328
2020年7月,2020,7月,汽機車及其零配件、用品零售業,69010860
2020年7月,2020,7月,電子購物及郵購業,25137838
2020年7月,2020,7月,餐飲業,66966678
2020年8月,2020,8月,百貨公司業,28899869
2020年8月,2020,8月,超級市場業,20518317
2020年8月,2020,8月,便利商店業,32251096
2020年8月,2020,8月,零售式量販業,22045874
2020年8月,2020,8月,其他綜合商品零售業,11343008
2020年8月,2020,8月,食品、飲料及菸草製品零售業,23493091
2020年8月,2020,8月,文教育樂用品零售業,8289374
2020年8月,2020,8月,燃料及相關產品零售業,19312936
2020年8月,2020,8月,資通訊及家電設備零售業,22259531
2020年8月,2020,8月,汽機車及其零配件、用品零售業,57056545
2020年8月,2020,8月,電子購物及郵購業,26171283
2020年8月,2020,8月,餐飲業,70726646
2020年9月,2020,9月,百貨公司業,28708746
2020年9月,2020,9月,超級市場業,18254490
2020年9月,2020,9月,便利商店業,28909368
2020年9月,2020,9月,零售式量販業,17568974
2020年9月,2020,9月,其他綜合商品零售業,9736728
2020年9月,2020,9月,食品、飲料及菸草製品零售業,27094446
2020年9月,2020,9月,文教育樂用品零售業,6788623
2020年9月,2020,9月,燃料及相關產品零售業,18619350
2020年9月,2020,9月,資通訊及家電設備零售業,19462330
2020年9月,2020,9月,汽機車及其零配件、用品零售業,58271052
