月,年,月2,行業別,營業額(千元)
2025年6月,2025,6月,百貨公司業,31939653
2025年6月,2025,6月,超級市場業,21874503
2025年6月,2025,6月,便利商店業,37005168
2025年6月,2025,6月,零售式量販業,19604094
2025年6月,2025,6月,其他綜合商品零售業,13636970
2025年6月,2025,6月,食品、飲料及菸草製品零售業,24687403
2025年6月,2025,6月,文教育樂用品零售業,7211753
2025年6月,2025,6月,燃料及相關產品零售業,20782389
2025年6月,2025,6月,資通訊及家電設備零售業,22465891
2025年6月,2025,6月,汽機車及其零配件、用品零售業,71604467
2025年6月,2025,6月,電子購物及郵購業,40990743
2025年6月,2025,6月,餐飲業,85266722
2025年7月,2025,7月,百貨公司業,32361283
2025年7月,2025,7月,超級市場業,23330112
2025年7月,2025,7月,便利商店業,38814905
2025年7月,2025,7月,零售式量販業,19982847
2025年7月,2025,7月,其他綜合商品零售業,13663219
2025年7月,2025,7月,食品、飲料及菸草製品零售業,24241344
2025年7月,2025,7月,文教育樂用品零售業,7600773
2025年7月,2025,7月,燃料及相關產品零售業,20819694
2025年7月,2025,7月,資通訊及家電設備零售業,22653693
2025年7月,2025,7月,汽機車及其零配件、用品零售業,70182060
2025年7月,2025,7月,電子購物及郵購業,38431653
2025年7月,2025,7月,餐飲業,86562445
2025年8月,2025,8月,百貨公司業,34918865
2025年8月,2025,8月,超級市場業,25044993
2025年8月,2025,8月,便利商店業,38687411
2025年8月,2025,8月,零售式量販業,23150059
2025年8月,2025,8月,其他綜合商品零售業,14356784
2025年8月,2025,8月,食品、飲料及菸草製品零售業,24579164
2025年8月,2025,8月,文教育樂用品零售業,7651644
2025年8月,2025,8月,燃料及相關產品零售業,21730452
2025年8月,2025,8月,資通訊及家電設備零售業,22709368
2025年8月,2025,8月,汽機車及其零配件、用品零售業,60605413
2025年8月,2025,8月,電子購物及郵購業,39255001
2025年8月,2025,8月,餐飲業,93285092
2025年9月,2025,9月,百貨公司業,36005493
2025年9月,2025,9月,超級市場業,24207846
2025年9月,2025,9月,便利商店業,36786568
2025年9月,2025,9月,零售式量販業,21293696
2025年9月,2025,9月,其他綜合商品零售業,13805267
2025年9月,2025,9月,食品、飲料及菸草製品零售業,27894697
2025年9月,2025,9月,文教育樂用品零售業,7015739
2025年9月,2025,9月,燃料及相關產品零售業,20685850
2025年9月,2025,9月,資通訊及家電設備零售業,24895368
2025年9月,2025,9月,汽機車及其零配件、用品零售業,64918881
2025年9月,2025,9月,電子購物及郵購業,38328758
2025年9月,2025,9月,餐飲業,82934920
2025年10月,2025,10月,百貨公司業,48341624
2025年10月,2025,10月,超級市場業,23648950
2025年10月,2025,10月,便利商店業,38439863
2025年10月,2025,10月,零售式量販業,21037624
2025年10月,2025,10月,其他綜合商品零售業,14195132
2025年10月,2025,10月,食品、飲料及菸草製品零售業,26527950
2025年10月,2025,10月,文教育樂用品零售業,7715000
2025年10月,2025,10月,燃料及相關產品零售業,21381336
2025年10月,2025,10月,資通訊及家電設備零售業,27753128
2025年10月,2025,10月,汽機車及其零配件、用品零售業,64269920
2025年10月,2025,10月,電子購物及郵購業,38661571
2025年10月,2025,10月,餐飲業,89469815
2025年11月,2025,11月,百貨公司業,49906377
2025年11月,2025,11月,超級市場業,22834485
2025年11月,2025,11月,便利商店業,37272873
2025年11月,2025,11月,零售式量販業,23783986
2025年11月,2025,11月,其他綜合商品零售業,13754536
2025年11月,2025,11月,食品、飲料及菸草製品零售業,24915515
2025年11月,2025,11月,文教育樂用品零售業,8147612
2025年11月,2025,11月,燃料及相關產品零售業,20343867
2025年11月,2025,11月,資通訊及家電設備零售業,27675463
2025年11月,2025,11月,汽機車及其零配件、用品零售業,70312264
2025年11月,2025,11月,電子購物及郵購業,55356355
2025年11月,2025,11月,餐飲業,88845446
2025年12月,2025,12月,百貨公司業,39921836
2025年12月,2025,12月,超級市場業,22186855
2025年12月,2025,12月,便利商店業,37479078
2025年12月,2025,12月,零售式量販業,21673043
2025年12月,2025,12月,其他綜合商品零售業,14620371
2025年12月,2025,12月,食品、飲料及菸草製品零售業,28388301
2025年12月,2025,12月,文教育樂用品零售業,8632615
2025年12月,2025,12月,燃料及相關產品零售業,20839910
2025年12月,2025,12月,資通訊及家電設備零售業,25119612
2025年12月,2025,12月,汽機車及其零配件、用品零售業,83452649
2025年12月,2025,12月,電子購物及郵購業,43864191
2025年12月,2025,12月,餐飲業,94952739
2026年1月,2026,1月,百貨公司業,40552225
2026年1月,2026,1月,超級市場業,22098389
2026年1月,2026,1月,便利商店業,38070156
2026年1月,2026,1月,零售式量販業,24887964
2026年1月,2026,1月,其他綜合商品零售業,14299058
2026年1月,2026,1月,食品、飲料及菸草製品零售業,29576068
2026年1月,2026,1月,文教育樂用品零售業,8437742
2026年1月,2026,1月,燃料及相關產品零售業,20345676
2026年1月,2026,1月,資通訊及家電設備零售業,25311626
2026年1月,2026,1月,汽機車及其零配件、用品零售業,72514833
2026年1月,2026,1月,電子購物及郵購業,43754042
2026年1月,2026,1月,餐飲業,96702449
2026年2月,2026,2月,百貨公司業,42696798
2026年2月,2026,2月,超級市場業,22075999
2026年2月,2026,2月,便利商店業,34838912
2026年2月,2026,2月,零售式量販業,23804197
2026年2月,2026,2月,其他綜合商品零售業,14506849
2026年2月,2026,2月,食品、飲料及菸草製品零售業,27505632
2026年2月,2026,2月,文教育樂用品零售業,8000122
2026年2月,2026,2月,燃料及相關產品零售業,18364652
2026年2月,2026,2月,資通訊及家電設備零售業,23033433
2026年2月,2026,2月,汽機車及其零配件、用品零售業,46023050
2026年2月,2026,2月,電子購物及郵購業,36382145
2026年2月,2026,2月,餐飲業,100337633
