日期,匯率
2020/1/2,29.84399986
2020/1/3,29.89999962
2020/1/6,30.03499985
2020/1/7,30.04700089
2020/1/8,29.98500061
2020/1/9,30.01000023
2020/1/10,29.94300079
2020/1/13,29.96199989
2020/1/14,29.87400055
2020/1/15,29.82600021
2020/1/16,29.93300056
2020/1/17,29.89900017
2020/1/20,29.95000076
2020/1/21,29.89100075
2020/1/22,30.04199982
2020/1/23,29.91900063
2020/1/24,29.97500038
2020/1/27,30.02000046
2020/1/28,30.09499931
2020/1/29,30.00499916
2020/1/30,30.0909996
2020/1/31,30.20499992
2020/2/3,30.34600067
2020/2/4,30.23999977
2020/2/5,30.02799988
2020/2/6,29.95100021
2020/2/7,30.03000069
2020/2/10,30.17700005
2020/2/11,30.02599907
2020/2/12,29.9489994
2020/2/13,29.90999985
2020/2/14,29.98500061
2020/2/17,30.01499939
2020/2/18,30.01600075
2020/2/19,30.05500031
2020/2/20,30.17099953
2020/2/21,30.22500038
2020/2/24,30.38699913
2020/2/25,30.34199905
2020/2/26,30.41300011
2020/2/27,30.20800018
2020/2/28,30.19300079
2020/3/2,30.12400055
2020/3/3,29.80500031
2020/3/4,29.77000046
2020/3/5,29.75
2020/3/6,29.88400078
2020/3/9,29.90099907
2020/3/10,29.98500061
2020/3/11,29.73999977
2020/3/12,30.06900024
2020/3/13,29.94799995
2020/3/16,30.10700035
2020/3/17,30.23600006
2020/3/18,30.03000069
2020/3/19,30.125
2020/3/20,30.32099915
2020/3/23,30.2689991
2020/3/24,30.2159996
2020/3/25,30.14500046
2020/3/26,30.25300026
2020/3/27,30.13100052
2020/3/30,30.16699982
2020/3/31,30.03000069
2020/4/1,30.22999954
2020/4/2,30.21800041
2020/4/3,30.08099937
2020/4/6,30.25
2020/4/7,30.07999992
2020/4/8,30.09700012
2020/4/9,30.06699944
2020/4/10,30.06699944
2020/4/13,30.02599907
2020/4/14,29.85000038
2020/4/15,30.02099991
2020/4/16,29.90500069
2020/4/17,29.93700027
2020/4/20,30.03499985
2020/4/21,30.03000069
2020/4/22,30.09600067
2020/4/23,30.05400085
2020/4/24,29.85499954
2020/4/27,30.07900047
2020/4/28,29.91300011
2020/4/29,29.80500031
2020/4/30,29.62999916
2020/5/1,29.58499908
2020/5/4,29.89299965
2020/5/5,29.61000061
2020/5/6,29.625
2020/5/7,29.99699974
2020/5/8,29.78000069
2020/5/11,29.84000015
2020/5/12,29.8920002
2020/5/13,29.78800011
2020/5/14,29.8920002
2020/5/15,29.87599945
2020/5/18,29.95400047
2020/5/19,29.94000053
2020/5/20,29.84499931
2020/5/21,29.87999916
2020/5/22,29.87599945
2020/5/25,30.06800079
2020/5/26,30.03800011
2020/5/27,29.97500038
2020/5/28,30.02499962
2020/5/29,29.90999985
2020/6/1,29.94400024
2020/6/2,29.83300018
2020/6/3,29.87109947
2020/6/4,29.8579998
2020/6/5,29.84519958
2020/6/8,29.71299934
2020/6/9,29.64999962
2020/6/10,29.59499931
2020/6/11,29.5529995
2020/6/12,29.52499962
2020/6/15,29.62809944
2020/6/16,29.47999954
2020/6/17,29.48500061
2020/6/18,29.48999977
2020/6/19,29.59399986
2020/6/22,29.58399963
2020/6/23,29.43499947
2020/6/24,29.54800034
2020/6/25,29.39500046
2020/6/26,29.37999916
2020/6/29,29.52199936
2020/6/30,29.41150093
2020/7/1,29.39599991
2020/7/2,29.42770004
2020/7/3,29.4321003
2020/7/6,29.45100021
2020/7/7,29.40410042
2020/7/8,29.47900009
2020/7/9,29.34020042
2020/7/10,29.32999992
2020/7/13,29.46299934
2020/7/14,29.45599937
2020/7/15,29.38769913
2020/7/16,29.47699928
2020/7/17,29.36389923
2020/7/20,29.45400047
2020/7/21,29.4470005
2020/7/22,29.40200043
2020/7/23,29.43169975
2020/7/24,29.42670059
2020/7/27,29.45100021
2020/7/28,29.18000031
2020/7/29,29.31200027
2020/7/30,29.25900078
2020/7/31,29.15999985
2020/8/3,29.30999947
2020/8/4,29.24799919
2020/8/5,29.26499939
2020/8/6,29.33810043
2020/8/7,29.36910057
2020/8/10,29.42099953
2020/8/11,29.31299973
2020/8/12,29.31800079
2020/8/13,29.2961998
2020/8/14,29.33889961
2020/8/17,29.38199997
2020/8/18,29.33569908
2020/8/19,29.35470009
2020/8/20,29.41600037
2020/8/21,29.32099915
2020/8/24,29.3920002
2020/8/25,29.29000092
2020/8/26,29.29000092
2020/8/27,29.28170013
2020/8/28,29.32320023
2020/8/31,29.3314991
2020/9/1,29.30800056
2020/9/2,29.30349922
2020/9/3,29.29290009
2020/9/4,29.27899933
2020/9/7,29.3239994
2020/9/8,29.30520058
2020/9/9,29.24699974
2020/9/10,29.28100014
2020/9/11,29.26860046
2020/9/14,29.28199959
2020/9/15,29.12299919
2020/9/16,29.19499969
2020/9/17,29.18000031
2020/9/18,29.12210083
2020/9/21,29.00499916
2020/9/22,28.96870041
2020/9/23,29.03300095
2020/9/24,29.1923008
2020/9/25,29.26409912
2020/9/28,29.25180054
2020/9/29,29.10000038
2020/9/30,28.88999939
2020/10/1,28.91200066
2020/10/2,28.86700058
2020/10/5,28.92000008
2020/10/6,28.7052002
2020/10/7,28.80699921
2020/10/8,28.61300087
2020/10/9,28.63170052
2020/10/12,28.60099983
2020/10/13,28.61000061
2020/10/14,28.8355999
2020/10/15,28.71800041
2020/10/16,28.7329998
2020/10/19,28.77199936
2020/10/20,28.7133007
2020/10/21,28.52300072
2020/10/22,28.6760006
2020/10/23,28.68099976
2020/10/26,28.58300018
2020/10/27,28.59679985
2020/10/28,28.5739994
2020/10/29,28.58300018
2020/10/30,28.36560059
2020/11/2,28.58359909
2020/11/3,28.55830002
2020/11/4,28.59460068
2020/11/5,28.55170059
2020/11/6,28.53129959
2020/11/9,28.57500076
2020/11/10,28.62540054
2020/11/11,28.58709908
2020/11/12,28.50869942
2020/11/13,28.43199921
2020/11/16,28.47999954
2020/11/17,28.51510048
2020/11/18,28.50099945
2020/11/19,28.53000069
2020/11/20,28.48699951
2020/11/23,28.52630043
2020/11/24,28.51790047
2020/11/25,28.4673996
2020/11/26,28.48019981
2020/11/27,28.50970078
2020/11/30,28.51799965
2020/12/1,28.51670074
2020/12/2,28.47299957
2020/12/3,28.44099998
2020/12/4,28.38829994
2020/12/7,28.2159996
2020/12/8,28
2020/12/9,28.22570038
2020/12/10,28.24300003
2020/12/11,28.18670082
2020/12/14,28.18199921
2020/12/15,28.11199951
2020/12/16,28.09799957
2020/12/17,28.11529922
2020/12/18,28.12800026
2020/12/21,28.16900063
2020/12/22,28.13999939
2020/12/23,28.13080025
2020/12/24,28.13500023
2020/12/25,28.11400032
2020/12/28,27.93899918
2020/12/29,28.10700035
2020/12/30,28.12459946
2020/12/31,28.06999969
2021/1/1,28.07869911
2021/1/4,28.05400085
2021/1/5,28.10099983
2021/1/6,27.95499992
2021/1/7,27.82999992
2021/1/8,27.92679977
2021/1/11,28.0170002
2021/1/12,28.02070045
2021/1/13,27.97800064
2021/1/14,28.01799965
2021/1/15,27.98690033
2021/1/18,27.9822998
2021/1/19,27.98220062
2021/1/20,27.91500092
2021/1/21,27.88999939
2021/1/22,27.95879936
2021/1/25,27.95159912
2021/1/26,27.92000008
2021/1/27,27.91799927
2021/1/28,27.93300056
2021/1/29,27.93260002
2021/2/1,28.00099945
2021/2/2,27.95030022
2021/2/3,27.8579998
2021/2/4,27.86400032
2021/2/5,27.9029007
2021/2/8,27.97360039
2021/2/9,27.88089943
2021/2/10,27.85390091
2021/2/11,27.9612999
2021/2/12,27.94309998
2021/2/15,28.01499939
2021/2/16,27.99399948
2021/2/17,28.04000092
2021/2/18,27.91869926
2021/2/19,27.86079979
2021/2/22,27.90780067
2021/2/23,27.80940056
2021/2/24,27.85020065
2021/2/25,27.64999962
2021/2/26,27.76499939
2021/3/1,27.85499954
2021/3/2,27.81900024
2021/3/3,27.73999977
2021/3/4,27.71999931
2021/3/5,27.81299973
2021/3/8,27.92749977
2021/3/9,28.28300095
2021/3/10,28.25200081
2021/3/11,28.20199966
2021/3/12,28.00099945
2021/3/15,28.14570045
2021/3/16,28.17670059
2021/3/17,28.23649979
2021/3/18,28.21759987
2021/3/19,28.40469933
2021/3/22,28.38610077
2021/3/23,28.30859947
2021/3/24,28.40299988
2021/3/25,28.48069954
2021/3/26,28.50329971
2021/3/29,28.58550072
2021/3/30,28.52750015
2021/3/31,28.44109917
2021/4/1,28.37439919
2021/4/2,28.46170044
2021/4/5,28.53050041
2021/4/6,28.38710022
2021/4/7,28.43180084
2021/4/8,28.35040092
2021/4/9,28.37070084
2021/4/12,28.5
2021/4/13,28.39360046
2021/4/14,28.4137001
2021/4/15,28.33370018
2021/4/16,28.24530029
2021/4/19,28.25499916
2021/4/20,28.12700081
2021/4/21,28.02599907
2021/4/22,27.97999954
2021/4/23,28.0862999
2021/4/26,28.03199959
2021/4/27,27.80800056
2021/4/28,27.89719963
2021/4/29,27.78300095
2021/4/30,27.76600075
2021/5/3,27.8465004
2021/5/4,27.92399979
2021/5/5,27.89319992
2021/5/6,27.88500023
2021/5/7,27.94799995
2021/5/10,27.75279999
2021/5/11,27.73130035
2021/5/12,27.91699982
2021/5/13,28.02400017
2021/5/14,27.93700027
2021/5/17,27.9598999
2021/5/18,28.05419922
2021/5/19,27.96549988
2021/5/20,27.89089966
2021/5/21,27.95050049
2021/5/24,27.9489994
2021/5/25,28.01239967
2021/5/26,27.82049942
2021/5/27,27.66799927
2021/5/28,27.78700066
2021/5/31,27.62000084
2021/6/1,27.51670074
2021/6/2,27.58180046
2021/6/3,27.54400063
2021/6/4,27.62380028
2021/6/7,27.5359993
2021/6/8,27.62280083
2021/6/9,27.58690071
2021/6/10,27.77949905
2021/6/11,27.55750084
2021/6/14,27.64100075
2021/6/15,27.63680077
2021/6/16,27.56119919
2021/6/17,27.6779995
2021/6/18,27.68499947
2021/6/21,27.78100014
2021/6/22,27.94750023
2021/6/23,27.95030022
2021/6/24,28.03470039
2021/6/25,27.90609932
2021/6/28,27.86580086
2021/6/29,27.81599998
2021/6/30,27.87590027
2021/7/1,27.81800079
2021/7/2,27.87899971
2021/7/5,27.93799973
2021/7/6,27.96879959
2021/7/7,27.89690018
2021/7/8,27.88159943
2021/7/9,27.95999908
2021/7/12,27.95100021
2021/7/13,27.95919991
2021/7/14,28.01919937
2021/7/15,27.96660042
2021/7/16,27.87969971
2021/7/19,27.97200012
2021/7/20,28.07729912
2021/7/21,27.99909973
2021/7/22,27.96159935
2021/7/23,27.99570084
2021/7/26,28.0182991
2021/7/27,28.04719925
2021/7/28,28.02389908
2021/7/29,27.89900017
2021/7/30,27.84499931
2021/8/2,27.92410088
2021/8/3,27.92090034
2021/8/4,27.85029984
2021/8/5,27.7147007
2021/8/6,27.72640038
2021/8/9,27.82229996
2021/8/10,27.78560066
2021/8/11,27.82620049
2021/8/12,27.79150009
2021/8/13,27.79649925
2021/8/16,27.80800056
2021/8/17,27.78969955
2021/8/18,27.89940071
2021/8/19,27.84219933
2021/8/20,28.01799965
2021/8/23,27.97100067
2021/8/24,27.90119934
2021/8/25,27.89310074
2021/8/26,27.88489914
2021/8/27,27.91659927
2021/8/30,27.87299919
2021/8/31,27.72920036
2021/9/1,27.56870079
2021/9/2,27.67160034
2021/9/3,27.62660027
2021/9/6,27.60700035
2021/9/7,27.53310013
2021/9/8,27.59119987
2021/9/9,27.67070007
2021/9/10,27.62960052
2021/9/13,27.65049934
2021/9/14,27.63940048
2021/9/15,27.63559914
2021/9/16,27.61269951
2021/9/17,27.69300079
2021/9/20,27.78199959
2021/9/21,27.76600075
2021/9/22,27.71859932
2021/9/23,27.70389938
2021/9/24,27.68499947
2021/9/27,27.72699928
2021/9/28,27.6541996
2021/9/29,27.73810005
2021/9/30,27.81240082
2021/10/1,27.83659935
2021/10/4,27.75399971
2021/10/5,27.88229942
2021/10/6,27.87100029
2021/10/7,27.95100021
2021/10/8,27.96850014
2021/10/11,28.04999924
2021/10/12,28.04299927
2021/10/13,28.12870026
2021/10/14,27.99950027
2021/10/15,27.98889923
2021/10/18,28
2021/10/19,27.94919968
2021/10/20,27.82629967
2021/10/21,27.80599976
2021/10/22,27.81850052
2021/10/25,27.83699989
2021/10/26,27.80620003
2021/10/27,27.79630089
2021/10/28,27.76250076
2021/10/29,27.72330093
2021/11/1,27.81669998
2021/11/2,27.80109978
2021/11/3,27.85849953
2021/11/4,27.78949928
2021/11/5,27.87409973
2021/11/8,27.83009911
2021/11/9,27.80120087
2021/11/10,27.73130035
2021/11/11,27.75900078
2021/11/12,27.80170059
2021/11/15,27.78129959
2021/11/16,27.75250053
2021/11/17,27.80069923
2021/11/18,27.74069977
2021/11/19,27.8064003
2021/11/22,27.79299927
2021/11/23,27.76950073
2021/11/24,27.75139999
2021/11/25,27.7677002
2021/11/26,27.76469994
2021/11/29,27.85390091
2021/11/30,27.74559975
2021/12/1,27.57869911
2021/12/2,27.60449982
2021/12/3,27.67869949
2021/12/6,27.65719986
2021/12/7,27.65920067
2021/12/8,27.74259949
2021/12/9,27.63069916
2021/12/10,27.68560028
2021/12/13,27.63599968
2021/12/14,27.7458992
2021/12/15,27.78420067
2021/12/16,27.73970032
2021/12/17,27.75769997
2021/12/20,27.82719994
2021/12/21,27.81539917
2021/12/22,27.73019981
2021/12/23,27.71100044
2021/12/24,27.62470055
2021/12/27,27.67930031
2021/12/28,27.68370056
2021/12/29,27.53499985
2021/12/30,27.61739922
2021/12/31,27.65870094
2022/1/3,27.70210075
2022/1/4,27.62470055
2022/1/5,27.51549911
2022/1/6,27.59639931
2022/1/7,27.62000084
2022/1/10,27.65800095
2022/1/11,27.59889984
2022/1/12,27.62700081
2022/1/13,27.59860039
2022/1/14,27.56599998
2022/1/17,27.53800011
2022/1/18,27.42370033
2022/1/19,27.51619911
2022/1/20,27.54759979
2022/1/21,27.61569977
2022/1/24,27.69120026
2022/1/25,27.66390038
2022/1/26,27.69799995
2022/1/27,27.66449928
2022/1/28,27.75650024
2022/1/31,27.82699966
2022/2/1,27.77039909
2022/2/2,27.74230003
2022/2/3,27.75079918
2022/2/4,27.7439003
2022/2/7,27.79999924
2022/2/8,27.82600021
2022/2/9,27.80520058
2022/2/10,27.78070068
2022/2/11,27.82640076
2022/2/14,27.90600014
2022/2/15,27.86179924
2022/2/16,27.82069969
2022/2/17,27.81080055
2022/2/18,27.83670044
2022/2/21,27.87000084
2022/2/22,27.81240082
2022/2/23,27.83740044
2022/2/24,27.87269974
2022/2/25,28.06719971
2022/2/28,27.96279907
2022/3/1,27.97559929
2022/3/2,28.04680061
2022/3/3,27.97050095
2022/3/4,28.05050087
2022/3/7,28.12599945
2022/3/8,28.27589989
2022/3/9,28.30340004
2022/3/10,28.26799965
2022/3/11,28.30069923
2022/3/14,28.4109993
2022/3/15,28.51099968
2022/3/16,28.51889992
2022/3/17,28.37899971
2022/3/18,28.1779995
2022/3/21,28.3560009
2022/3/22,28.40999985
2022/3/23,28.4673996
2022/3/24,28.55970001
2022/3/25,28.6515007
2022/3/28,28.66900063
2022/3/29,28.78370094
2022/3/30,28.62829971
2022/3/31,28.52560043
2022/4/1,28.61569977
2022/4/4,28.66799927
2022/4/5,28.58849907
2022/4/6,28.65320015
2022/4/7,28.72540092
2022/4/8,28.79870033
2022/4/11,28.89100075
2022/4/12,29.03100014
2022/4/13,29.03800011
2022/4/14,28.86669922
2022/4/15,28.96619987
2022/4/18,29.11100006
2022/4/19,29.2140007
2022/4/20,29.25370026
2022/4/21,29.16349983
2022/4/22,29.28899956
2022/4/25,29.31100082
2022/4/26,29.19370079
2022/4/27,29.30069923
2022/4/28,29.37470055
2022/4/29,29.45269966
2022/5/2,29.43400002
2022/5/3,29.48460007
2022/5/4,29.42210007
2022/5/5,29.23999977
2022/5/6,29.6067009
2022/5/9,29.64999962
2022/5/10,29.75099945
2022/5/11,29.64170074
2022/5/12,29.68899918
2022/5/13,29.82150078
2022/5/16,29.78199959
2022/5/17,29.71190071
2022/5/18,29.60580063
2022/5/19,29.74020004
2022/5/20,29.60050011
2022/5/23,29.71299934
2022/5/24,29.48999977
2022/5/25,29.53170013
2022/5/26,29.40999985
2022/5/27,29.31299973
2022/5/30,29.29599953
2022/5/31,28.83099937
2022/6/1,28.99150085
2022/6/2,29.12829971
2022/6/3,29.10099983
2022/6/6,29.36100006
2022/6/7,29.38129997
2022/6/8,29.40500069
2022/6/9,29.43880081
2022/6/10,29.58569908
2022/6/13,29.6420002
2022/6/14,29.68869972
2022/6/15,29.57769966
2022/6/16,29.40500069
2022/6/17,29.69599915
2022/6/20,29.70199966
2022/6/21,29.70299911
2022/6/22,29.72400093
2022/6/23,29.67169952
2022/6/24,29.61310005
2022/6/27,29.69400024
2022/6/28,29.43000031
2022/6/29,29.67099953
2022/6/30,29.66500092
2022/7/1,29.65570068
2022/7/4,29.79599953
2022/7/5,29.69000053
2022/7/6,29.78070068
2022/7/7,29.78800011
2022/7/8,29.75200081
2022/7/11,29.75200081
2022/7/12,29.86319923
2022/7/13,29.86499977
2022/7/14,29.76600075
2022/7/15,29.91869926
2022/7/18,29.9109993
2022/7/19,29.81999969
2022/7/20,29.7859993
2022/7/21,29.88069916
2022/7/22,29.88030052
2022/7/25,29.8010006
2022/7/26,29.82799911
2022/7/27,29.92029953
2022/7/28,29.85930061
2022/7/29,29.91500092
2022/8/1,30.00200081
2022/8/2,30.16799927
2022/8/3,29.96629906
2022/8/4,29.94199944
2022/8/5,29.95170021
2022/8/8,29.94499969
2022/8/9,30.0007
2022/8/10,30.02799988
2022/8/11,29.91040039
2022/8/12,29.94930077
2022/8/15,29.94300079
2022/8/16,29.98270035
2022/8/17,29.94379997
2022/8/18,29.93569946
2022/8/19,29.97369957
2022/8/22,30.10199928
2022/8/23,30.13170052
2022/8/24,30.17000008
2022/8/25,30.20499992
2022/8/26,30.18799973
2022/8/29,30.28100014
2022/8/30,30.36800003
2022/8/31,30.43670082
2022/9/1,30.33270073
2022/9/2,30.54820061
2022/9/5,30.61300087
2022/9/6,30.68600082
2022/9/7,30.79870033
2022/9/8,30.8477993
2022/9/9,30.8586998
2022/9/12,30.85000038
2022/9/13,30.88299942
2022/9/14,31.11870003
2022/9/15,31.06900024
2022/9/16,31.22200012
2022/9/19,31.26099968
2022/9/20,31.3220005
2022/9/21,31.3390007
2022/9/22,31.45000076
2022/9/23,31.53829956
2022/9/26,31.79100037
2022/9/27,31.82299995
2022/9/28,31.67499924
2022/9/29,31.67099953
2022/9/30,31.63050079
2022/10/3,31.8029995
2022/10/4,31.78370094
2022/10/5,31.62800026
2022/10/6,31.52350044
2022/10/7,31.53899956
2022/10/10,31.71100044
2022/10/11,31.7928009
2022/10/12,31.82530022
2022/10/13,31.77420044
2022/10/14,31.84860039
2022/10/17,31.96199989
2022/10/18,31.98800087
2022/10/19,32.01699829
2022/10/20,32.15200043
2022/10/21,32.09400177
2022/10/24,32.18000031
2022/10/25,32.31129837
2022/10/26,32.22700119
2022/10/27,31.96290016
2022/10/28,32.04299927
2022/10/31,32.11399841
2022/11/1,32.24769974
2022/11/2,32.12400055
2022/11/3,32.24750137
2022/11/4,32.15000153
2022/11/7,31.99900055
2022/11/8,31.85000038
2022/11/9,31.78980064
2022/11/10,31.91200066
2022/11/11,31.40200043
2022/11/14,31.09659958
2022/11/15,30.88899994
2022/11/16,31.07900047
2022/11/17,31.03499985
2022/11/18,31.02499962
2022/11/21,31.11129951
2022/11/22,31.13100052
2022/11/23,31.10720062
2022/11/24,31.07970047
2022/11/25,30.91300011
2022/11/28,30.92849922
2022/11/29,31.0060997
2022/11/30,30.94599915
2022/12/1,30.77799988
2022/12/2,30.58779907
2022/12/5,30.53800011
2022/12/6,30.56299973
2022/12/7,30.63349915
2022/12/8,30.63699913
2022/12/9,30.46299934
2022/12/12,30.69370079
