年月,年,月,行業別,用電量
2018年12月,2018,12,非金屬礦物製品製造業,503714.989
2018年12月,2018,12,基本金屬製造業,1623442.368
2018年12月,2018,12,金屬製品製造業,575369.8606
2018年12月,2018,12,電子產品及電力設備製造業,4126407.895
2018年12月,2018,12,住宅用電,3012191.994
2018年12月,2018,12,服務業用電,3595365.577
2018年12月,2018,12,運輸及倉儲業,222320.504
2018年12月,2018,12,住宿及餐飲業,562215.588
2018年12月,2018,12,出版影音及資通訊業,273905.9336
2018年12月,2018,12,金融及保險業,144091.86
2018年12月,2018,12,不動產業,115715.1318
2018年12月,2018,12,醫療保健及社會工作服務業,246581.5526
2018年12月,2018,12,藝術、娛樂及休閒服務業,98428.36
2018年12月,2018,12,運輸用電,130941.871
2018年12月,2018,12,公路,5219.369
2018年12月,2018,12,鐵路,122433.121
2018年12月,2018,12,管線運輸,3289.381
2018年12月,2018,12,能源部門自用,1585638.212
2018年12月,2018,12,農業部門,238134.9939
2019年1月,2019,1,全國用電量,20846879.96
2019年1月,2019,1,工業用電,12202442.84
2019年1月,2019,1,紡織成衣及服飾品製造業,494025.879
2019年1月,2019,1,紙漿、紙及紙製品製造業,312449.016
2019年1月,2019,1,化學材料及肥料製造業,2678064.06
2019年1月,2019,1,塑膠製品製造業,445417.978
2019年1月,2019,1,非金屬礦物製品製造業,493076.063
2019年1月,2019,1,基本金屬製造業,1613462.478
2019年1月,2019,1,金屬製品製造業,569341.3412
2019年1月,2019,1,電子產品及電力設備製造業,4082216.645
2019年1月,2019,1,住宅用電,3266792.622
2019年1月,2019,1,服務業用電,3496740.884
2019年1月,2019,1,運輸及倉儲業,219212.234
2019年1月,2019,1,住宿及餐飲業,527960.129
2019年1月,2019,1,出版影音及資通訊業,276460.4174
2019年1月,2019,1,金融及保險業,140422.015
2019年1月,2019,1,不動產業,113671.2897
2019年1月,2019,1,醫療保健及社會工作服務業,236938.2777
2019年1月,2019,1,藝術、娛樂及休閒服務業,81213.939
2019年1月,2019,1,運輸用電,127567.23
2019年1月,2019,1,公路,5764.838
2019年1月,2019,1,鐵路,118602.993
2019年1月,2019,1,管線運輸,3199.399
2019年1月,2019,1,能源部門自用,1534303.079
2019年1月,2019,1,農業部門,219033.3123
2019年2月,2019,2,全國用電量,18362423.27
2019年2月,2019,2,工業用電,10335066.04
2019年2月,2019,2,紡織成衣及服飾品製造業,391837.424
2019年2月,2019,2,紙漿、紙及紙製品製造業,248601.327
2019年2月,2019,2,化學材料及肥料製造業,2352375.785
2019年2月,2019,2,塑膠製品製造業,342024.907
2019年2月,2019,2,非金屬礦物製品製造業,398461.491
2019年2月,2019,2,基本金屬製造業,1346777.384
2019年2月,2019,2,金屬製品製造業,431732.1602
2019年2月,2019,2,電子產品及電力設備製造業,3617303.261
2019年2月,2019,2,住宅用電,3188521.676
2019年2月,2019,2,服務業用電,3116511.91
2019年2月,2019,2,運輸及倉儲業,193817.333
2019年2月,2019,2,住宿及餐飲業,486375.186
2019年2月,2019,2,出版影音及資通訊業,253862.477
2019年2月,2019,2,金融及保險業,116505.014
2019年2月,2019,2,不動產業,99389.61676
2019年2月,2019,2,醫療保健及社會工作服務業,211819.7292
2019年2月,2019,2,藝術、娛樂及休閒服務業,85154.341
2019年2月,2019,2,運輸用電,122427.867
2019年2月,2019,2,公路,5471.306
2019年2月,2019,2,鐵路,113768.215
2019年2月,2019,2,管線運輸,3188.346
2019年2月,2019,2,能源部門自用,1380932.564
2019年2月,2019,2,農業部門,218963.2166
2019年3月,2019,3,全國用電量,20853683.67
2019年3月,2019,3,工業用電,12160241.12
